William Milton,1874,Three-quarters,2,2,0,0,0,NA,Bucks,United States of America,penna,Bucks County,Missing,December 3,1854,England
Sidney Parker,1874,Forward,2,1,0,1,0,NA,Oxon,United Kingdom,England,South East,Oxon,October 3,1852,England
William Stafford,1874,Forward,1,1,0,0,0,NA,1854,Norge,Nordland,Ballangen,Missing,December 19,1854,England
Roger Walker,1874,Forward,5,4,0,1,0,NA,Bury,United Kingdom,England,East of England,Suffolk,September 18,1846,England
Frank Adams,1875,Forward,7,4,0,3,2,NA,Newcastle-upon-Tyne,United Kingdom,England,North East England,Tyne and Wear,September 14,1852,England
Edward Fraser,1875,Forward,1,1,0,0,0,NA,Burnside,Australia,5000,South Australia,Adelaide,April 2,1853,England
Harry Graham,1875,Forward,4,3,0,1,0,NA,Kingston,Jamaica,Surrey County,Kingston and St. Andrew Corporation,Kingston,(guess: regd Q3),Kingston,England
William Hutchinson,1875,Forward,2,2,0,0,0,NA,Sculcoates,United Kingdom,England,Yorkshire and the Humber,Kingston upon Hull,October 31,1849,England
Arthur Michell,1875,Halfback,3,2,0,1,1,NA,Headington,United Kingdom,England,South East,Oxon,September 16,1852,England
Edward Nash,1875,Halfback,1,1,0,0,0,NA,Eton,France,55240,France métropolitaine,Lorraine,December 20,1853,England
Alec Pearson,1875,Fullback,7,4,1,2,0,NA,VIC,Australia,Victoria,Missing,Missing,November 30,1853,England
Edward Perrott,1875,Forward,1,1,0,0,0,NA,Llanfyllin,United Kingdom,Wales,Powys,Llanfyllin,September 16,1851,England
Lennard Stokes,1875,Three-quarters,12,8,1,3,0,NA,Greenwich,United Kingdom,England,East of England,Suffolk,February 12,1856,England
Louis Birkett,1875,Fullback,3,1,1,1,0,NA,St Saviour,Jersey,St Saviour,Missing,Missing,January 1,1853,England
Wyndham Evanson,1875,Halfback,5,1,1,3,1,NA,Llansoy,United Kingdom,Wales,Monmouthshire,Llansoy,(guess: regd Q2),Llansoy,England
Josiah Paul,1875,Forward,1,0,0,1,0,NA,Glos,France,14100,France métropolitaine,Basse-Normandie,May 24,1853,England
Jeaffreson Brewer,1875,Forward,1,1,0,0,0,NA,Ebbw Vale,United Kingdom,NP23,Wales,Monmouthshire,(guess: regd Q4),Ebbw Vale,England
Charles Bryden,1875,Forward,2,1,1,0,0,NA,Banbury,United Kingdom,England,South East,Oxon,June 16,1852,England
Mark Bulteel,1875,Forward,1,1,0,0,0,NA,Liverpool,United Kingdom,England,North West England,Liverpool,September 29,1849,England
Charles Clark,1875,Halfback,1,1,0,0,1,NA,W Derby,United Kingdom,England,North West England,Liverpool,March 19,1857,England
John Graham,1875,Forward,1,1,0,0,0,NA,Surrey,United Kingdom,England,South East,Surrey,(guess: regd Q2),Wimbledon,England
Walter Greg,1875,Forward,2,2,0,0,0,NA,Macclesfield,United Kingdom,England,North West England,Cheshire East,February 14,1851,England
Charles Gunner,1875,Three-quarters,1,1,0,0,0,NA,Bishops Waltham,United Kingdom,England,South East,Hampshire,January 7,1853,England
Spencer Login,1875,Fullback,1,1,0,0,0,NA,Punjab,India,Punjab,Missing,Missing,September 24,1851,England
