"player","team","debut","tests","win","loss","draw","points","tries","birthplace","country","month","birthyear"
"Thomas Harris","England",1929,2,1,1,0,0,0,"Northampton","ENG","(guess: regd Q4)","Northampton"
"Stephen Meikle","England",1929,1,0,1,0,1,3,"West Derby","ENG","July 6","1905"
"Tony Novis","England",1929,10,4,6,0,6,18,"","INDIA","September 22","1906"
"Henry Rew","England",1929,14,6,6,2,0,0,"Exeter","ENG","November 11","1906"
"Edward Richards","England",1929,2,1,1,0,0,0,"E Stonehouse","ENG","March 11","1905"
"Eric Coley","England",1929,2,1,1,0,1,3,"Northampton","ENG","July 23","1903"
"Charles Gummer","England",1929,1,1,0,0,1,3,"Surrey","ENG","November 20","1905"
"Sam Martindale","England",1929,2,1,1,0,0,0,"Kendal","INDO","May 5","1905"
"Jim Reeve","England",1929,12,4,6,2,6,18,"Kensington","ENG","September 12","1908"
"Roger Spong","England",1929,13,4,8,1,0,0,"Barnet","FR","October 23","1906"
"John Askew","England",1930,3,2,1,0,0,0,"Gateshead","ENG","September 2","1908"
"Alfred Bateson","England",1930,4,2,1,1,0,0,"Yorks","ENG","August 10","1901"
"Brian Black","England",1930,15,4,9,2,2,34,"Grahamstown","SA","May 27","1907"
"Jeff Forrest","England",1930,10,4,4,2,0,2,"Barnet","FR","(guess: regd Q2)","Barnet"
"Peter Howard","England",1930,8,2,4,2,0,0,"Maidenhead","ENG","December 20","1908"
"Joe Kendrew","England",1930,10,5,3,2,0,2,"Barnstaple","ENG","July 22","1910"
"Frank Malir","England",1930,3,1,1,1,0,0,"","","August 4","1905"
"Matthew Robson","England",1930,4,2,1,1,1,3,"Bellingham","USA","December 16","1908"
"Wilf Sobey","England",1930,5,2,2,1,0,0,"","","April 1","1905"
"Alan Key","England",1930,2,0,2,0,0,0,"Amersham","ENG","June 4","1908"
"Peter Brook","England",1930,3,1,1,1,0,0,"Thornton Heath","ENG","September 21","1906"
"John Hubbard","England",1930,1,0,0,1,0,0,"Woolwich","ENG","June 27","1902"
"Christopher Tanner","England",1930,5,2,2,1,1,3,"Cheltenham","ENG","June 24","1908"
"Jimmy Barrington","England",1931,2,0,1,1,0,0,"Bridgwater","ENG","July 8","1908"
"Lawrence Bedford","England",1931,2,0,1,1,0,0,"Leeds","ENG","February 11","1903"
"Maurice Bonaventura","England",1931,1,0,0,1,0,0,"","","April 28","1902"
"Don Burland","England",1931,8,3,4,1,3,23,"Bristol","ENG","January 22","1908"
"Richard Davey","England",1931,1,0,0,1,0,0,"Paddington","ENG","September 22","1905"
"Maurice McCanlis","England",1931,2,0,1,1,0,0,"Queta, Baluchistan","INDIA","June 17","1906"
"Brian Pope","England",1931,3,0,2,1,0,0,"Barnet","FR","June 29","1911"
"Deneys Swayne","England",1931,1,0,0,1,0,0,"","","November 23","1909"
"Tinny Dean","England",1931,1,0,1,0,0,0,"Lewisham","ENG","November 12","1909"
"Pop Dunkley","England",1931,6,2,3,1,0,0,"Daventry","ENG","August 9","1904"
"Gordon Gregory","England",1931,13,6,7,0,0,4,"Taunton","ENG","December 8","1907"
"Ernest Harding","England",1931,1,0,1,0,0,0,"Mile End","ENG","May 22","1899"
"Cliff Harrison","England",1931,2,0,2,0,0,0,"Hartlepool","ENG","May 10","1911"
"Peter Hordern","England",1931,4,1,3,0,0,0,"Berkhampstead","ENG","May 13","1907"
"Tom Knowles","England",1931,1,0,1,0,0,0,"W Bromwich","ENG","May 6","1908"
"John Tallent","England",1931,5,1,4,0,3,9,"Bromley","ENG","March 8","1911"
"Eric Whiteley","England",1931,2,0,2,0,0,0,"Croydon","ENG","July 20","1904"
"Bobby Barr","England",1932,3,1,2,0,0,2,"Blisworth","ENG","May 26","1907"
"Alfred Carpenter","England",1932,1,0,1,0,0,0,"Mitcheldean","ENG","July 23","1900"
"Ronald Gerrard","England",1932,14,8,5,1,0,0,"Hong Kong","HK","January 26","1912"
"Reginald Hobbs","England",1932,4,2,2,0,0,0,"Elham","ENG","August 8","1908"
"John Hodgson","England",1930,9,5,4,0,0,0,"Gosforth","ENG","February 13","1909"
"Doug Norman","England",1932,2,0,2,0,0,0,"Leicester","ENG","June 12","1897"
"Arthur Rowley","England",1932,1,0,1,0,0,0,"Coventry","ENG","November 18","1908"
"Les Saxby","England",1932,2,0,2,0,0,0,"Bradfield","ENG","May 19","1900"
"Charles Webb","England",1932,12,5,6,1,0,0,"Plymouth","ENG","November 4","1902"
"Barney Evans","England",1932,5,3,2,0,0,0,"Kent","ENG","December 16","1908"
"Walter Elliot","England",1932,7,5,2,0,1,3,"Birkenhead","ENG","February 17","1910"
"Bernard Gadney","England",1932,14,9,4,1,1,3,"Oxford","ENG","July 16","1909"
"Reginald Roberts","England",1932,1,1,0,0,0,0,"Coventry","ENG","December 4","1911"
"Arthur Vaughan-Jones","England",1932,3,2,1,0,0,0,"Pontarddulais","WAL","September 25","1909"
"Ray Longland","England",1932,19,11,6,2,0,0,"Lavendon","ENG","December 29","1908"
"Reggie Bolton","England",1933,5,3,2,0,2,6,"Prescot","ENG","November 20","1909"
"Lewis Booth","England",1933,7,3,3,1,3,9,"Leeds","ENG","September 26","1909"
"Anthony Roncoroni","England",1933,3,1,2,0,0,0,"Hendon","ENG","March 16","1909"
"Edward Sadler","England",1933,2,1,1,0,1,3,"Colchester","ENG","May 8","1910"
"Carlton Troop","England",1933,2,1,1,0,0,0,"Malton","ENG","June 10","1910"
"William Weston","England",1933,16,10,4,2,0,0,"Potterspury","ENG","December 21","1904"
"Peter Cranmer","England",1934,16,10,4,2,1,14,"BHam","INDIA","September 10","1914"
"John Dicks","England",1934,8,6,1,1,0,0,"Nthants","ENG","September 12","1912"
"Henry Fry","England",1934,3,3,0,0,2,6,"W Derby","ENG","December 22","1910"
"Graham Meikle","England",1934,3,3,0,0,4,12,"Waterloo","ENG","October 14","1911"
"Tuppy Owen-Smith","England",1934,10,8,1,1,0,0,"Rondebosch","SA","February 18","1909"
"Tim Warr","England",1934,2,2,0,0,1,3,"Birmingham","ENG","May 15","1913"
"John Wright","England",1934,1,1,0,0,0,0,"Salop","ENG","August 6","1910"
"Charles Slow","England",1934,1,1,0,0,0,0,"Northampton","ENG","(guess: regd Q2)","Northampton"
"Harold Boughton","England",1935,3,1,1,1,0,14,"Gloucester","ENG","September 7","1910"
"Peter Candler","England",1935,10,5,3,2,2,6,"Exeter","ENG","January 28","1914"
"Allan Clarke","England",1935,6,2,2,2,0,0,"Coventry","ENG","February 21","1913"
"Arthur Cridlan","England",1935,3,1,1,1,0,0,"Ealing","ENG","July 9","1909"
"Jimmy Giles","England",1935,8,5,2,1,2,6,"Coventry","ENG","January 5","1910"
"Jack Heaton","England",1935,9,5,3,1,0,17,"Lancs","ENG","August 30","1912"
"Dudley Kemp","England",1935,1,0,0,1,0,0,"Isle of Wight","ENG","January 18","1910"
"Roy Leyland","England",1935,3,1,1,1,0,0,"Astley","ENG","March 6","1912"
"Ernie Nicholson","England",1935,5,2,1,2,0,0,"Long Ashton","ENG","June 10","1912"
"Arthur Payne","England",1935,2,1,1,0,0,0,"Bristol","ENG","November 11","1907"
"Dick Auty","England",1935,1,0,1,0,0,0,"Yorks","ENG","August 19","1910"
"Edward Hamilton-Hill","England",1936,3,1,1,1,0,0,"Peterborough","ENG","November 22","1908"
"Alexander Obolensky","England",1936,4,2,1,1,2,6,"Petrograd","RUS","February 17","1916"
"Hal Sever","England",1936,10,6,3,1,5,19,"Bucklow","ENG","March 3","1910"
"Harold Wheatley","England",1936,7,3,4,0,0,0,"Coventry","ENG","December 26","1912"
"Herbert Toft","England",1936,10,7,3,0,0,0,"Salford","ENG","October 2","1909"
"Arthur Butler","England",1937,2,2,0,0,1,3,"Oxford","ENG","September 30","1914"
"David Campbell","England",1937,2,2,0,0,0,0,"NSW","AUS","July 16","1915"
"Thomas Huskisson","England",1937,8,6,2,0,0,0,"Richmond","AUS","July 1","1914"
"Tommy Kemp","England",1937,5,3,1,1,0,0,"Bolton","ENG","August 12","1915"
"Dermot Milman","England",1937,4,2,2,0,0,0,"Kent","ENG","October 24","1912"
"Robin Prescott","England",1937,6,5,1,0,1,3,"Paddington","ENG","April 5","1913"
"Arthur Wheatley","England",1937,5,3,2,0,0,0,"Coventry","ENG","December 6","1908"
"John Cook","England",1937,1,1,0,0,0,0,"Beds","SPA","May 16","1911"
"Jeff Reynolds","England",1937,5,2,3,0,1,7,"Canton","CHI","January 2","1916"
"Jimmy Unwin","England",1937,6,2,4,0,3,9,"Essex","ENG","September 18","1912"
"Hubert Freakes","England",1938,3,1,2,0,0,2,"Durban","SA","February 2","1914"
"Basil Nicholson","England",1938,3,1,2,0,1,3,"Lewisham","ENG","January 1","1913"
"Mike Marshall","England",1938,5,3,2,0,1,3,"Yorkshire","ENG","May 18","1917"
"Grahame Parker","England",1938,2,1,1,0,0,24,"Gloucester","ENG","February 11","1912"
"Alan Brown","England",1938,1,0,1,0,0,0,"St Helens","ENG","August 28","1911"
"Tom Berry","England",1939,3,2,1,0,0,0,"Slawston","ENG","July 17","1911"
"Robert Carr","England",1939,3,2,1,0,0,0,"Backlow","ENG","July 11","1917"
"Paul Cooke","England",1939,2,1,1,0,0,0,"Marylebone","ENG","December 18","1916"
"Dickie Guest","England",1939,13,7,5,1,5,15,"Prescot","ENG","March 12","1918"
"George Hancock","England",1939,3,2,1,0,0,0,"Wirral","ENG","March 21","1912"
"Derek Teden","England",1939,3,2,1,0,1,3,"Edmonton","CAN","July 19","1916"
"Gus Walker","England",1939,2,1,1,0,0,0,"Garforth","ENG","August 24","1912"
"John Watkins","England",1939,3,2,1,0,0,0,"Taunton","ENG","February 24","1913"
"Jack Ellis","England",1939,1,1,0,0,0,0,"Leeds","ENG","October 28","1912"
"Ernest Parsons","England",1939,1,1,0,0,0,0,"Christchurch","NZ","October 24","1912"
"Billy Bennett","England",1947,7,3,3,1,1,3,"Putney","ENG","September 21","1922"
"Arthur Gray","England",1947,3,2,1,0,0,2,"Leeds","ENG","September 4","1917"
"Nim Hall","England",1947,17,9,6,2,0,39,"Huddersfield","ENG","August 2","1925"
"Alan Henderson","England",1947,9,3,6,0,1,3,"Kirkintilloch","SCO","May 26","1920"
"Geoffrey Kelly","England",1947,4,2,1,1,0,0,"Royston","ENG","February 9","1914"
"Bill Moore","England",1947,7,4,3,0,0,0,"Leicester","ENG","February 24","1921"
"Joe Mycock","England",1947,5,3,2,0,0,0,"Lancs","ENG","January 17","1914"
"Sam Perry","England",1947,7,1,5,1,0,0,"Isle of Wight","ENG","July 16","1918"
"Edward Scott","England",1947,5,1,3,1,0,0,"Cornwall","ENG","June 14","1918"
"Micky Steele-Bodger","England",1947,9,3,5,1,0,0,"Tamworth","ENG","September 4","1925"
"David Swarbrick","England",1947,6,2,3,1,0,0,"Tynemouth","ENG","January 17","1927"
"Jika Travers","England",1947,6,3,2,1,0,4,"Waverley","SCO","July 7","1919"
"Harry Walker","England",1947,9,3,5,1,0,0,"Aston","FR","February 11","1915"
"Don White","England",1947,14,8,5,1,2,6,"Northants","INDIA","January 16","1926"
"Squib Donnelly","England",1947,1,0,1,0,0,0,"Ngaruawahia","NZ","October 17","1917"
"James George","England",1947,3,2,1,0,0,0,"Falmouth","ENG","August 24","1918"
"Cyril Holmes","England",1947,3,1,2,0,1,3,"Bolton","ENG","January 11","1915"
"Ossie Newton-Thompson","England",1947,2,2,0,0,0,0,"Paddington","ENG","December 2","1920"
"Bob Weighill","England",1947,4,2,2,0,0,0,"Kings Norton","ENG","September 9","1920"
"George Gibbs","England",1947,2,1,1,0,0,0,"","","March 31","1920"
"Syd Newman","England",1947,3,1,1,1,0,3,"Pretoria","SA","July 27","1919"
"Vic Roberts","England",1947,16,7,9,0,2,6,"Penryn","ENG","August 6","1924"
"Eric Evans","England",1948,30,17,10,3,5,15,"Droylsden","ENG","February 1","1921"
"John Keeling","England",1948,2,0,1,1,0,0,"Cairo","EGY","October 28","1925"
"Richard Madge","England",1948,4,0,3,1,0,0,"Exeter","ENG","December 19","1914"
"Douglas Vaughan","England",1948,8,2,5,1,0,0,"Wrexham","WAL","July 15","1925"
"Humphrey Luya","England",1948,5,0,4,1,0,0,"W Derby","ENG","February 3","1918"
"Ivor Preece","England",1948,13,3,9,1,0,3,"Coventry","ENG","December 15","1920"
"Dick Uren","England",1948,4,1,3,0,0,7,"West Kirby","ENG","February 26","1926"
"Thomas Price","England",1948,6,2,4,0,0,0,"","","July 26","1914"
"Martin Turner","England",1948,2,0,2,0,0,0,"Croydon","ENG","August 1","1921"
"Lewis Cannell","England",1948,19,9,9,1,2,6,"Coventry","ENG","June 10","1926"
"Patrick Sykes","England",1948,7,5,1,1,0,0,"Vancouver","CAN","March 3","1925"
"Allan Towell","England",1948,2,1,1,0,0,0,"Middlesbrough","ENG","(guess: regd Q2)","Middlesbrough"
"Mike Berridge","England",1949,2,0,2,0,0,0,"Huntingdon","ENG","February 28","1923"
"Bryan Braithwaite-Exley","England",1949,1,0,1,0,0,0,"Wetherby","ENG","November 30","1927"
"Tom Danby","England",1949,1,0,1,0,0,0,"Durham","ENG","August 10","1926"
"Jack Gregory","England",1949,1,0,1,0,0,0,"Bristol","ENG","June 22","1923"
"Barry Holmes","England",1949,6,2,4,0,0,4,"Buenos Aires","ARG","January 6","1928"
"Edward Horsfall","England",1949,1,0,1,0,0,0,"Huddersfield","ENG","August 11","1917"
"Geoffrey Hosking","England",1949,5,2,3,0,1,3,"St Thomas","Österreich","March 11","1922"
"Gordon Rimmer","England",1949,13,3,10,0,0,0,"Southport","ENG","February 28","1925"
"Clive van Ryneveld","England",1949,4,2,2,0,3,9,"Cape Town","SA","March 19","1928"
"John Kendall-Carpenter","England",1949,23,12,10,1,1,3,"Cardiff","WAL","September 25","1925"
"Robert Kennedy","England",1949,3,2,1,0,1,3,"Rhodesia","ZIM","August 14","1925"
"John Matthews","England",1949,10,6,4,0,0,0,"Hastings","ENG","June 14","1920"
"John Steeds","England",1949,5,3,2,0,0,0,"Edmonton","CAN","September 27","1916"
"Brian Boobbyer","England",1950,9,4,5,0,2,6,"Ealing","ENG","February 25","1928"
"Ian Botting","England",1950,2,1,1,0,0,0,"Dunedin","NZ","May 18","1922"
"John Cain","England",1950,1,0,1,0,0,0,"W Derby","ENG","June 12","1920"
"Murray Hofmeyer","England",1950,3,0,3,0,0,7,"Pretoria","SA","December 9","1925"
"Wally Holmes","England",1950,16,8,7,1,0,0,"Nuneaton","ENG","September 10","1925"
"Herbert Jones","England",1950,3,1,2,0,0,0,"Barnstaple?","ENG","August 22","1918"
"Harry Small","England",1950,4,1,3,0,0,0,"","","January 7","1922"
"John Smith","England",1950,4,1,3,0,4,12,"Kaikohe","NZ","May 23","1926"
"Akker Adkins","England",1950,7,4,2,1,1,3,"Coventry","ENG","June 2","1922"
"John Hyde","England",1950,2,0,2,0,0,0,"Wellingborough","ENG","June 8","1930"
"John Baume","England",1950,1,0,1,0,0,0,"Dewsbury","ENG","July 18","1920"
"Jasper Bartlett","England",1951,1,0,1,0,0,0,"Birmingham","ENG","October 17","1924"
"Ted Hewitt","England",1951,3,0,3,0,0,2,"Coventry","ENG","April 22","1924"
"Philip Moore","England",1951,1,0,1,0,0,0,"","","April 6","1921"
"Lionel Oakley","England",1951,1,0,1,0,0,0,"Dacca","বাংলাদেশ","January 24","1926"
"George Rittson-Thomas","England",1951,3,0,3,0,1,3,"Cardiff","WAL","December 18","1926"
"Trevor Smith","England",1951,1,0,1,0,0,0,"Bedford","ENG","April 3","1920"
"Bob Stirling","England",1951,18,10,7,1,1,3,"Lichfield","ENG","September 4","1919"
"Vic Tindall","England",1951,4,1,3,0,0,0,"Kingsclere","ENG","August 1","1928"
"Squire Wilkins","England",1951,13,7,5,1,0,0,"Leeds","ENG","December 26","1924"
"Peter Woodruff","England",1951,4,1,3,0,0,0,"Newport","WAL","October 30","1920"
"Evan Hardy","England",1951,3,1,2,0,0,0,"Meerut","INDIA","November 13","1927"
"Bruce Neale","England",1951,3,1,2,0,0,0,"Chelsea","ENG","September 15","1923"
"John Williams","England",1951,2,1,1,0,0,0,"Penzance","ENG","August 24","1927"
"William Hook","England",1951,3,1,2,0,0,2,"Gloucester","ENG","December 21","1920"
"Dennis Shuttleworth","England",1951,2,2,0,0,0,0,"Leeds","ENG","July 22","1928"
"Albert Agar","England",1952,7,4,2,1,1,6,"Hartlepool","ENG","November 12","1923"
"Alec Lewis","England",1952,10,6,3,1,0,0,"Brighton","ENG","August 20","1920"
"Chris Winn","England",1952,8,5,3,0,3,9,"Beckenham","ENG","November 13","1926"
"Ted Woodward","England",1952,15,8,5,2,6,21,"Wycombe","ENG","April 17","1931"
"Elliott Woodgate","England",1952,1,0,1,0,0,0,"Totnes","ENG","January 2","1922"
"Philip Collins","England",1952,3,3,0,0,0,0,"Redruth","ENG","November 4","1928"
"Reginald Bazley","England",1952,10,6,2,2,2,6,"Barrow-in-Furness","ENG","December 15","1929"
"Nick Labuschagne","England",1953,5,2,2,1,0,0,"Durban","SA","May 26","1931"
"Martin Regan","England",1953,12,8,3,1,1,3,"St Helens","ENG","September 24","1929"
"Jeff Butterfield","England",1953,32,18,9,5,8,27,"Heckmondwike","ENG","August 9","1929"
"Tug Wilson","England",1953,8,5,3,0,4,12,"Wilderness, Western Cape","SA","October 7","1926"
"Phil Davies","England",1953,14,7,5,2,1,3,"Worcs","ENG","August 6","1928"
"Reg Higgins","England",1954,14,9,4,1,2,6,"Lancs","ENG","July 11","1930"
"Ian King","England",1954,3,2,1,0,0,5,"Leyburn","ENG","May 5","1923"
"Pat Quinn","England",1954,5,3,2,0,0,0,"Lancs","ENG","February 19","1930"
"Sandy Sanders","England",1954,9,5,4,0,0,0,"Fulham","ENG","September 6","1924"
"Peter Yarranton","England",1954,5,3,2,0,0,0,"Acton","ENG","September 30","1924"
"Peter Young","England",1954,9,4,4,1,1,3,"Bristol","ENG","November 9","1927"
"John Bance","England",1954,1,1,0,0,0,0,"Kingsclere","ENG","January 15","1925"
"Nigel Gibbs","England",1954,2,1,1,0,0,4,"","","September 24","1922"
"Vic Leadbetter","England",1954,2,1,1,0,0,0,"Kettering","ENG","(guess: regd Q1)","Kettering"
"Ernie Robinson","England",1954,4,2,1,1,0,0,"","","January 17","1929"
"Johnny Williams","England",1954,9,3,5,1,1,3,"Leeds N","USA","January 31","1932"
"Doug Baker","England",1955,6,2,3,1,0,3,"Canary Is","SPAIN","November 29","1929"
"William Hancock","England",1955,2,0,1,1,0,0,"Monmouth","WAL","September 26","1932"
"George Hastings","England",1955,13,8,2,3,1,11,"Dursley","ENG","November 7","1924"
"David Hazell","England",1955,4,1,2,1,0,9,"Taunton","ENG","April 23","1931"
"Peter Ryan","England",1955,2,0,1,1,0,0,"Bucklow","ENG","October 1","1930"
"Noddy Taylor","England",1955,6,1,2,3,0,0,"Wakefield","ENG","June 6","1931"
"Ian Beer","England",1955,2,1,1,0,1,3,"Croydon","ENG","April 28","1931"
"Harry Scott","England",1955,1,0,1,0,0,0,"Yorks","ENG","November 7","1926"
"Frank Sykes","England",1955,4,1,3,0,1,3,"Yorks","ENG","December 9","1927"
"Noel Estcourt","England",1955,1,1,0,0,0,0,"South Rhodesia","ZIM","January 7","1929"
"Fenwick Allison","England",1956,7,3,2,2,0,15,"Tynemouth","ENG","April 20","1931"
"Ned Ashcroft","England",1956,18,11,3,4,1,3,"St Helens","ENG","August 21","1930"
"John Currie","England",1956,25,14,5,6,0,16,"Clifton","SA","May 3","1932"
"Peter Jackson","England",1956,25,15,5,5,8,24,"Birmingham","ENG","September 22","1930"
"Ron Jacobs","England",1956,29,14,10,5,0,0,"Cambs","ENG","October 28","1928"
"Dickie Jeeps","England",1955,37,17,13,7,0,0,"Chesterton","ENG","November 25","1931"
"David Marques","England",1956,25,14,6,5,1,3,"Ware, Hertfordshire","ENG","December 9","1932"
"Peter Robbins","England",1956,19,11,4,4,0,0,"Coventry","ENG","September 21","1933"
"Mike Smith","England",1956,1,0,1,0,0,0,"Leicester","ENG","June 30","1933"
"Peter Thompson","England",1956,17,10,3,4,5,15,"Scarborough","ENG","January 18","1929"
"Ricky Bartlett","England",1957,7,6,0,1,0,0,"Kingston","JAM","February 13","1929"
"Bob Challis","England",1957,3,3,0,0,0,10,"Long Ashton","ENG","March 9","1932"
"Phil Horrocks-Taylor","England",1958,10,2,5,3,0,3,"Halifax","CAN","October 27","1934"
"Ronald Syrett","England",1958,11,7,1,3,1,3,"Amersham","ENG","January 5","1931"
"Jim Hetherington","England",1958,6,3,1,2,0,9,"Brighton","ENG","March 3","1932"
"Malcolm Phillips","England",1958,25,11,8,6,5,15,"Prestbury","ENG","March 3","1935"
"John Young","England",1958,10,4,4,2,3,9,"Chester","ENG","September 6","1937"
"Alfred Herbert","England",1958,6,2,1,3,0,0,"Stroud","ENG","January 1","1933"
"John Scott","England",1958,1,1,0,0,0,0,"Exeter","ENG","January 23","1935"
"Gordon Bendon","England",1959,4,1,1,2,0,0,"Lambeth","ENG","April 9","1929"
"Bev Risman","England",1959,12,4,5,3,2,18,"Salford","ENG","November 23","1937"
"Stephen Smith","England",1959,5,1,2,2,0,0,"","","October 21","1934"
"John Wackett","England",1959,2,1,1,0,0,0,"Hatfield","ENG","September 27","1930"
"Larry Webb","England",1959,4,1,1,2,0,0,"VIC","AUS","March 7","1931"
"Brian Wightman","England",1959,5,1,3,1,0,0,"Birmingham","ENG","September 23","1936"
"Jeff Clements","England",1959,3,1,0,2,0,0,"Wincanton","ENG","August 18","1932"
"Herbert Godwin","England",1959,11,2,7,2,1,3,"Abergavenny","WAL","December 21","1935"
"Stan Hodgson","England",1960,11,4,3,4,0,0,"Durham","ENG","May 14","1928"
"William Morgan","England",1960,9,4,3,2,0,0,"Monmouth","WAL","November 30","1935"
"James Roberts","England",1960,18,8,5,5,6,18,"","","June 25","1932"
"Don Rutherford","England",1960,15,5,7,3,0,41,"Tynemouth","ENG","September 22","1937"
"Richard Sharp","England",1960,16,7,5,4,2,29,"Mysore","INDIA","September 9","1938"
"Mike Weston","England",1960,35,13,15,7,1,6,"Durham","ENG","August 21","1938"
"Peter Wright","England",1960,13,5,4,4,0,0,"Glanford","ENG","February 28","1931"
"Bill Patterson","England",1959,3,1,2,0,0,0,"Newcastle-upon-Tyne","ENG","April 11","1936"
"Laurie Rimmer","England",1961,5,1,3,1,0,0,"Liverpool S","ENG","May 31","1935"
"Ray French","England",1961,4,1,2,1,0,0,"St Helens","ENG","December 23","1939"
"Mike Gavins","England",1961,1,0,1,0,0,0,"Leeds","ENG","October 14","1934"
"John Price","England",1961,1,0,1,0,0,0,"","","circa 1938","?"
"Budge Rogers","England",1961,36,10,19,7,3,9,"Bedford","ENG","June 20","1939"
"John Willcox","England",1961,19,6,7,6,0,22,"Sutton Coldfield","ENG","February 16","1937"
"Victor Harding","England",1961,6,2,1,3,1,3,"Southwark","ENG","June 18","1932"
"Philip Judd","England",1962,22,5,13,4,0,0,"Coventry","ENG","April 8","1934"
"Martin Underwood","England",1962,5,1,2,2,0,0,"Kidderminster","ENG","July 19","1940"
"Mike Wade","England",1962,3,1,1,1,1,3,"Leicester","ENG","September 13","1937"
"John Dee","England",1962,2,0,1,1,0,0,"Hartlepool","ENG","October 22","1938"
"Andy Hurst","England",1962,1,0,0,1,0,0,"Cairo","EGY","October 1","1935"
"Thomas Pargetter","England",1962,3,1,1,1,0,0,"Stratford","NZ","July 21","1932"
"Stanley Purdy","England",1962,1,0,0,1,0,0,"Rugby","ENG","February 6","1936"
"Simon Clarke","England",1963,13,4,6,3,1,3,"Westcliff","SA","April 2","1938"
"Mike Davis","England",1963,16,5,9,2,0,0,"Lichfield","ENG","January 23","1942"
"Beverley Dovey","England",1963,2,1,0,1,0,0,"Forest of Dean","ENG","October 24","1938"
"Nick Drake-Lee","England",1963,8,3,3,2,1,3,"Kettering","ENG","April 7","1942"
"Dick Manley","England",1963,4,3,0,1,0,0,"Exeter","ENG","February 17","1932"
"John Owen","England",1963,14,4,7,3,1,3,"Sutton Coldfield","ENG","September 21","1939"
"John Thorne","England",1963,3,2,0,1,0,0,"Bristol","ENG","January 1","1934"
"David Perry","England",1963,15,3,9,3,2,6,"SE Surrey","ENG","December 26","1937"
"Tug Wilson","England",1963,1,1,0,0,0,0,"Wilderness, Western Cape","SA","November 25","1938"
"Roger Hosen","England",1963,10,3,7,0,0,63,"Cornwall","ENG","June 12","1933"
"Victor Marriott","England",1963,4,0,4,0,0,0,"Battersea","ENG","January 29","1938"
"John Ranson","England",1963,7,1,5,1,2,6,"Durham","ENG","July 26","1938"
"Roger Sangwin","England",1964,2,0,1,1,0,0,"Holderness","USA","December 2","1937"
"Peter Ford","England",1964,4,1,2,1,0,0,"Gloucester","ENG","May 2","1932"
"Bob Rowell","England",1964,2,0,1,1,0,0,"Corbridge","ENG","August 29","1939"
"Tom Brophy","England",1964,8,1,6,1,0,0,"Liverpool","ENG","July 8","1942"
"Colin Payne","England",1964,10,2,6,2,1,3,"Edmonton","CAN","May 19","1937"
"Thomas Peart","England",1964,2,1,1,0,0,0,"Hartlepool","ENG","September 10","1936"
"Frederick Wrench","England",1964,2,1,1,0,0,0,"Northwich","ENG","November 27","1936"
"Geoffrey Frankcom","England",1965,4,1,2,1,0,0,"Bathavon","ENG","April 5","1942"
"Tony Horton","England",1965,10,1,7,2,0,0,"Brentford","ENG","July 13","1938"
"Stephen Richards","England",1965,9,3,5,1,0,0,"W Kirby","ENG","August 28","1941"
"David Rosser","England",1965,5,1,3,1,0,0,"Portsmouth","ENG","March 27","1938"
"Ted Rudd","England",1965,6,0,4,2,0,0,"Liverpool","ENG","September 28","1944"
"Nicholas Silk","England",1965,4,1,2,1,0,0,"Lewes","ENG","May 26","1941"
"Colin Simpson","England",1965,1,0,1,0,0,0,"Ipswich","ENG","September 21","1942"
"Peter Cook","England",1965,2,1,1,0,0,0,"High Wycombe","ENG","January 8","1943"
"Andy Hancock","England",1965,3,1,1,1,1,3,"Dartford","ENG","June 19","1939"
"Terence Arthur","England",1966,2,0,1,1,0,0,"Hartlepool","ENG","September 5","1940"
"Piggy Powell","England",1966,11,3,6,2,0,0,"Rugby","ENG","May 17","1942"
"John Pullin","England",1966,49,15,28,6,1,3,"Thornbury","ENG","November 1","1941"
"Keith Savage","England",1966,17,3,11,3,1,3,"Warwick","AUS","August 24","1940"
"Jeremy Spencer","England",1966,1,0,1,0,0,0,"","","June 27","1939"
"Bob Taylor","England",1966,20,6,13,1,2,6,"Northampton","ENG","April 30","1942"
"Clive Ashby","England",1966,3,0,2,1,1,3,"Lorenzo Marques","MOZ","January 24","1937"
"Dick Greenwood","England",1966,5,0,4,1,1,3,"Macclesfield","ENG","September 11","1940"
"Colin McFadyean","England",1966,15,2,10,3,5,18,"Tavistock","ENG","March 11","1943"
"William Treadwell","England",1966,3,0,2,1,0,0,"Brentford","ENG","March 13","1939"
"Bob Hearn","England",1966,6,2,4,0,0,0,"Cheltenham","ENG","August 12","1940"
"George Sherriff","England",1966,3,0,3,0,0,0,"Stepney","ENG","May 29","1937"
"Trevor Wintle","England",1966,5,2,3,0,0,0,"Forest of Dean","ENG","January 10","1940"
"Mike Coulman","England",1967,10,3,5,2,1,3,"Stafford","ENG","May 6","1944"
"Peter Glover","England",1967,3,0,2,1,0,0,"York","ENG","September 25","1945"
"Christopher Jennins","England",1967,3,1,2,0,0,0,"Runcorn","ENG","February 5","1942"
"Peter Larter","England",1967,25,7,14,4,1,6,"Totnes","ENG","September 7","1944"
"John Barton","England",1967,4,1,3,0,2,6,"Wigan","ENG","March 19","1943"
"John Finlan","England",1967,13,4,7,2,0,9,"Warwick","AUS","September 9","1941"
"John Pallant","England",1967,3,2,1,0,0,0,"Nottingham","ENG","December 24","1944"
