"player","team","debut","tests","win","loss","draw","points","tries","birthplace","country","month","birthyear"
"Jeaffreson Brewer","England",1875,1,1,0,0,0,NA,"Ebbw Vale","WAL","(guess: regd Q4)","Ebbw Vale"
"Charles Bryden","England",1875,2,1,1,0,0,NA,"Banbury","ENG","June 16","1852"
"Mark Bulteel","England",1875,1,1,0,0,0,NA,"Liverpool","ENG","September 29","1849"
"Charles Clark","England",1875,1,1,0,0,1,NA,"W Derby","ENG","March 19","1857"
"John Graham","England",1875,1,1,0,0,0,NA,"Surrey","ENG","(guess: regd Q2)","Wimbledon"
"Walter Greg","England",1875,2,2,0,0,0,NA,"Macclesfield","ENG","February 14","1851"
"Charles Gunner","England",1875,1,1,0,0,0,NA,"Bishops Waltham","ENG","January 7","1853"
"Spencer Login","England",1875,1,1,0,0,0,NA,"Punjab","INDIA","September 24","1851"
"Ernest Marriott","England",1875,1,1,0,0,0,NA,"Salford","ENG","January 15","1857"
"Edward Turner","England",1875,3,3,0,0,1,NA,"Epping","FR","September 1854","Epping"
"Courteney Verelst","England",1875,2,2,0,0,0,NA,"Wirral","ENG","November 16","1855"
"Arthur Heath","England",1876,1,1,0,0,0,NA,"Newcastle-under-Lyme","ENG","May 29","1856"
"William Hunt","England",1876,4,3,1,0,0,NA,"Preston","ENG","May 11","1854"
"William Hutchinson","England",1876,2,2,0,0,2,NA,"Charlton","USA","circa 1856","Charlton"
"Frederic Lee","England",1876,2,2,0,0,1,NA,"Chelsea","ENG","September 14","1855"
"William Rawlinson","England",1876,1,1,0,0,0,NA,"Bury St Edmunds","ENG","December 17","1855"
"Thomas Tetley","England",1876,1,1,0,0,0,NA,"Bradford","ENG","April 12","1856"
"George Turner","England",1876,1,1,0,0,0,NA,"Essex","ENG","October 22","1855"
"Henry Fowler","England",1877,1,1,0,0,0,NA,"Herts","ENG","(guess: regd Q3)","Watford"
"Gillie Harrison","England",1877,7,5,1,1,0,NA,"Cottingham","ENG","June 13","1858"
"Monkey Hornby","England",1877,9,4,2,3,1,NA,"Blackburn","ENG","February 10","1847"
