Massa Johnston,1907,Lock,Dunedin,3,2,0,0,New Zealand/Aotearoa,Otago,Dunedin City
Frank Mitchinson,1907,Centre,Lawrence,11,8,10,32,United States of America,Kansas,Douglas County
Don Cameron,1908,Wing,Waitara,3,2,1,3,New Zealand/Aotearoa,Taranaki,New Plymouth District
Mona Thomson,1908,Wing,Napier,1,1,1,3,New Zealand/Aotearoa,Hawke's Bay,Napier City
Ranji Wilson,1908,Flanker,Christchurch,10,7,2,6,New Zealand/Aotearoa,Canterbury,Christchurch City
Paddy Burns,1908,Centre,Lyttelton,5,2,2,6,New Zealand/Aotearoa,Canterbury,Christchurch City
Doddy Gray,1908,Fly-half,?,3,2,3,9,g,n,i
Donald Hamilton,1908,Wing-forward,Invercargill,1,0,0,0,New Zealand/Aotearoa,Southland,Invercargill City
Peter Murray,1908,Prop,Southern Grove,1,0,0,0,United Kingdom,E3 4PN,England
Sandy Paterson,1908,Lock,Dunedin,5,3,1,3,New Zealand/Aotearoa,Otago,Dunedin City
William Reedy,1908,Prop,Buller,2,1,0,0,United States of America,Louisiana,Jefferson Davis
Circus Hayward,1908,Flanker,Blenheim,1,1,1,3,New Zealand/Aotearoa,Marlborough,Blenheim
Henry Avery,1910,Wing-forward,Wellington,3,2,0,0,New Zealand/Aotearoa,Wellington,Wellington City
William Fuller,1910,Five-eighth,Christchurch,2,1,1,3,New Zealand/Aotearoa,Canterbury,Christchurch City
Gerald McKellar,1910,Flanker,Cromwell,3,2,0,0,United States of America,89109,Nevada
James Maguire,1910,Prop,Auckland,3,2,0,0,New Zealand/Aotearoa,Auckland,Missing
Joe O'Leary,1910,Fullback,Masterton,4,3,0,16,New Zealand/Aotearoa,Wellington,Masterton District
Henry Paton,1910,Lock,Dunedin,2,2,1,3,New Zealand/Aotearoa,Otago,Dunedin City
Alexander Ridland,1910,Prop,Invercargill,3,2,0,0,New Zealand/Aotearoa,Southland,Invercargill City
Jack Stohr,1910,Wing,New Plymouth,3,2,2,6,New Zealand/Aotearoa,Taranaki,New Plymouth District
Dave Evans,1910,Lock,Napier,1,0,0,0,New Zealand/Aotearoa,Hawke's Bay,Napier City
Billy Mitchell,1910,Wing,VIC,2,1,1,3,Australia,Victoria,Missing
James Ryan,1910,Five-eighth,Masterton,4,3,0,0,New Zealand/Aotearoa,Wellington,Masterton District
Harry Atkinson,1913,Lock,Dunedin,1,1,0,0,New Zealand/Aotearoa,Otago,Dunedin City
Jock Cuthill,1913,Fullback,Inverleithen,2,2,0,0,g,n,i
Norkey Dewar,1913,Flanker,Wellington,2,2,0,0,New Zealand/Aotearoa,Wellington,Wellington City
Doolan Downing,1913,Lock,Napier,5,5,0,0,New Zealand/Aotearoa,Hawke's Bay,Napier City
Tiger Lynch,1913,Wing,Milton,4,4,4,12,United States of America,Massachusetts,Norfolk County
Dougie McGregor,1913,Wing,Thames,2,2,1,3,New Zealand/Aotearoa,Waikato,Thames Coromandel District
Jock McKenzie,1913,Five-eighth,Lyttelton,4,4,5,15,New Zealand/Aotearoa,Canterbury,Christchurch City
Toby Murray,1913,Wing-forward,Christchurch,4,4,3,9,New Zealand/Aotearoa,Canterbury,Christchurch City
Dick Roberts,1913,Centre,Manaia,5,5,7,29,New Zealand/Aotearoa,Taranaki,South Taranaki District
George Sellars,1913,Prop,Auckland,2,2,0,0,New Zealand/Aotearoa,Auckland,Missing
Harry Taylor,1913,Wing,Christchurch,5,5,4,12,New Zealand/Aotearoa,Canterbury,Christchurch City
Peter Williams,1913,Prop,Dunedin,1,1,0,0,New Zealand/Aotearoa,Otago,Dunedin City
Jim Wylie,1913,Lock,Galatea,2,2,1,3,United States of America,Ohio,Wood County
James Baird,1913,Centre,Dunedin,1,1,0,0,New Zealand/Aotearoa,Otago,Dunedin City
Buster Barrett,1913,Flanker,Auckland,2,1,0,0,New Zealand/Aotearoa,Auckland,Missing
Charles Brown,1913,Scrum-half,New Plymouth,2,1,1,3,New Zealand/Aotearoa,Taranaki,New Plymouth District
William Cummings,1913,Lock,Timaru,2,1,1,3,New Zealand/Aotearoa,Canterbury,Timaru District
William Francis,1913,Prop,New Plymouth,5,4,2,6,New Zealand/Aotearoa,Taranaki,New Plymouth District
William Geddes,1913,Fly-half,Auckland,1,1,0,0,New Zealand/Aotearoa,Auckland,Missing
Charles Gillespie,1913,Lock,Masterton,1,1,0,0,New Zealand/Aotearoa,Wellington,Masterton District
Edward Hasell,1913,Prop,Christchurch,2,1,1,3,New Zealand/Aotearoa,Canterbury,Christchurch City
John Macky,1913,Wing,Auckland,1,1,0,0,New Zealand/Aotearoa,Auckland,Missing
James McNeece,1913,Lock,Invercargill,5,4,1,3,New Zealand/Aotearoa,Southland,Invercargill City
Augustine Spillane,1913,Five-eighth,Geraldine,2,1,0,0,New Zealand/Aotearoa,Canterbury,Timaru District
James Stewart,1913,Wing,Kaiapoi,2,1,0,0,New Zealand/Aotearoa,Canterbury,Waimakariri District
Reginald Taylor,1913,Wing-forward,Taranak,2,1,1,3,g,n,i
Eric Cockroft,1913,Fullback,Clinton,3,2,0,0,United States of America,Illinois,Clinton County
Alfred Fanning,1913,Lock,Linwood,1,0,1,3,United States of America,penna,Delaware County
James Tilyard,1913,Fly-half,Waratah,1,0,0,0,Australia,Tasmania,Waratah
Michael Cain,1913,Prop,Waitara,4,4,0,0,New Zealand/Aotearoa,Taranaki,New Plymouth District
James Graham,1913,Lock,Dunedin,3,3,0,10,New Zealand/Aotearoa,Otago,Dunedin City
Robert Black,1914,Fly-half,Arrowtown,1,1,0,0,New Zealand/Aotearoa,Otago,Queenstown-Lakes District
John Bruce,1914,Flanker,Wellington,2,2,0,0,New Zealand/Aotearoa,Wellington,Wellington City
Sal Irvine,1914,Lock,Dunedin,3,3,0,0,New Zealand/Aotearoa,Otago,Dunedin City
John O'Brien,1914,Fullback,Wellington,1,1,0,0,New Zealand/Aotearoa,Wellington,Wellington City
