Charles Gillespie,1913,Lock,Masterton,1,1,0,0
Edward Hasell,1913,Prop,Christchurch,2,1,1,3
John Macky,1913,Wing,Auckland,1,1,0,0
James McNeece,1913,Lock,Invercargill,5,4,1,3
Augustine Spillane,1913,Five-eighth,Geraldine,2,1,0,0
James Stewart,1913,Wing,Kaiapoi,2,1,0,0
Reginald Taylor,1913,Wing-forward,Taranak,2,1,1,3
Eric Cockroft,1913,Fullback,Clinton,3,2,0,0
Alfred Fanning,1913,Lock,Linwood,1,0,1,3
James Tilyard,1913,Fly-half,Waratah,1,0,0,0
Michael Cain,1913,Prop,Waitara,4,4,0,0
James Graham,1913,Lock,Dunedin,3,3,0,10
Robert Black,1914,Fly-half,Arrowtown,1,1,0,0
John Bruce,1914,Flanker,Wellington,2,2,0,0
Sal Irvine,1914,Lock,Dunedin,3,3,0,0
John O'Brien,1914,Fullback,Wellington,1,1,0,0
Teddy Roberts,1914,Scrum-half,Wellington,5,3,0,4
George Aitken,1921,Centre,Westport,10,8,0,0
Cecil Badeley,1921,Fly-half,Auckland,2,1,0,0
Moke Belliss,1921,Flanker,Palmerston North,3,1,1,3
Jim Donald,1921,Wing-forward,Featherston,2,1,0,0
Bill Duncan,1921,Prop,Port Chalmers,3,1,0,0
Richard Fogarty,1921,Prop,Matakanui,2,1,0,0
Nipper Kingstone,1921,Fullback,Auckland,3,1,0,0
Jim Moffitt,1921,Lock,Waikaia,3,1,0,0
Ginger Nicholls,1921,Scrum-half,Wellington,1,1,0,0
Mark Nicholls,1921,Five-eighth,Greytown,10,8,0,48
Jock Richardson,1921,Lock,Dunedin,7,5,1,3
John Steel,1921,Wing,Dillmanstown,6,4,3,9
Percival Storey,1921,Wing,Temuka,2,1,1,3
Son White,1921,Flanker,Invercargill,4,4,1,3
Andrew McLean,1921,Lock,Auckland,2,0,1,3
Alfred West,1921,Flanker,Inglewood,2,0,0,0
Billy Fea,1921,Fly-half,Dunedin,1,0,0,0
Charles Fletcher,1921,Flanker,Rewiti,1,0,0,0
Karl Ifwersen,1921,Five-eighth,Auckland,1,0,0,0
Stanley Siddells,1921,Wing,Wellington,1,0,0,0
Maurice Brownlie,1924,Lock,Wanganui,8,6,2,6
Bert Cooke,1924,Five-eighth,Auckland,8,7,4,12
Les Cupples,1924,Flanker,Otautau,2,2,0,0
Bill Dalley,1924,Scrum-half,Lyttelton,5,3,0,0
Quentin Donald,1924,Prop,Featherston,4,4,0,0
Augustine Hart,1924,Wing,Auckland,1,1,0,0
Bull Irvine,1924,Prop,Wairapapa,5,4,3,9
Frederick Lucas,1924,Centre,Auckland,7,6,1,3
Read Masters,1924,Lock,Picton,4,4,0,0
George Nepia,1924,Fullback,Wairoa,9,7,0,5
James Parker,1924,Wing-forward,Lyttelton,3,3,1,3
Snowy Svenson,1924,Wing,Toowoomba,4,4,4,12
