Opai Asher
Allan Stewart
Ian Uttley
Bluey Arnold
Malcolm Dick
Ken Gray
Brian Lochore
Chris Laidlaw
Don Clark
John Collins
Bruce McLeod
Spooky Smith
Michael Williment
Peter Murdoch
Ron Rangi
Bill Birtwistle
Fergie McCormick
Jack Hazlett
Ian MacRae
Anthony Steel
Bill Davis
Sid Going
John Major
Jazz Muller
Samuel Strahan
Earle Kirton
Graham Williams
Ian Kirkpatrick
Alister Hopkinson
Wayne Cottrell
Thomas Lister
Grahame Thorne
Anthony Kreft
Michael O'Callaghan
Owen Stephens
Alan Smith
George Skudder
Bryan Williams
Alan Sutherland
Alex Wyllie
Buff Milner
Neil Thimbleby
Ron Urlich
Blair Furlong
Gerald Kember
Keith Murdoch
Bob Burgess
Ken Carrington
Richard Guy
Bruce Hunter
Alan McNaughton
Tane Norton
Pole Whiting
Howard Joseph
Laurie Mains
Mick Duncan
Phil Gard
John Dougan
Duncan Hales
Jeff Matheson
Trevor Morris
Mike Parkinson
Bruce Robertson
Alistair Scown
Graham Whiting
Lyn Jaffray
Graham Sims
Grant Batty
Joseph Karam
Hamish Macdonald
Ian Stevens
Kent Lambert
Ian Hurst
Murray Jones
Robert Lendrum
Ken Stewart
Terry Morrison
Billy Bush
John Callesen
Bruce Gemmell
Andrew Leslie
Duncan Robertson
Kerry Tanner
Jon McLachlan
Ashley Gardiner
Joe Morgan
Bill Osborne
Lyn Davis
Neil Purvis
Doug Bruce
Kevin Everleigh
Kit Fawcett
Brad Johnstone
Perry Harris
Frank Oliver
Terry Mitchell
Colin Farrell
Andy Haden
Laurie Knight
Mark Taylor
Brian Ford
John McEldowney
Graham Mourie
Bevan Wilson
John Black
Mark Donaldson
Gary Knight
Brian McKechnie
Gary Seear
Stu Wilson
Robbie Stuart
Andy Dalton
Barry Ashworth
John Ashworth
Leicester Rutledge
Dick Myers
Clive Currie
David Loveridge
Murray Taylor
Murray Watts
Wayne Graham
Gary Cunningham
Mike McCool
Eddie Dunn
John Fleming
Bernie Fraser
Murray Mexted
