Jeaffreson Brewer,1875,Forward,Ebbw Vale,1,1,0,United Kingdom,NP23,Wales
Charles Bryden,1875,Forward,Banbury,2,1,0,United Kingdom,England,South East
Mark Bulteel,1875,Forward,Liverpool,1,1,0,United Kingdom,England,North West England
Charles Clark,1875,Halfback,W Derby,1,1,1,United Kingdom,England,North West England
John Graham,1875,Forward,Surrey,1,1,0,United Kingdom,England,South East
Walter Greg,1875,Forward,Macclesfield,2,2,0,United Kingdom,England,North West England
Charles Gunner,1875,Three-quarters,Bishops Waltham,1,1,0,United Kingdom,England,South East
Spencer Login,1875,Fullback,Punjab,1,1,0,India,Punjab,Missing
Ernest Marriott,1875,Forward,Salford,1,1,0,United Kingdom,England,North West England
Edward Turner,1875,Forward,Epping,3,3,1,France,57720,France métropolitaine
Courteney Verelst,1875,Forward,Wirral,2,2,0,Canada,New Brunswick,Queens County
Arthur Heath,1876,Fullback,Newcastle-under-Lyme,1,1,0,United Kingdom,England,West Midlands
William Hunt,1876,Forward,Preston,4,3,0,United Kingdom,England,North West England
William Hutchinson,1876,Halfback,Charlton,2,2,2,United States of America,Georgia,Charlton
Frederic Lee,1876,Forward,Chelsea,2,2,1,United Kingdom,England,Greater London
William Rawlinson,1876,Forward,Bury St Edmunds,1,1,0,United Kingdom,England,East of England
Thomas Tetley,1876,Three-quarters,Bradford,1,1,0,United Kingdom,England,Yorkshire and the Humber
George Turner,1876,Forward,Essex,1,1,0,United Kingdom,England,East of England
Henry Fowler,1877,Forward,Herts,1,1,0,Portugal,Viseu,Valdevez
Gillie Harrison,1877,Forward,Cottingham,7,5,0,United Kingdom,England,Yorkshire and the Humber
Monkey Hornby,1877,Fullback,Blackburn,9,4,1,United Kingdom,England,North West England
Petley Price,1877,Halfback,Poona,3,1,0,Australia,Queensland,Poona
Charles Touzel,1877,Forward,Cheshire,2,1,0,United States of America,Connecticut,New Haven County
Harry Garnett,1877,Forward,Yorks,1,0,0,Deutschland,10965,Berlin
Archibald Law,1877,Forward,Nice,1,0,0,France,06000;06100;06200;06300,France métropolitaine
Robert Todd,1877,Forward,Bury,1,0,0,United Kingdom,England,East of England
John Biggs,1878,Forward,Reading,2,1,0,United Kingdom,England,South East
Frank Fowler,1878,No. 8,Newbury,2,0,0,United Kingdom,England,South East
Howard Fowler,1878,Forward,Tottenham,3,1,0,United Kingdom,England,Greater London
Temple Gurdon,1878,Forward,Norflk,16,12,1,g,n,i
