Country,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Fiji,FJI,International migrant stock (% of population),SM.POP.TOTL.ZS,5.103931792,..,..,..,..,3.870148572,..,..,..,..,3.149488309,..,..,..,..,2.613806643,..,..,..,..,2.207771355,..,..,..,..,1.841180446,..,..,..,..,1.876271228,..,..,..,..,1.902261515,..,..,..,..,1.962222472,..,..,..,..,2.089995376,..,..,..,..,2.155120286,..,..,..,..,..
Fiji,FJI,"International migrant stock, total",SM.POP.TOTL,20078,..,..,..,..,17953,..,..,..,..,16394,..,..,..,..,15071,..,..,..,..,14025,..,..,..,..,13103,..,..,..,..,13671,..,..,..,..,14752,..,..,..,..,15918,..,..,..,..,17176,..,..,..,..,18533,..,..,..,..,..
Fiji,FJI,"Population, total",SP.POP.TOTL,393383,407152,421576,436208,450452,463884,476329,487911,498887,509659,520529,531601,542811,554109,565386,576592,587523,598258,609348,621541,635256,650957,668196,685389,700366,711663,718548,721725,722918,724624,728626,735469,744534,755024,765666,775498,784479,792859,800314,806494,811223,814215,815691,816626,818355,821820,827390,834729,843206,851854,859952,867327,874158,880487,886450,..
Australia,AUS,International migrant stock (% of population),SM.POP.TOTL.ZS,16.52399942,..,..,..,..,18.04291359,..,..,..,..,19.64117694,..,..,..,..,19.14239545,..,..,..,..,19.71442962,..,..,..,..,19.94847062,..,..,..,..,20.98647532,..,..,..,..,21.32434706,..,..,..,..,21.02792252,..,..,..,..,21.25956616,..,..,..,..,21.38500119,..,..,..,..,..
Australia,AUS,"International migrant stock, total",SM.POP.TOTL,1698085,..,..,..,..,2054727,..,..,..,..,2456522,..,..,..,..,2659453,..,..,..,..,2896444,..,..,..,..,3143480,..,..,..,..,3581363,..,..,..,..,3853736,..,..,..,..,4027478,..,..,..,..,4335846,..,..,..,..,4711490,..,..,..,..,..
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22728254,23125868,23490736,..
France,FRA,International migrant stock (% of population),SM.POP.TOTL.ZS,7.491765806,..,..,..,..,8.890232872,..,..,..,..,10.01311903,..,..,..,..,10.26986111,..,..,..,..,10.64428941,..,..,..,..,10.48111295,..,..,..,..,10.07859168,..,..,..,..,10.21970075,..,..,..,..,10.3077664,..,..,..,..,10.25429731,..,..,..,..,10.28002117,..,..,..,..,..
France,FRA,"International migrant stock, total",SM.POP.TOTL,3507213,..,..,..,..,4447230,..,..,..,..,5210336,..,..,..,..,5571664,..,..,..,..,5890633,..,..,..,..,5952820,..,..,..,..,5897267,..,..,..,..,6085004,..,..,..,..,6278718,..,..,..,..,6478599,..,..,..,..,6684842,..,..,..,..,..
France,FRA,"Population, total",SP.POP.TOTL,46814237,47444751,48119649,48803680,49449403,50023774,50508717,50915456,51276054,51638260,52035095,52480421,52959228,53441264,53882416,54252574,54541493,54764462,54947975,55130594,55340782,55585824,55858727,56156284,56470769,56795686,57132691,57482591,57836486,58182702,58512808,58559312,58851216,59106766,59327194,59541900,59753098,59964845,60186291,60496715,60912498,61357431,61805267,62244884,62704897,63179356,63621376,64016229,64374990,64707044,65027512,65342776,65639975,65925498,66206930,..
Canada,CAN,International migrant stock (% of population),SM.POP.TOTL.ZS,15.44643816,..,..,..,..,15.34989328,..,..,..,..,15.24738792,..,..,..,..,15.15724503,..,..,..,..,15.49456349,..,..,..,..,15.0356873,..,..,..,..,16.18337231,..,..,..,..,17.19388499,..,..,..,..,18.05353643,..,..,..,..,19.50985392,..,..,..,..,21.18006754,..,..,..,..,..
