George Scriven,1879,Forward,8,0,8,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
John Taylor,1879,Forward,8,1,6,1,0,NA,?,g,n,i,s
James Bristow,1879,Forward,1,0,1,0,0,NA,?,g,n,i,s
John Cuppaidge,1879,Forward,3,0,3,0,1,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Jack Keon,1879,Forward,1,0,1,0,0,NA,Westmeath,Republic of Ireland,Leinster,County Westmeath,Missing
William Pike,1879,Three-quarters,5,1,3,1,0,NA,Mayo,Canada,Yukon,Mayo,Missing
Willington Willis,1879,Three-quarters,1,0,1,0,0,NA,circa 1860,Perú,Tacna,Candarave,Circa
Arthur Forrest,1880,Forward,8,1,6,1,1,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
William Heron,1880,Halfback,2,0,2,0,0,NA,?,g,n,i,s
Meredith Johnston,1880,Halfback,8,1,6,1,1,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
Francis Kennedy,1880,Forward,3,0,3,0,0,NA,?,g,n,i,s
Alfred Miller,1880,Forward,3,0,3,0,0,NA,Kingstown,Saint Vincent and the Grenadines,Saint George,Kingstown,Missing
William Wallis,1880,Forward,5,1,4,0,0,NA,Dublin,Republic of Ireland,Leinster,County Dublin,Dublin
David Browning,1881,Forward,2,1,1,0,0,NA,?,g,n,i,s
John Burkitt,1881,Forward,1,0,1,0,0,NA,Co.Clare,Republic of Ireland,Munster,County Clare,Missing
Alfred MacMullen,1881,Forward,2,1,1,0,0,NA,?,g,n,i,s
Jones Morell,1881,Forward,4,1,2,1,0,NA,Tyrone,United States of America,penna,Blair County,Tyrone
William Peirce,1881,Three-quarters,1,0,1,0,0,NA,?,g,n,i,s
Henry Spunner,1881,Halfback,3,1,2,0,0,NA,?,g,n,i,s
Jack Johnston,1881,Forward,9,2,7,0,0,NA,?,g,n,i,s
Robert McLean,1881,Three-quarters,10,1,8,1,0,NA,?,g,n,i,s
