Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Suliveta Uati,Samoa,1988,Scrum-half,2,1,0,1,0,0,,
Tauvere Ugapo,Samoa,1988,Wing,7,4,2,1,0,0,,
Lafaele Mano,Samoa,1988,Flanker,3,0,2,1,4,1,,
Taumaloto Tofilau,Samoa,1988,No. 8,1,0,0,1,0,0,,
Vili Alalatoa,Samoa,1988,Prop,10,6,4,0,0,0,NA,Sverige
Peter Fatialofa,Samoa,1988,Prop,34,18,15,1,14,3,"Apia, Western Samoa",Samoa
Saini Lemamea,Samoa,1988,Lock,13,7,6,0,4,1,"Apia, Western Samoa",Samoa
Daryl Williams,Samoa,1988,Lock,5,1,4,0,0,0,Auckland,NewZealand
Phineas Young,Samoa,1988,Scrum-half,2,1,1,0,8,2,,
Ollie Crichton,Samoa,1988,Flanker,1,0,1,0,2,0,,
Tupo Fa'amasino,Samoa,1988,Centre,20,12,8,0,36,5,"Apia, Western Samoa",Samoa
Vincent Fepuleai,Samoa,1988,Scrum-half,4,2,2,0,0,0,,
P. Schmidt,Samoa,1989,NA,2,2,0,0,0,0,,
Harry Schuster,Samoa,1989,No. 8,4,4,0,0,4,1,,
T. Tofaeono,Samoa,1989,NA,2,2,0,0,0,0,,
Faatoto Moananu,Samoa,1989,Wing,1,1,0,0,0,0,,
P. Paulo,Samoa,1989,NA,3,3,0,0,0,0,,
S. Sauila,Samoa,1989,NA,1,1,0,0,0,0,,
F. Taiomaivao,Samoa,1989,NA,1,1,0,0,0,0,,
S. Telea,Samoa,1989,NA,1,1,0,0,0,0,,
Sila Vaifale,Samoa,1989,Flanker,28,18,9,1,16,4,"Lepea, Western Samoa",Samoa
S.P. Ching,Samoa,1990,Lock,3,3,0,0,0,0,,
Danny Kaleopa,Samoa,1990,Flanker,7,6,1,0,12,3,NA,Danmark
Milovale Moke,Samoa,1990,Scrum-half,5,5,0,0,0,0,,
Timo Tagaloa,Samoa,1990,Wing,9,7,2,0,24,6,Auckland,NewZealand
David Sio,Samoa,1990,Prop,2,2,0,0,0,0,"Apia, Western Samoa",Samoa
Peter Leavai,Samoa,1990,Lock,1,1,0,0,0,0,,
S. Fa'aofo,Samoa,1990,NA,1,1,0,0,0,0,,
Lio Falaniko,Samoa,1990,Lock,21,12,8,1,10,2,"Apia, Western Samoa",Samoa
Siu Fanolua,Samoa,1990,Prop,4,4,0,0,0,0,"Apia, Western Samoa",Samoa
Eddie Ioane,Samoa,1990,Lock,5,4,1,0,0,0,"Apia, Western Samoa",Samoa
Fili Lameta,Samoa,1990,No. 8,2,2,0,0,0,0,Western Samoa,Samoa
Shem Tatupu,Samoa,1990,Back-row,10,6,4,0,15,3,N Harbour,NewZealand
Stephen Bachop,Samoa,1991,Fly-half,23,12,10,1,64,4,Lyttelton,NewZealand
Brian Lima,Samoa,1991,Wing,66,31,33,2,140,29,"Apia, Western Samoa",Samoa
Junior Paramore,Samoa,1991,No. 8,27,17,10,0,30,6,"Apia, Western Samoa",Samoa
Apollo Perelini,Samoa,1991,Flanker,9,6,3,0,0,0,Auckland,NewZealand
Mathew Vaea,Samoa,1991,Scrum-half,8,5,2,1,25,0,"Moto'otua, Western Samoa",Samoa
Mark Birtwistle,Samoa,1991,Lock,11,6,5,0,0,0,Auckland,NewZealand
Frank Bunce,Samoa,1991,Centre,59,44,13,2,100,21,Auckland,NewZealand
Mat Keenan,Samoa,1991,Lock,10,6,4,0,0,0,"Rarotonsa, Western Samoa",Fiji
Pat Lam,Samoa,1991,No. 8,34,15,17,2,25,5,Auckland,NewZealand
Alama Ieremia,Samoa,1992,Five-eighth,35,27,7,1,25,5,"Apia, Western Samoa",Samoa
Kose Seinafo,Samoa,1992,"Wing, Centre",1,1,0,0,0,0,NA,Austria
Freddie Tuilagi,Samoa,1992,"Centre, Wing",17,8,9,0,10,2,"Apia, Western Samoa",Samoa
Junior Tonu'u,Samoa,1992,Scrum-half,9,7,2,0,5,1,Wellington,NewZealand
Darren Kellett,Samoa,1993,Fly-half,13,7,5,1,137,2,Auckland,NewZealand
Potu Leavasa,Samoa,1993,Lock,17,11,5,1,0,0,"Apia, Western Samoa",Samoa
Tala Leiasamaiva'o,Samoa,1993,Hooker,18,9,8,1,5,1,NA,Danmark
Palamia Lilomaiava,Samoa,1993,Prop,1,0,1,0,0,0,,
George Latu,Samoa,1994,Prop,10,4,6,0,0,0,"Apia, Western Samoa",Samoa
Tu Nu'uali'itia,Samoa,1994,Scrum-half,8,3,5,0,5,1,Auckland,NewZealand
Sam Kaleta,Samoa,1992,Flanker,11,5,5,1,5,1,NA,Danmark
Rudolf Moors,Samoa,1994,Scrum-half,1,1,0,0,0,0,NA,Nederland
Toa Samania,Samoa,1994,Fullback,9,6,3,0,28,2,NA,Danmark
Vaa Vitale,Samoa,1994,Scrum-half,5,2,3,0,0,0,"Apia, Western Samoa",Samoa
Dylan Mika,Samoa,1994,Back-row,9,6,3,0,5,1,Auckland,NewZealand
George Harder,Samoa,1995,Wing,4,2,2,0,15,3,"Moto'otua, Western Samoa",Samoa
George Leaupepe,Samoa,1995,Wing,26,12,12,2,50,10,"Apia, Western Samoa",Samoa
Mike Mika,Samoa,1995,Prop,15,6,7,2,0,0,Lower Hutt,NewZealand
Esera Puleitu,Samoa,1995,Fly-half,2,0,2,0,0,0,NA,Austria
Mike Umaga,Samoa,1995,Centre,13,5,7,1,13,2,Auckland,NewZealand
Fata Sini,Samoa,1995,Fly-half,4,1,3,0,10,2,NA,Danmark
Brendan Reidy,Samoa,1995,Prop,18,7,10,1,0,0,Wellington,NewZealand
Joe Filemu,Samoa,1995,Scrum-half,22,13,7,2,5,1,NA,Austria
Veli Patu,Samoa,1995,Fullback,5,1,3,1,13,2,NA,Danmark
Alex Telea,Samoa,1995,Wing,5,1,3,1,15,3,Lower Hutt,NewZealand
Stephen Smith,Samoa,1995,Lock,8,2,4,2,0,0,NA,Danmark
Terry Fanolua,Samoa,1996,Centre,29,17,12,0,35,7,"Moto'otua, Western Samoa",Samoa
Sene Ta'ala,Samoa,1996,Flanker,18,11,6,1,0,0,Johnsonville,USA
Fa'avaivai Tanoa'i,Samoa,1996,Fly-half,2,1,1,0,10,0,NA,Austria
Onehunga Matauiau Esau,Samoa,1996,Hooker,9,4,5,0,0,0,NA,Austria
Kaisa Tuigamala,Samoa,1996,Centre,1,0,1,0,0,0,NA,Danmark
Zak Feau'nati,Samoa,1996,No. 8,14,9,4,1,10,2,Wellington,NewZealand
Afato So'oalo,Samoa,1996,Wing,20,12,7,1,75,15,"Apia, Western Samoa",Samoa
Inga Tuigamala,Samoa,1991,"Wing, Centre",41,27,14,0,36,8,"Faleasiu, Western Samoa",Samoa
Earl Va'a,Samoa,1996,Fly-half,28,15,12,1,174,3,Wellington,NewZealand
Robbie Ale,Samoa,1997,Prop,6,4,2,0,10,2,NA,Danmark
John Clarke,Samoa,1997,Scrum-half,5,4,1,0,10,2,Lower Hutt,NewZealand
Silao Leaegailesolo,Samoa,1997,Centre,19,10,9,0,145,2,"Apia, Western Samoa",Samoa
Trevor Leota,Samoa,1997,Hooker,30,15,14,1,5,1,Auckland,NewZealand
Tupae Pati,Samoa,1997,Fly-half,1,1,0,0,0,0,NA,Austria
Richard Rasmussen,Samoa,1997,Lock,1,1,0,0,0,0,NA,Svizra
Kepi Faiva'ai,Samoa,1998,Prop,9,4,4,1,0,0,Wellington,NewZealand
Fosi Pala'amo,Samoa,1998,Prop,14,7,7,0,5,1,Murupara,NewZealand
Opeta Palepoi,Samoa,1998,"Flanker, Lock",43,24,19,0,10,2,"Apia, Western Samoa",Samoa
Steve So'oialo,Samoa,1998,Scrum-half,40,18,22,0,25,5,"Moto'otua, Western Samoa",Samoa
Kalolo Toleafoa,Samoa,1998,Flanker,3,1,2,0,0,0,"Apia, Western Samoa",Samoa
Lama Tone,Samoa,1998,Lock,24,12,11,1,0,0,Auckland,NewZealand
Filipo Toala,Samoa,1998,Wing,6,1,5,0,5,1,Western Samoa,Samoa
Malua Tipi,Samoa,1998,Lock,7,2,5,0,0,0,,
Andrew Va'a,Samoa,1998,Hooker,1,0,1,0,0,0,,
Craig Glendinning,Samoa,1999,No. 8,22,13,8,1,5,1,Otahuhu,NewZealand
Ali Koko,Samoa,1999,Wing,1,0,1,0,10,2,Pago Pago,USA
Mepi Faoagali,Samoa,1999,"Centre, Wing",2,1,1,0,0,0,NA,Россия
Mark Luafalealo,Samoa,1999,Prop,10,6,4,0,0,0,NA,Austria
Semo Sititi,Samoa,1999,Flanker,63,33,30,0,85,17,"Moto'otua, Western Samoa",Samoa
Tanner Vili,Samoa,1999,Centre,34,16,17,1,99,4,Auckland,NewZealand
Fa'apulou So'olefai,Samoa,1999,"Wing, Centre",9,4,4,1,0,0,NA,Svizra
John Schuster,Samoa,1988,Centre,13,10,1,2,21,1,"Apia, Western Samoa",Samoa
Tani Fuga,Samoa,1999,Hooker,13,7,6,0,5,1,"Apia, Western Samoa",Samoa
Polo Asi,Samoa,1999,Prop,15,8,7,0,0,0,NA,Austria
Tom Curtis,Samoa,2000,Lock,6,5,1,0,10,2,NA,Danmark
Lome Fa'atau,Samoa,2000,Wing,40,19,21,0,75,15,Wellington,NewZealand
Kas Lealamanu'a,Samoa,2000,Prop,31,14,17,0,5,1,"Wellington, Western Samoa",Samoa
Elvis Seveali'i,Samoa,2000,Centre,22,11,11,0,45,9,Wellington,NewZealand
Malaga Leota,Samoa,2000,Prop,2,2,0,0,0,0,NA,Svizra
Denning Tyrell,Samoa,2000,Scrum-half,13,8,5,0,0,0,"Moto'otua, Western Samoa",Samoa
Tim Cowley,Samoa,2000,Flanker,3,3,0,0,0,0,Tokoroa,NewZealand
Ngapaku Ngapaku,Samoa,2000,Fly-half,3,3,0,0,2,0,Otahuhu,NewZealand
Iva Motusaga,Samoa,2000,Flanker,3,1,2,0,0,0,Porirua,NewZealand
S. Fa'asua Taua,Samoa,2000,No. 8,1,0,1,0,0,0,NA,Svizra
Junior Maligi,Samoa,2000,No. 8,2,0,2,0,0,0,,
Luke Mealamu,Samoa,2000,No. 8,2,0,2,0,0,0,NA,Svizra
Sika Poching,Samoa,2000,Lock,3,1,2,0,0,0,,
Quintan Sanft,Samoa,2000,Fly-half,2,0,2,0,6,0,,
Alfie To'oala Vaeluaga,Samoa,2000,Back-row,13,6,7,0,0,0,"Faga, Western Samoa",Samoa
Tuaifuaina Veiru,Samoa,2000,Prop,2,0,2,0,0,0,,
Joe Mamea,Samoa,2000,No. 8,2,0,2,0,0,0,Western Samoa,Samoa
Pule Misa,Samoa,2000,NA,2,0,2,0,0,0,,
Mahonri Schwalger,Samoa,2000,Hooker,42,18,24,0,20,4,"Apia, Western Samoa",Samoa
Dan Tafeamalii,Samoa,2000,Prop,2,0,2,0,0,0,,
Aleki Toleafoa,Samoa,2000,Fly-half,4,1,3,0,0,0,"Apia, Western Samoa",Samoa
Setefano Tone,Samoa,2000,Lock,2,0,2,0,0,0,NA,Austria
Mussolini Schuster,Samoa,2000,Wing,2,0,2,0,0,0,NA,Sverige
Anthony Mika,Samoa,2000,Flanker,1,0,1,0,0,0,Auckland,NewZealand
Leo Lafaiali'i,Samoa,2001,Lock,27,14,13,0,0,0,Auckland,NewZealand
Patrick Segi,Samoa,2001,Flanker,11,7,4,0,5,1,Auckland,NewZealand
Ace Tiatia,Samoa,2001,Hooker,7,4,3,0,0,0,Wellington,NewZealand
Hery Williams,Samoa,2001,Prop,3,3,0,0,0,0,,
Tamato Leupolu,Samoa,2001,Prop,15,8,7,0,5,1,Auckland,NewZealand
Jonathan Meredith,Samoa,2001,Hooker,21,11,10,0,5,1,"Apia, Western Samoa",Samoa
