Name,Team,Debut,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
C. Walt,Canada,1976,6,1,5,0,0,0,,
Keith Wilkinson,Canada,1976,3,0,3,0,0,0,,
A. Bauer,Canada,1977,5,2,3,0,4,1,,
Bill Collins,Canada,1977,2,1,1,0,0,0,,
M.J.W. Dandy,Canada,1977,3,1,2,0,0,0,,
D.C. Eburne,Canada,1977,3,1,2,0,0,0,,
G.G. Gonis,Canada,1977,4,1,3,0,9,1,,
Robbie Greig,Canada,1977,10,4,6,0,8,2,BC,Canada
Preston Wiley,Canada,1977,10,4,6,0,22,0,BC,Canada
F. Carson,Canada,1977,1,0,1,0,0,0,,
Garry Hirayama,Canada,1977,12,3,8,1,0,0,MB,Canada
Gary Grant,Canada,1977,6,1,5,0,0,0,,
S. Wood,Canada,1977,1,0,1,0,0,0,,
E.R. Stapleton,Canada,1978,2,0,2,0,4,1,,
Michael Williams,Canada,1978,4,1,3,0,0,0,,
Jim Donaldson,Canada,1978,13,5,7,1,7,1,BC,Canada
G.R. Johnston,Canada,1978,1,0,1,0,0,0,,
K.J. Peace,Canada,1978,5,2,3,0,4,1,,
J.D. Shaw,Canada,1978,1,0,1,0,0,0,,
Graham Taylor,Canada,1978,10,5,5,0,8,0,BC,Canada
Larry Chung,Canada,1978,1,0,1,0,0,0,,
D.G. van Eeuwen,Canada,1978,2,1,1,0,0,0,,
Andrew Bibby,Canada,1979,9,3,6,0,7,1,Barnet,United Kingdom
Robin Russell,Canada,1979,4,1,3,0,0,0,,
Ron McInnes,Canada,1979,13,4,8,1,0,0,SK,Slovensko
Dave Sinnott,Canada,1979,3,1,2,0,0,0,,
Don Carson,Canada,1980,10,3,6,1,0,0,New Westminster,Canada
Gary Dukelow,Canada,1980,14,4,9,1,0,0,BC,Canada
Mark Schiefler,Canada,1980,9,3,5,1,12,0,BC,Canada
Chuck Shergold,Canada,1980,3,2,1,0,0,0,BC,Canada
John Phelan,Canada,1980,5,0,5,0,0,0,AB,Canada
Garland Jennings,Canada,1981,5,2,3,0,0,0,NL,India
Charlie MacLaghlan,Canada,1981,3,0,3,0,0,0,,
Ian MacMillan,Canada,1981,9,2,6,1,0,0,ON,Canada
Jim Moyes,Canada,1981,5,0,4,1,0,0,Bournemouth,England
Bill Spofford,Canada,1981,1,0,1,0,0,0,,
Jamie Hawthorn,Canada,1982,6,2,4,0,0,0,BC,Canada
Evan Jones,Canada,1982,3,1,2,0,0,0,,
Paul Monaghan,Canada,1982,1,0,1,0,0,0,BC,Canada
Mark Wyatt,Canada,1982,29,13,15,1,234,2,,
Tony Godziek,Canada,1982,8,2,5,1,0,0,ON,Canada
John Lecky,Canada,1982,18,9,8,1,4,1,MB,Canada
Bernie Bonenberg,Canada,1983,3,2,1,0,0,0,,
F. Forster,Canada,1983,3,2,1,0,0,0,,
P.J. MacLean,Canada,1983,4,2,2,0,0,0,,
McLean,Canada,1983,1,1,0,0,3,0,,
Ross Breen,Canada,1983,2,1,1,0,0,0,,
Z. Cvitak,Canada,1983,1,0,1,0,0,0,,
Jim Delaney,Canada,1983,1,0,1,0,0,0,,
G. Fraser,Canada,1983,1,0,1,0,0,0,,
Cliff Jones,Canada,1983,2,1,1,0,0,0,,
Pat Palmer,Canada,1983,17,8,9,0,36,9,BC,Canada
R. Strang,Canada,1983,1,0,1,0,0,0,,
John Vivian,Canada,1983,2,0,2,0,0,0,,
Steve Gray,Canada,1984,47,25,22,0,26,6,ON,Canada
Matt Kokan,Canada,1984,3,1,2,0,0,0,,
P.A. Kyle,Canada,1984,1,0,1,0,0,0,,
Ian Stuart,Canada,1984,21,9,12,0,13,3,BC,Canada
Tom Woods,Canada,1984,19,8,11,0,5,1,BC,Canada
Norman Carr,Canada,1985,2,0,2,0,0,0,,
Mike Clarkin,Canada,1985,2,0,2,0,0,0,,
Marius Felix,Canada,1985,4,2,2,0,0,0,,
Bill Handson,Canada,1985,9,4,5,0,0,0,,
A.C. McGann,Canada,1985,2,0,2,0,0,0,,
Randy McKellar,Canada,1985,4,0,4,0,0,0,,
John Robertsen,Canada,1985,9,5,4,0,0,0,East London,SouthAfrica
Karl Svoboda,Canada,1985,24,12,12,0,0,0,ON,Canada
Dave Tucker,Canada,1985,6,3,3,0,4,1,,
Roy Radu,Canada,1985,12,8,4,0,0,0,BC,Canada
J.D.O. Devlin,Canada,1985,2,2,0,0,0,0,,
E.D. Kettleson,Canada,1985,1,1,0,0,0,0,,
Gord MacKinnon,Canada,1985,28,13,15,0,18,4,Glasgow,USA
Paul Vaesen,Canada,1985,5,4,1,0,8,2,,
Glen Ennis,Canada,1986,32,18,14,0,28,7,BC,Canada
Rob Frame,Canada,1986,6,3,3,0,8,2,,
Ian Hyde-Lay,Canada,1986,3,1,2,0,7,1,,
Eddie Evans,Canada,1986,49,30,19,0,14,3,BC,Canada
