Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Luke Dawai,Fiji,1947,Forward,2,2,0,0,0,0,,
Solomone Mataiyavi,Fiji,1947,Lock,2,2,0,0,0,0,,
Onisimo Naikovu,Fiji,1947,Prop,4,3,1,0,0,0,,
Tuiyau Naitini,Fiji,1947,Scrum-half,5,3,2,0,0,0,,
Etuate Nima,Fiji,1947,Wing,3,2,1,0,12,4,,
Manasa Nukuvou,Fiji,1947,Flanker,5,4,1,0,0,0,,
Ilisoni Ravoka,Fiji,1947,Wing,4,3,1,0,6,2,,
Lui Saladoka,Fiji,1947,Hooker,1,1,0,0,0,0,,
Waisea Tuisese,Fiji,1947,Centre,4,2,2,0,3,1,,
Alipate Veikoso,Fiji,1947,Fly-half,5,3,2,0,9,1,,
Taniela Ranavue,Fiji,1947,Fullback,10,5,5,0,41,3,,
Marika Tabukaci,Fiji,1947,Prop,2,2,0,0,0,0,,
Apisake Kikau,Fiji,1948,Lock,1,0,1,0,0,0,,
Malakai Labaibure,Fiji,1948,Lock,8,2,6,0,0,0,,
Joeli Susu,Fiji,1948,Hooker,6,3,3,0,3,1,,
Sailosi Valewai,Fiji,1948,Prop,6,3,3,0,3,1,,
Ilaitia Vuivuda,Fiji,1948,Fullback,3,1,2,0,0,0,,
Atunaisa Camaibau,Fiji,1948,Lock,2,1,1,0,6,2,,
Kalivati Cavuilati,Fiji,1948,Wing,4,2,2,0,0,0,,
Macanawai Cevalawa,Fiji,1948,Lock,2,1,1,0,0,0,,
Jone Ravu,Fiji,1948,Fly-half,5,2,3,0,0,0,,
Alipate Doviverata,Fiji,1948,Wing,1,0,1,0,0,0,,
Semisi Baleca,Fiji,1951,Lock,5,3,2,0,0,0,,
George Cavalevu,Fiji,1951,Centre,8,4,4,0,12,4,,
Sunia Ganilau,Fiji,1951,Centre,2,1,1,0,3,1,,
Waisake Kunavula,Fiji,1951,Lock,1,1,0,0,0,0,,
Penaia Lese,Fiji,1951,Fullback,1,1,0,0,0,0,,
Josefa Levula,Fiji,1951,Wing,17,8,8,1,32,8,,
Isimeli Radrodro,Fiji,1951,No. 8,5,4,1,0,6,0,,
Semisi Ralagi,Fiji,1951,Prop,5,3,2,0,3,1,,
Wame Salabogi,Fiji,1951,Fly-half,5,3,2,0,3,1,,
Maikeli Tuvoli,Fiji,1951,Lock,1,1,0,0,0,0,,
Suliasi Vatubua,Fiji,1951,Scrum-half,10,5,5,0,16,0,,
Rusiate Vuruya,Fiji,1951,No. 8,2,1,1,0,3,1,,
Savenaca Pe,Fiji,1951,Prop,5,3,2,0,6,2,,
Peni Tove,Fiji,1951,Prop,1,1,0,0,0,0,,
Semesa Seruvatu,Fiji,1952,Lock,7,3,4,0,6,2,,
Isikeli Cawa,Fiji,1952,Lock,3,3,0,0,0,0,,
Samuela Domoni,Fiji,1952,Centre,3,2,1,0,3,1,,
Navitalai Taga,Fiji,1952,Centre,1,1,0,0,0,0,,
Mesake Biumaiwai,Fiji,1954,Centre,4,1,3,0,0,0,,
Aminisitai Burogolevu,Fiji,1954,Wing,2,1,1,0,3,1,,
Gabirieli Naborisi,Fiji,1954,Flanker,1,0,1,0,3,1,,
Apenisa Nawalu,Fiji,1954,Prop,4,1,3,0,3,0,,
Josefa Saukuru,Fiji,1954,Hooker,15,10,5,0,19,2,,
Orisi Dawai,Fiji,1954,Wing,12,6,5,1,15,5,,
Tomasi Naidole,Fiji,1954,Wing,7,5,2,0,4,0,Malomalo,
Ratulevu Silatolu,Fiji,1954,Flanker,3,1,2,0,0,0,,
Ravuama Vunakece,Fiji,1954,Prop,2,1,1,0,0,0,,
Senitiki Naurisau,Fiji,1954,Hooker,2,0,2,0,0,0,,
Aseri Kunawave,Fiji,1957,Centre,6,4,2,0,0,0,,
Jese Mucunabitu,Fiji,1957,Scrum-half,9,4,5,0,3,1,,
Nacanieli Nabaro,Fiji,1957,Flanker,7,2,4,1,9,3,,
Mikaele Naikovu,Fiji,1957,Hooker,5,4,1,0,0,0,,
Paula Nayacakalou,Fiji,1957,No. 8,1,1,0,0,0,0,,
