Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Bede Smith,Australia,1905,Centre,4,0,3,1,0,0,"Wellington, NSW",Australia
Mac Smith,Australia,1905,Centre,1,0,1,0,0,0,"Bathurst, NSW",England
Blair Swannell,Australia,1899,Forward,8,6,2,0,3,1,"W Underwood, Bucks",England
"Jack ""Bowser"" Barnett",Australia,1907,Prop,5,1,3,1,0,0,"Carcoar, NSW",Australia
Peter Burge,Australia,1907,Lock,3,0,2,1,0,0,"Penrith, NSW",Australia
Bill Dix,Australia,1907,Fullback,4,1,2,1,0,0,Ashton-in-Makerfield,England
Peter Flanagan,Australia,1907,Flanker,2,0,2,0,0,0,Dublin,Ireland
Tom Griffin,Australia,1907,Hooker,6,2,3,1,0,0,"Sydney, NSW",Australia
James Hughes,Australia,1907,Flanker,2,0,1,1,0,0,"Elizabeth Bay, Sydney",Australia
Paddy McCue,Australia,1907,Lock,4,1,2,1,0,0,"Sydney, NSW",Australia
Chris McKivat,Australia,1907,Fly-half,4,1,2,1,0,0,"Cumnock, NSW",Australia
Johnny Rosewell,Australia,1907,Prop,2,0,1,1,0,0,"Sydney, NSW",Australia
Norm Row,Australia,1907,Flanker,6,2,3,1,15,2,"Manly, NSW",Australia
Charles Russell,Australia,1907,Wing,5,1,3,1,9,3,"St Peters, Sydney",Australia
George Watson,Australia,1907,Wing,1,0,1,0,0,0,"Brisbane, QLD",Australia
Fred Wood,Australia,1907,Scrum-half,12,2,9,1,3,1,Staffordshire,England
Bob Graves,Australia,1907,Second-row,1,0,1,0,0,0,"Sydney, NSW",Australia
William Canniffe,Australia,1907,Lock,1,0,1,0,0,0,"Keppel Island, QLD",Australia
Jack Fihelly,Australia,1907,Flanker,1,0,1,0,0,0,Timoleague,Ireland
Edward Mandible,Australia,1907,Fly-half,3,0,2,1,0,0,"Woolloomooloo, Sydney",Australia
Dally Messenger,Australia,1907,Wing,2,0,1,1,7,1,"Balmain, NSW",Australia
Esmond Parkinson,Australia,1907,Wing,1,0,1,0,0,0,"Colinton, QLD",Australia
Son Burge,Australia,1907,Lock,2,0,1,1,0,0,"Penrith, NSW",Australia
Danny Carroll,Australia,1908,"Fly-half, Centre",5,2,3,0,3,1,"Melbourne, VIC",Australia
Bob Craig,Australia,1908,Hooker,1,0,1,0,0,0,"Sydney, NSW",Australia
Charles Hammand,Australia,1908,Lock,2,1,1,0,0,0,"Waverley, NSW",Australia
Jack Hickey,Australia,1908,Centre,2,1,1,0,0,0,"Sydney, NSW",Australia
Paddy Moran,Australia,1908,Flanker,1,0,1,0,0,0,Darlington,SouthAfrica
Ward Prentice,Australia,1908,Centre,6,3,3,0,3,0,"Homebush, Sydney",Australia
Rusty Richards,Australia,1908,Forward,5,3,2,0,6,2,"Vegetable Creek, NSW",Australia
Ken Gavin,Australia,1909,Prop,1,1,0,0,0,0,"Cudal, NSW",Australia
Mannie McArthur,Australia,1909,Flanker,1,1,0,0,0,0,"Sydney, NSW",Australia
Arthur McCabe,Australia,1909,Fly-half,1,1,0,0,0,0,"Tamworth, NSW",Australia
Syd Middleton,Australia,1909,No. 8,4,2,2,0,0,0,"Glebe, NSW",Australia
Dinny Campbell,Australia,1910,Centre,3,1,2,0,0,0,"Penrith, NSW",Australia
Alf Dunbar,Australia,1910,Wing,4,2,2,0,0,0,"Glebe, NSW",Australia
Larry Dwyer,Australia,1910,Fullback,8,3,5,0,4,0,"Orange, NSW",Australia
Brickey Farmer,Australia,1910,Flanker,1,0,1,0,0,0,Holborn,England
Harald George,Australia,1910,Prop,8,3,5,0,0,0,"Paddington, NSW",Australia
Herb Gilbert,Australia,1910,Wing,3,1,2,0,9,3,"Gulgong, NSW",Australia
Charlie Hodgens,Australia,1910,Fly-half,3,1,2,0,3,1,"Newcastle, NSW",Australia
Pat Murphy,Australia,1910,Lock,9,2,7,0,0,0,"Rockhampton, QLD",Australia
Frederick Timbury,Australia,1910,Lock,2,1,1,0,0,0,"Gladstone, QLD",Australia
Bob Stuart,Australia,1910,Flanker,2,1,1,0,0,0,"Annandale, NSW",Australia
Leo Reynolds,Australia,1910,Lock,2,1,1,0,0,0,"Essendon, VIC",Australia
Joe Slater,Australia,1910,Prop,1,0,1,0,0,0,"Manly, NSW",Australia
Bob Adamson,Australia,1912,Wing,1,1,0,0,0,0,"Leichardt, NSW",Australia
Ted Fahey,Australia,1912,Lock,4,1,3,0,0,0,"Sydney, NSW",Australia
Copper Kent,Australia,1912,Flanker,1,1,0,0,0,0,"Toowoomba, QLD",Australia
Lou Meibusch,Australia,1912,Wing,1,1,0,0,3,1,"Toowoomba, QLD",Australia
William Murphy,Australia,1912,No. 8,1,1,0,0,0,0,NA,Ireland
George Pugh,Australia,1912,Lock,1,1,0,0,0,0,"Glebe, NSW",Australia
Alfred Walker,Australia,1912,Scrum-half,16,7,9,0,9,3,"Sydney, NSW",Australia
Bill Watson,Australia,1912,Prop,8,2,6,0,0,0,Nelson,NewZealand
Ernie Carr,Australia,1913,Wing,6,1,5,0,3,1,"Sydney, NSW",Australia
Bill Cody,Australia,1913,Flanker,3,1,2,0,0,0,"Clifton Hill, VIC",Australia
Hebert Jones,Australia,1913,Centre,3,1,2,0,9,3,"Newcastle, NSW",Australia
Michael McMahon,Australia,1913,Fullback,1,0,1,0,2,0,Queensland,Australia
Claud O'Donnell,Australia,1913,Hooker,2,0,2,0,0,0,"Sydney, NSW",Australia
Dudley Suttor,Australia,1913,Wing,3,1,2,0,9,3,"Cowra, NSW",Australia
Bill Tasker,Australia,1913,Fly-half,6,1,5,0,0,0,"Condoblin, NSW",Australia
Fred Thompson,Australia,1913,No. 8,6,1,5,0,3,1,"Marouba, NSW",Australia
Clarrie Wallach,Australia,1913,Lock,5,1,4,0,0,0,"Bondi Beach, NSW",Australia
