Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Eros Cicognani,Italy,1940,No. 8,1,1,0,0,0,0,,
Ettore Parmiggiani,Italy,1942,Fly-half,2,2,0,0,4,0,,
Guido Romano,Italy,1942,Prop,1,1,0,0,3,1,,
Piero Romano,Italy,1942,Prop,1,1,0,0,0,0,,
Enrico Zanetti,Italy,1942,Flanker,1,1,0,0,0,0,Venezia,Italia
Giuseppe Sessi,Italy,1942,NA,1,1,0,0,0,0,RE,Italia
Aldo Battagion,Italy,1948,Scrum-half,2,1,1,0,2,0,Bergamo,Italia
Francesco Battaglini,Italy,1948,Flanker,1,0,1,0,0,0,Rovigo,Italia
Vittorio Borsetto,Italy,1948,Prop,2,1,1,0,0,0,NA,
Carlo de Vecchi,Italy,1948,No. 8,1,0,1,0,0,0,Milano,Italia
Umberto Faccioli,Italy,1948,Fly-half,1,0,1,0,0,0,,
Enrico Fava,Italy,1948,Centre,2,1,1,0,5,0,,
Renzo Maini,Italy,1948,Flanker,2,1,1,0,0,0,PR,Česko
Italo Mattacchini,Italy,1948,Hooker,9,4,5,0,0,0,TE,جمهوری اسلامی‏ايران‎
Giuseppe Molinari,Italy,1948,Prop,1,0,1,0,0,0,,
Paolo Rosi,Italy,1948,Centre,12,6,6,0,21,7,Roma,Italia
Enrico Rossini,Italy,1948,Wing,6,3,3,0,6,2,Roma,Italia
Pietro Stievano,Italy,1948,Wing,8,4,4,0,6,2,Piove di Sacco,Italia
Temistocle Tedeschi,Italy,1948,Fullback,1,0,1,0,0,0,,
Vittorio Vicariotto,Italy,1948,Lock,1,0,1,0,0,0,Vicenza,Italia
Sergio Barilari,Italy,1948,Lock,3,3,0,0,0,0,Roma,Italia
Luciano Bove,Italy,1948,Lock,3,1,2,0,0,0,,
Giovanni Favretto,Italy,1948,Prop,2,1,1,0,0,0,,
Piero Gabrielli,Italy,1948,Flanker,5,2,3,0,3,1,Roma,Italia
Primo Masci,Italy,1948,Flanker,9,4,5,0,6,2,Parma,Italia
Fulvio Pitorri,Italy,1948,Wing,2,1,1,0,3,1,,
Silvano Tartaglini,Italy,1948,Fullback,8,4,4,0,0,0,Roma,Italia
Mario Pisaneschi,Italy,1948,Scrum-half,12,7,5,0,6,1,Parma,Italia
Giovanni Bonino,Italy,1949,Flanker,1,0,1,0,0,0,,
Giogio Dagnini,Italy,1949,Scrum-half,1,0,1,0,0,0,,
Sergio Lanfranchi,Italy,1949,Back-row,21,7,14,0,36,4,Parma,Italia
Piero Marini,Italy,1949,Fly-half,7,4,3,0,9,1,Roma,Italia
Umberto Silvestri,Italy,1949,Lock,2,0,2,0,0,0,Roma,Italia
Mario Turcato,Italy,1949,Prop,2,1,1,0,0,0,RO,România
Angelo Arrigoni,Italy,1949,Wing,1,0,1,0,0,0,CR,Costa Rica
Giulio Cherubini,Italy,1949,Flanker,2,1,1,0,3,1,Roma,Italia
Gianni del Bono,Italy,1951,Wing,1,1,0,0,0,0,Parma,Italia
Paolo Favaretto,Italy,1951,Hooker,1,1,0,0,0,0,Padova,Italia
Romildo Gabanella,Italy,1951,Prop,2,2,0,0,0,0,Rovigo,Italia
Rodolfo Giuliani,Italy,1951,No. 8,1,1,0,0,0,0,Roma,Italia
Fausto Perrone,Italy,1951,Scrum-half,1,1,0,0,0,0,L'Aquila,Italia
Leonardo Riccioni,Italy,1951,Lock,7,4,3,0,0,0,Roma,Italia
Paolo Dari,Italy,1951,Lock,8,6,2,0,19,3,RO,România
Gianni Aiolfi,Italy,1952,No. 8,6,3,3,0,3,1,Parma,Italia
Aldo Cecchetto-Milani,Italy,1952,Scrum-half,3,2,1,0,8,0,Rovigo,Italia
Lamberto de Santis,Italy,1952,Hooker,1,1,0,0,0,0,Roma,Italia
Giorgio Fornari,Italy,1952,Prop,16,10,6,0,3,1,Parma,Italia
Enzo Gerosa,Italy,1952,Wing,7,5,2,0,15,5,Milano,Italia
Francis Martinenghi,Italy,1952,Centre,2,2,0,0,0,0,Milano,Italia
Riccardo Santopadre,Italy,1952,Fly-half,5,3,2,0,0,0,Macerata,Italia
Luciano Turcato,Italy,1952,Prop,5,4,1,0,2,0,MN,USA
Carlo Zucchi,Italy,1952,Centre,2,1,1,0,0,0,Milano,Italia
Giorgio Grasselli,Italy,1952,Prop,1,1,0,0,0,0,Roma,Italia
Mimmo Mancini,Italy,1952,Hooker,12,7,5,0,3,1,Parma,Italia
Emilio Andina,Italy,1952,Centre,2,0,2,0,0,0,Pesaro,Italia
Mario Percudani,Italy,1952,No. 8,9,5,4,0,9,3,Parma,Italia
Giancarlo Malosti,Italy,1953,Flanker,7,2,5,0,3,1,Rovigo,Italia
Nando Barbini,Italy,1953,Fullback,13,10,3,0,19,2,Milano,Italia
Romano Bettarello,Italy,1953,Centre,2,2,0,0,0,0,RO,România
Gianfranco Zanchi,Italy,1953,No. 8,5,5,0,0,0,0,,
Italo Scodavolpe,Italy,1954,Lock,1,1,0,0,0,0,Pescara,Italia
Remo Zanatta,Italy,1954,Centre,2,1,1,0,0,0,Treviso,Italia
Sergio Silvestri,Italy,1954,Wing,1,0,1,0,0,0,Roma,Italia
Andrea Taveggia,Italy,1954,Prop,16,8,8,0,11,1,Milano,Italia
Alberto Comin,Italy,1955,Centre,8,4,4,0,9,0,Padova,Italia
Antonio Danieli,Italy,1955,Prop,5,3,2,0,0,0,,
Ciano Luise I,Italy,1955,Wing,10,6,4,0,3,1,Padova,Italia
Aldo Mioni,Italy,1955,Fly-half,4,1,3,0,0,0,AQ,Antarctica
Gianni Riccardi,Italy,1955,Lock,7,4,3,0,0,0,BS,The Bahamas
Matteo Silini,Italy,1955,Lock,8,5,3,0,0,0,PR,Česko
Ivano Ponchia,Italy,1955,Wing,7,3,4,0,0,0,Padova,Italia
Maurizio Carli,Italy,1955,Fly-half,2,2,0,0,0,0,Parma,Italia
Franco Perrini,Italy,1955,Fullback,11,4,7,0,22,0,Roma,Italia
Gastone Cecchetto,Italy,1955,Centre,1,0,1,0,0,0,Rovigo,Italia
Franco Frelich,Italy,1955,Prop,5,3,2,0,0,0,Treviso,Italia
Carlo Cantoni,Italy,1956,Wing,4,3,1,0,6,2,Milano,Italia
Lollo Levorato,Italy,1956,Prop,15,5,10,0,3,1,VE,Italy
Paolo Pescetto,Italy,1956,Wing,3,2,1,0,9,3,Genova,Italia
Giovanni Raisi,Italy,1956,Lock,7,4,3,0,0,0,RO,România
Ferdinando Sartorato,Italy,1956,Scrum-half,3,1,2,0,0,0,TV,Italy
Lamberto Simonelli,Italy,1956,Centre,6,3,3,0,3,1,Roma,Italia
Arturo Zucchello,Italy,1956,Fly-half,2,1,1,0,0,0,Treviso,Italia
Giuseppe Bottacin,Italy,1956,Scrum-half,1,1,0,0,0,0,Padova,Italia
Guglielmo Geremia,Italy,1956,Prop,1,1,0,0,0,0,Padova,Italia
Guglielmo Colussi,Italy,1957,Fullback,7,3,4,0,0,0,Roma,Italia
Natale Molari,Italy,1957,Wing,2,1,1,0,0,0,,
Enrico Saibene,Italy,1957,Fly-half,2,1,1,0,0,0,Milano,Italia
Sergio Brusin,Italy,1957,Scrum-half,1,1,0,0,0,0,UD,Italia
Giancarlo Busson,Italy,1957,Fullback,10,5,5,0,7,0,Trieste,Italia
Giancarlo Navarrini,Italy,1957,Hooker,2,2,0,0,3,1,La Spezia,Italia
Riccardo Saetti,Italy,1957,Lock,9,4,5,0,0,0,Venezia,Italia
Luciano Valtorta,Italy,1957,Flanker,2,1,1,0,0,0,Brescia,Italia
