Name,Team,Debut,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Tai Tuisamoa,USA,2013,6,3,3,0,0,0,United States,USA
Shaun Davies,USA,2013,1,1,0,0,0,0,,
Tom Coolican,USA,2014,8,3,4,1,0,0,United States,USA
Kyle Sumsion,USA,2014,5,1,3,1,0,0,United States,USA
Shalom Suniula,USA,2014,16,5,10,1,5,1,Pago Pago,USA
Danny Barrett,USA,2014,13,4,9,0,0,0,United States,USA
Chad London,USA,2014,4,2,2,0,10,2,Johannesburg,SouthAfrica
Brett Thompson,USA,2014,6,2,4,0,5,1,United States,USA
Tim Stanfill,USA,2014,5,1,4,0,10,2,United States,USA
Matt Trouville,USA,2014,5,2,3,0,0,0,NA,Australia
John Cullen,USA,2014,3,1,2,0,0,0,United States,USA
Greg Peterson,USA,2014,11,3,8,0,5,1,NSW,Australia
Ben Tarr,USA,2014,2,1,1,0,0,0,United States,USA
Ronnie McLean-Dents,USA,2014,1,0,1,0,4,0,United States,USA
Aj MacGinty,USA,2015,8,3,5,0,90,0,Dublin,Ireland
Zach Test,USA,2015,6,2,4,0,0,0,United States,USA
Al McFarland,USA,2015,9,3,6,0,0,0,NSW,Australia
Chris Baumann,USA,2015,9,4,5,0,10,2,United States,USA
Niku Kruger,USA,2015,5,3,2,0,15,1,Pretoria,SouthAfrica
Joe Taufete'e,USA,2015,4,2,2,0,10,2,,
Jake Anderson,USA,2016,3,2,1,0,5,1,United States,USA
James Bird,USA,2016,2,1,1,0,8,0,Cardiff,United Kingdom
Nate Brakeley,USA,2016,2,2,0,0,0,0,,
LeMoto Fillikitonga,USA,2016,1,1,0,0,0,0,,
Ben Landry,USA,2016,3,2,1,0,0,0,,
Kingsley McGowan,USA,2016,2,1,1,0,0,0,United States,USA
Brodie Orth,USA,2016,3,2,1,0,0,0,,
Mike Sosene-Feagai,USA,2016,3,2,1,0,0,0,,
David Tameilau,USA,2016,3,2,1,0,0,0,,
Mike Te'o,USA,2016,3,2,1,0,10,2,United States,USA
Jean-Pierre Eloff,USA,2016,3,2,1,0,19,1,Pretoria,SouthAfrica
Mike Garrity,USA,2016,2,1,1,0,0,0,United States,USA
Alec Gletzer,USA,2016,2,2,0,0,0,0,United States,USA
James Hilterbrand,USA,2016,1,1,0,0,0,0,SA,Österreich
Tom Bliss,USA,2016,1,1,0,0,0,0,United States,USA
Nic Edwards,USA,2016,1,1,0,0,5,1,NSW,Australia
Lorenzo Thomas,USA,2016,1,1,0,0,5,1,,
Demecus Beach,USA,2016,2,1,1,0,0,0,,
Patrick Blair,USA,2016,1,1,0,0,0,0,United States,USA
Ryan Matyas,USA,2016,2,1,1,0,0,0,,
James King,USA,2016,1,0,1,0,0,0,Pukekohe,NewZealand
Aladdin Schirmer,USA,2016,1,0,1,0,5,1,United States,USA
Hanco Germishuys,USA,2016,1,0,1,0,0,0,,
