Name,Team,Debut,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Jeff Hollings,USA,1979,2,0,2,0,0,0,,
Boyd Morrison,USA,1979,2,0,2,0,0,0,,
Chimere Okezie,USA,1979,6,0,5,1,0,0,,
Joe Sheitlin,USA,1979,1,0,1,0,0,0,,
John Fowler,USA,1980,7,0,6,1,0,0,,
Tim Moser,USA,1980,1,0,1,0,0,0,,
Mike Purcell,USA,1980,14,3,9,2,16,4,United States,USA
Brian Swords,USA,1980,3,0,3,0,0,0,,
Douglas Parks,USA,1980,1,0,1,0,0,0,,
Tom Smith,USA,1980,4,0,4,0,3,0,,
Lin Walton,USA,1980,4,0,4,0,4,1,,
Ed Burlingham,USA,1980,14,3,9,2,0,0,,
Chip Howard,USA,1980,1,0,1,0,0,0,,
Tim O'Brien,USA,1980,3,0,3,0,0,0,,
Denis Shanagher,USA,1980,9,2,5,2,0,0,,
Art Ward,USA,1980,2,0,2,0,0,0,,
Roy Helu,USA,1981,12,3,8,1,8,2,,
Gary Lambert,USA,1981,18,6,11,1,12,3,,
Steve Finkel,USA,1981,6,0,6,0,0,0,,
Jamie Grant,USA,1981,1,0,1,0,0,0,,
Dave Bateman,USA,1982,5,1,3,1,0,0,,
John Jelaco,USA,1982,2,0,1,1,0,0,,
Bo Meyersieck,USA,1982,5,1,3,1,3,0,,
Kirk Miles,USA,1982,2,0,1,1,0,0,,
Ian Gunn,USA,1982,1,0,1,0,0,0,,
Terry Whelan,USA,1982,5,2,3,0,0,0,,
Fred Paoli,USA,1982,20,6,13,1,0,0,United States,USA
Rick Crivellone,USA,1983,3,0,3,0,4,1,,
Ray Nelson,USA,1983,25,7,17,1,65,5,Glasgow,USA
Mark Ormsby,USA,1983,1,0,1,0,0,0,,
Doug Straehley,USA,1983,2,1,1,0,0,0,,
Blane Warhurst,USA,1983,9,4,4,1,8,2,,
Jake Burkhardt,USA,1983,2,0,2,0,0,0,,
Bill Shiflet,USA,1983,4,1,3,0,0,0,,
Neal Brendel,USA,1983,6,3,3,0,0,0,,
Mark Deaton,USA,1983,3,2,1,0,0,0,,
Jon Hartman,USA,1983,2,1,1,0,4,1,,
Ian Loveseth,USA,1983,1,0,1,0,0,0,,
Mike Caulder,USA,1984,3,1,2,0,4,1,,
John Everett,USA,1984,7,4,2,1,0,0,,
Butch Horwath,USA,1984,7,3,4,0,0,0,,
Dave Jenkinson,USA,1984,3,1,1,1,0,0,,
Whit Everett,USA,1985,3,1,1,1,4,1,,
Kevin Higgins,USA,1985,28,9,18,1,16,4,United States,USA
Mike Inns,USA,1985,3,1,2,0,22,0,,
Willie Jefferson,USA,1985,6,1,5,0,8,2,United States,USA
Kevin Swords,USA,1985,36,11,25,0,8,2,United States,USA
Bruce Monroe,USA,1985,1,0,1,0,0,0,,
Joe Clarkson,USA,1986,5,2,2,1,13,1,,
Dave Dickson,USA,1986,2,0,1,1,0,0,,
Lance Manga,USA,1986,8,2,5,1,0,0,United States,USA
Brian Vizard,USA,1986,22,7,14,1,0,0,United States,USA
Dave Horton,USA,1986,3,0,3,0,9,0,,
John Mickel,USA,1986,1,0,1,0,0,0,,
Tommy Vinick,USA,1986,3,0,3,0,0,0,,
Alec Montgomery,USA,1986,6,1,5,0,0,0,,
Bill Bernhard,USA,1987,1,1,0,0,11,0,,
Gary Hein,USA,1987,25,7,18,0,12,3,United States,USA
Mike Saunders,USA,1987,12,4,8,0,8,2,,
Pat Johnson,USA,1987,16,3,13,0,4,1,United States,USA
Tony Ridnell,USA,1987,14,4,10,0,4,1,United States,USA
Mark Carlson,USA,1987,2,0,2,0,0,0,,
Chris Doherty,USA,1987,1,0,1,0,0,0,,
Jeff Peter,USA,1987,2,0,2,0,0,0,,
Mark Williams,USA,1987,37,11,26,0,143,3,Ellsbury,USA
Ron Zenker,USA,1987,2,0,2,0,0,0,,
Sam Vaka,USA,1987,1,0,1,0,0,0,,
Shawn Lipman,USA,1988,9,4,5,0,0,0,Johannesburg,SouthAfrica
Chris O'Brien,USA,1988,20,6,14,0,144,7,United States,USA
Mike Smith,USA,1988,1,1,0,0,0,0,,
Barry Williams,USA,1988,4,2,2,0,12,3,,
Bill Leversee,USA,1988,15,6,9,0,12,3,United States,USA
Knutson,USA,1988,1,0,1,0,0,0,,
Rob Farley,USA,1989,16,5,11,0,4,1,United States,USA
Gerry McDonald,USA,1989,3,0,3,0,0,0,,
Mike Siano,USA,1989,4,1,3,0,8,2,,
Russ Isaac,USA,1989,2,0,2,0,0,0,,
Chris Lippert,USA,1989,38,12,26,0,0,0,United States,USA
Brian Corcoran,USA,1989,3,1,2,0,8,2,,
Barry Daily,USA,1989,12,5,7,0,16,4,Sanson,France
Tom McCormack,USA,1989,4,2,2,0,4,1,,
Steve LaPorta,USA,1989,2,1,1,0,0,0,,
Norm Mottram,USA,1990,9,2,7,0,0,0,Glasgow,USA
Mark Sawicki,USA,1990,6,3,3,0,0,0,United States,USA
Joe Burke,USA,1990,9,4,5,0,0,0,United States,USA
Mike de Jong,USA,1990,9,3,6,0,18,0,Pretoria,SouthAfrica
Don James,USA,1990,9,2,7,0,0,0,,
Rory Lewis,USA,1990,2,1,1,0,4,1,,
Chris Williams,USA,1990,6,3,3,0,4,1,,
Dennis Gonzalez,USA,1990,3,1,2,0,0,0,,
Tony Flay,USA,1990,7,3,4,0,4,1,Rotorua,NewZealand
Eric Whitaker,USA,1990,5,1,4,0,0,0,United States,USA
Bill Hayward,USA,1991,2,1,1,0,0,0,,
Ben Hough,USA,1991,3,1,2,0,0,0,,
Glenn Judge,USA,1991,2,1,1,0,16,0,,
Mark Pidcock,USA,1991,3,0,3,0,0,0,United States,USA
Jeff Schraml,USA,1991,2,0,2,0,0,0,,
Chuck Tunnacliffe,USA,1991,4,1,3,0,0,0,United States,USA
Paul Sheehy,USA,1991,4,1,3,0,4,1,United States,USA
Jay Wilkerson,USA,1991,17,6,11,0,5,1,United States,USA
Graham Downes,USA,1992,1,1,0,0,0,0,Durban,SouthAfrica
