Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Simione Fangupo,Tonga,1934,NA,3.0,1.0,2.0,0.0,0.0,0.0,,
Fine Fifita,Tonga,1934,NA,3.0,1.0,2.0,0.0,0.0,0.0,,
Lisala Fifita,Tonga,1934,NA,3.0,1.0,2.0,0.0,0.0,0.0,,
Siua Kaihau,Tonga,1934,NA,3.0,1.0,2.0,0.0,0.0,0.0,,
Timote Mafi,Tonga,1934,NA,3.0,1.0,2.0,0.0,0.0,0.0,,
Viliami Moeaki,Tonga,1934,Centre,3.0,1.0,2.0,0.0,0.0,0.0,,
Sione Napa'a,Tonga,1934,NA,3.0,1.0,2.0,0.0,3.0,1.0,,
Tevita Piukala,Tonga,1934,NA,3.0,1.0,2.0,0.0,3.0,1.0,,
Henele Taliai,Tonga,1934,NA,3.0,1.0,2.0,0.0,0.0,0.0,,
Sione Tunufa'i,Tonga,1934,NA,3.0,1.0,2.0,0.0,0.0,0.0,,
Tevita Unga,Tonga,1934,NA,3.0,1.0,2.0,0.0,0.0,0.0,,
Tevita Apitani,Tonga,1947,Centre,2.0,0.0,2.0,0.0,0.0,0.0,,
Samiuela Fotu,Tonga,1947,Centre,1.0,0.0,1.0,0.0,0.0,0.0,,
Mesiu Ilolahia,Tonga,1947,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
Tevita Kaufana,Tonga,1947,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Valita Likio,Tonga,1947,Flanker,2.0,0.0,2.0,0.0,0.0,0.0,,
Tongatoutei Ma'u,Tonga,1947,No. 8,2.0,0.0,2.0,0.0,3.0,0.0,,
Valeti Ma'u,Tonga,1947,Fullback,1.0,0.0,1.0,0.0,0.0,0.0,,
Sione Mo'ungalo,Tonga,1947,Fly-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Sini Pouanga,Tonga,1947,Lock,2.0,0.0,2.0,0.0,0.0,0.0,,
Tevita Samiu,Tonga,1947,Scrum-half,1.0,0.0,1.0,0.0,0.0,0.0,,
Makoni Sifa,Tonga,1947,Hooker,1.0,0.0,1.0,0.0,0.0,0.0,,
Kuli Tonga,Tonga,1947,Scrum-half,2.0,0.0,2.0,0.0,0.0,0.0,,
Malakai Tonga,Tonga,1947,Wing,2.0,0.0,2.0,0.0,0.0,0.0,,
Soane Tu'ipulotu,Tonga,1947,Lock,2.0,0.0,2.0,0.0,3.0,1.0,,
Sione Valeli,Tonga,1947,Prop,1.0,0.0,1.0,0.0,4.0,0.0,,
Inoke,Tonga,1947,Flanker,1.0,0.0,1.0,0.0,3.0,1.0,,
Malu,Tonga,1947,Fullback,1.0,0.0,1.0,0.0,0.0,0.0,,
Tuifio Taufa Aloua,Tonga,1958,NA,3.0,1.0,2.0,0.0,0.0,0.0,,
Kisione Fifita,Tonga,1958,Flanker,3.0,1.0,2.0,0.0,0.0,0.0,,
Samiu Hala'unga,Tonga,1958,Centre,3.0,1.0,2.0,0.0,0.0,0.0,,
Mafile'o Kefu,Tonga,1958,Centre,7.0,3.0,4.0,0.0,7.0,0.0,,
Sele Latukefu,Tonga,1958,Lock,9.0,4.0,5.0,0.0,0.0,0.0,,
Samiuela Mafana,Tonga,1958,Flanker,7.0,3.0,4.0,0.0,3.0,1.0,,
Lutu Mailangi,Tonga,1958,Flanker,7.0,3.0,4.0,0.0,0.0,0.0,,
Tevita Moli,Tonga,1958,Prop,3.0,1.0,2.0,0.0,0.0,0.0,,
Sione Nauvai,Tonga,1958,Wing,4.0,2.0,2.0,0.0,3.0,1.0,,
Tevita Sika,Tonga,1958,Fullback,3.0,1.0,2.0,0.0,0.0,0.0,,
Sione Tavo,Tonga,1958,Prop,13.0,5.0,7.0,1.0,3.0,1.0,,
Talaiasi Teu,Tonga,1958,Centre,3.0,1.0,2.0,0.0,0.0,0.0,,
Paula Tevi,Tonga,1958,Wing,3.0,1.0,2.0,0.0,0.0,0.0,,
Isikeli Vaka'uta,Tonga,1958,Fullback,6.0,2.0,4.0,0.0,5.0,0.0,,
Sione Vunipola,Tonga,1958,Prop,5.0,2.0,3.0,0.0,0.0,0.0,,
Finau Otutoa,Tonga,1958,Prop,2.0,1.0,1.0,0.0,0.0,0.0,,
Pauli Ma'afu,Tonga,1959,Flanker,3.0,2.0,1.0,0.0,0.0,0.0,,
Kalisi Moala,Tonga,1959,Prop,6.0,2.0,3.0,1.0,0.0,0.0,,
Lausi'i Tu'itavake,Tonga,1959,Hooker,4.0,2.0,2.0,0.0,0.0,0.0,,
Samiuela Ula,Tonga,1959,Scrum-half,4.0,2.0,2.0,0.0,3.0,1.0,,
Viliami Vaka'uta,Tonga,1959,Wing,2.0,2.0,0.0,0.0,2.0,0.0,,
Kakalosi Kioa,Tonga,1959,No. 8,2.0,2.0,0.0,0.0,0.0,0.0,,
Lausi'i Fililava,Tonga,1960,Centre,1.0,1.0,0.0,0.0,6.0,2.0,,
Uatesoni Palavi,Tonga,1960,Fly-half,3.0,1.0,2.0,0.0,3.0,1.0,,
Petelo Fa'apoi,Tonga,1963,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
Panuve Faka'ua,Tonga,1963,Centre,11.0,3.0,7.0,1.0,0.0,0.0,,
Siaosi Selupe,Tonga,1963,Lock,10.0,4.0,5.0,1.0,6.0,2.0,,
Ngalumoetutula Kalaniuvalu,Tonga,1963,No. 8,1.0,0.0,1.0,0.0,0.0,0.0,,
Foua Moala,Tonga,1963,Prop,4.0,1.0,3.0,0.0,3.0,1.0,,
Takai Sime,Tonga,1963,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
Tamata'ane Tatafu,Tonga,1963,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
Fetu'ulele,Tonga,1967,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Taniela Finau,Tonga,1967,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
Talitaufa Helu,Tonga,1967,Scrum-half,2.0,0.0,2.0,0.0,3.0,1.0,,
Kimpu 'Inoke,Tonga,1967,Flanker,11.0,3.0,7.0,1.0,10.0,3.0,,
Kei 'Iongi,Tonga,1967,Wing,12.0,4.0,7.0,1.0,10.0,2.0,,
Etuini Kelemeni,Tonga,1967,Wing,3.0,0.0,2.0,1.0,0.0,0.0,,
Tali Latukefu,Tonga,1967,Fly-half,6.0,1.0,4.0,1.0,0.0,0.0,,
Tevita Leger,Tonga,1967,Flanker,2.0,0.0,2.0,0.0,0.0,0.0,,
Tuilipe Mapa,Tonga,1967,Scrum-half,2.0,0.0,1.0,1.0,0.0,0.0,,
Viliami Pahulu,Tonga,1967,Hooker,9.0,4.0,4.0,1.0,16.0,0.0,,
Samiuela Tatafu,Tonga,1967,Fullback,1.0,0.0,1.0,0.0,0.0,0.0,,
Kalani Hafoka,Tonga,1967,Fullback,5.0,1.0,3.0,1.0,6.0,2.0,,
Viliami Hosea,Tonga,1967,Prop,2.0,0.0,1.0,1.0,0.0,0.0,,
Sione Kava,Tonga,1967,Flanker,1.0,0.0,0.0,1.0,0.0,0.0,,
Sione Motuliki,Tonga,1967,Lock,1.0,0.0,0.0,1.0,0.0,0.0,,
Freddie Muller,Tonga,1967,Scrum-half,8.0,3.0,4.0,1.0,3.0,1.0,,
Viliami 'Alipate,Tonga,1967,No. 8,5.0,2.0,3.0,0.0,0.0,0.0,,
Tali Kavapalu,Tonga,1967,Centre,14.0,6.0,8.0,0.0,10.0,3.0,,
George Selupe,Tonga,1967,Flanker,3.0,1.0,2.0,0.0,0.0,0.0,,
Telanisi,Tonga,1967,Lock,1.0,0.0,1.0,0.0,0.0,0.0,,
Supileo Fotu,Tonga,1968,Flanker,5.0,3.0,2.0,0.0,6.0,2.0,,
Fetu'ulele Mailangi,Tonga,1968,Lock,4.0,2.0,2.0,0.0,3.0,1.0,,
Sione Sika,Tonga,1968,Fullback,5.0,3.0,2.0,0.0,23.0,0.0,,
Molou Filimoehala,Tonga,1968,Hooker,5.0,1.0,4.0,0.0,0.0,0.0,,
Taniela Tonga,Tonga,1968,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
Sione Mafi Pahulu,Tonga,1969,No. 8,14.0,5.0,9.0,0.0,29.0,3.0,,
Sio Motu'apuaka,Tonga,1969,Prop,3.0,2.0,1.0,0.0,0.0,0.0,,
'Uhila Tai,Tonga,1969,Fly-half,2.0,1.0,1.0,0.0,0.0,0.0,,
Vainikolo Vanisi,Tonga,1969,Wing,2.0,2.0,0.0,0.0,0.0,0.0,,
'Inoke Lupina,Tonga,1969,Hooker,2.0,1.0,1.0,0.0,0.0,0.0,,
Malakai 'Alatini,Tonga,1969,Fly-half,12.0,4.0,8.0,0.0,14.0,4.0,,
Sami Latu,Tonga,1972,Centre,10.0,3.0,7.0,0.0,12.0,3.0,,
Taufu'i Moala,Tonga,1972,Wing,1.0,0.0,1.0,0.0,0.0,0.0,,
Kulini Motu'apuaka,Tonga,1972,Prop,1.0,0.0,1.0,0.0,0.0,0.0,,
Ilavalu Taufa,Tonga,1972,Fullback,1.0,0.0,1.0,0.0,2.0,0.0,,
