Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Gonzalo Garcia,Italy,2008,Centre,42,7,35,0,16,2,Mendoza,Argentina
Luke McLean,Italy,2008,Utility back,77,16,61,0,74,7,Townsville,Australia
Ignacio Fernandez-Rouyet,Italy,2008,Prop,7,2,5,0,0,0,Buenos Aires,Argentina
Riccardo Pavan,Italy,2008,"Wing, Centre",1,0,1,0,0,0,TV,Italy
Giulio Toniolatti,Italy,2008,Wing,15,6,9,0,10,2,Roma,Italy
Jean-Francois Montauriol,Italy,2009,"Lock, Flanker",2,0,2,0,0,0,Muret,France
Andrea Bacchetti,Italy,2009,Wing,2,0,2,0,0,0,Rovigo,Italy
Guilio Rubini,Italy,2009,Utility back,4,0,4,0,0,0,RM,Italy
Franco Sbaraglini,Italy,2009,Hooker,5,0,5,0,0,0,Mar del Plata,Argentina
Roberto Quartaroli,Italy,2009,Centre,5,1,4,0,0,0,L'Aquila,Italy
Quintin Geldenhuys,Italy,2009,Lock,61,15,46,0,0,0,Krugersdorp,SouthAfrica
Craig Gower,Italy,2009,Halfback,14,2,12,0,17,0,NSW,Australia
Paul Derbyshire,Italy,2009,Flanker,24,7,17,0,0,0,"Cecina, Livorno",Italy
Tito Tebaldi,Italy,2009,Scrum-half,20,4,16,0,3,0,Parma,Italy
Simone Favaro,Italy,2009,Flanker,27,10,17,0,5,1,Treviso,Italy
Riccardo Bocchino,Italy,2010,Scrum-half,14,5,9,0,29,0,Viterbo,Italy
Tommaso Benvenuti,Italy,2010,Centre,34,13,21,0,20,4,Vittorio Veneto,Italy
Edoardo Gori,Italy,2010,Scrum-half,50,15,35,0,25,5,Prato,Italy
Fabio Semenzato,Italy,2011,Scrum-half,12,2,10,0,5,1,Treviso,Italy
Tommaso d'Apice,Italy,2011,Hooker,10,5,5,0,5,1,Benevento,Italy
Cornelius van Zyl,Italy,2011,Lock,8,3,5,0,0,0,Nelspruit,SouthAfrica
Joshua Furno,Italy,2011,Lock,36,10,26,0,10,2,VIC,Australia
Giovanbattista Venditti,Italy,2012,Wing,33,9,24,0,30,6,Avezzano,Italy
Tobie Botes,Italy,2012,Scrum-half,22,5,17,0,8,0,Worcester,England
Luca Morisi,Italy,2012,Centre,16,4,12,0,10,2,Milano,Italy
Alberto de Marchi,Italy,2012,Prop,29,7,22,0,0,0,Jesolo,Italy
Davide Giazzon,Italy,2012,Hooker,27,7,20,0,0,0,Venice,Italy
Lorenzo Romano,Italy,2012,Prop,2,1,1,0,0,0,Bagno a Ripoli,Italy
Alberto Benettin,Italy,2012,"Centre, Fly-half",1,1,0,0,0,0,Padova,Italy
Andrea Pratichetti,Italy,2012,Centre,3,1,2,0,0,0,Roma,Italy
Marco Fuser,Italy,2012,Lock,9,3,6,0,5,1,Villorba,Italy
Tommaso Iannone,Italy,2012,Utility back,10,2,8,0,5,1,Treviso,Italy
Francesco Minto,Italy,2012,Back-row,26,5,21,0,0,0,VE,Italy
Alberto di Bernardo,Italy,2013,Fly-half,4,0,4,0,31,0,Rosario,Argentina
Andrea Manici,Italy,2013,Hooker,16,3,13,0,0,0,Parma,Italy
Leandro Cedaro,Italy,2013,Lock,1,0,1,0,0,0,Resistencia,Argentina
Leonardo Sarto,Italy,2013,Wing,26,3,23,0,30,6,VR,Italy
Alberto Chillon,Italy,2013,Scrum-half,1,0,1,0,0,0,Venezia,Italy
Tommaso Allan,Italy,2013,Fly-half,21,4,17,0,104,3,Vicenza,Italy
Michele Campagnaro,Italy,2013,"Fullback, Centre",21,4,17,0,20,4,VE,Italy
Angelo Esposito,Italy,2014,Wing,6,0,6,0,0,0,Napoli,Italy
George Fabio Biagi,Italy,2014,Lock,10,1,9,0,0,0,Irvine,Scotland
Guglielmo Palazzani,Italy,2014,Scrum-half,18,2,16,0,5,1,Gardone val Trompia,Italy
Andrea de Marchi,Italy,2014,Prop,2,0,2,0,0,0,"Montebelluna, Veneto",Italy
Dario Chistolini,Italy,2014,Prop,13,3,10,0,0,0,Kempton Park,SouthAfrica
Kelly Haimona,Italy,2014,Fly-half,9,2,7,0,59,0,Rotorua,NewZealand
Samuela Vunisa,Italy,2014,Back-row,11,3,8,0,0,0,Suva,Fiji
Marco Barbini,Italy,2015,Back-row,2,0,2,0,0,0,Padova,Italy
Giulio Bisegni,Italy,2015,Centre,2,1,1,0,0,0,RM,Italy
Enrico Bacchin,Italy,2015,Centre,5,2,3,0,0,0,VE,Italy
Michele Visentin,Italy,2015,Wing,1,1,0,0,0,0,Paese,Italy
Carlo Canna,Italy,2015,Fly-half,9,2,7,0,25,1,Benevento,Italy
Marcello Violi,Italy,2015,Scrum-half,2,0,2,0,0,0,Parma,Italy
Mattia Bellini,Italy,2016,"Fullback, Wing",3,0,3,0,0,0,Padova,Italy
Ornel Gega,Italy,2016,Hooker,2,0,2,0,0,0,Lazhe,Albania
Andrea Lovotti,Italy,2016,Prop,3,0,3,0,0,0,Piacenza,Italy
David Odiete,Italy,2016,Wing,2,0,2,0,0,0,Reggio Emilia,Italy
Dries van Schalkwyk,Italy,2016,No. 8,2,0,2,0,0,0,Bloemfontein,SouthAfrica
Matteo Zanusso,Italy,2016,Prop,3,0,3,0,0,0,VE,Italy
Edoardo Padovani,Italy,2016,Fly-half,2,0,2,0,0,0,Venezia,Italy
Braam Steyn,Italy,2016,Back-row,1,0,1,0,0,0,Cradock,SouthAfrica
Agnew,Samoa,1924,Centre,2,1,1,0,0,0,,
Aitofele,Samoa,1924,NA,3,1,2,0,0,0,,
T. Allen,Samoa,1924,Fullback,2,1,1,0,0,0,,
Atiga,Samoa,1924,NA,1,0,1,0,0,0,,
C.H. Capper,Samoa,1924,Fullback,1,0,1,0,0,0,,
I. Imo,Samoa,1924,NA,1,0,1,0,0,0,,
Iupati,Samoa,1924,NA,1,0,1,0,0,0,,
A. Macdonald,Samoa,1924,Prop,4,1,3,0,0,0,,
H. Moors,Samoa,1924,Flanker,2,1,1,0,0,0,,
P. Papali'i,Samoa,1924,NA,2,1,1,0,0,0,,
I. Railey,Samoa,1924,Lock,2,1,1,0,6,0,,
E. Sa'aga,Samoa,1924,NA,3,1,2,0,0,0,,
Sinaumea,Samoa,1924,NA,1,0,1,0,0,0,,
Toni,Samoa,1924,Centre,3,1,2,0,0,0,,
Tualai,Samoa,1924,Prop,2,1,1,0,3,1,,
Tagimanu,Samoa,1924,NA,1,1,0,0,0,0,,
Tufele,Samoa,1924,Scrum-half,1,1,0,0,0,0,,
Ah Sue,Samoa,1928,NA,1,0,1,0,0,0,,
Filivaa,Samoa,1928,NA,1,0,1,0,0,0,,
Iese,Samoa,1928,NA,1,0,1,0,0,0,,
Latai,Samoa,1928,NA,1,0,1,0,0,0,,
Lui,Samoa,1928,NA,2,0,2,0,0,0,,
Manulua,Samoa,1928,NA,1,0,1,0,0,0,,
C. Meredith,Samoa,1928,NA,2,0,2,0,5,0,,
Moli,Samoa,1928,NA,1,0,1,0,0,0,,
Pio,Samoa,1928,NA,1,0,1,0,0,0,,
Poutoa,Samoa,1928,NA,1,0,1,0,0,0,,
Siaosi,Samoa,1928,NA,1,0,1,0,0,0,,
Simaile,Samoa,1928,NA,1,0,1,0,3,1,,
Simanu,Samoa,1928,NA,2,0,2,0,0,0,,
Tuvale,Samoa,1928,NA,1,0,1,0,0,0,,
A'ati,Samoa,1932,NA,1,0,1,0,0,0,,
Ah Mu,Samoa,1932,NA,1,0,1,0,0,0,,
Fruean,Samoa,1932,NA,1,0,1,0,0,0,,
Hellesoe,Samoa,1932,NA,1,0,1,0,0,0,,
Mose,Samoa,1932,NA,1,0,1,0,0,0,,
Panapa,Samoa,1932,NA,1,0,1,0,0,0,,
Petelo,Samoa,1932,NA,1,0,1,0,0,0,,
Sefo,Samoa,1932,NA,1,0,1,0,0,0,,
Tamalua,Samoa,1932,NA,1,0,1,0,0,0,,
Visesio,Samoa,1932,NA,1,0,1,0,0,0,,
S. Ah Fook,Samoa,1947,NA,1,1,0,0,0,0,,
K. Ese,Samoa,1947,NA,1,1,0,0,0,0,,
Fa'amaile,Samoa,1947,NA,1,1,0,0,0,0,,
F. Fa'asuaga,Samoa,1947,NA,1,1,0,0,0,0,,
Fatu,Samoa,1947,NA,1,1,0,0,0,0,,
S. Fretton,Samoa,1947,NA,1,1,0,0,0,0,,
S. Iuta,Samoa,1947,NA,1,1,0,0,0,0,,
M. Mata'afa,Samoa,1947,NA,1,1,0,0,0,0,,
O. Meredith,Samoa,1947,NA,1,1,0,0,0,0,,
J. Schaafhausen,Samoa,1947,NA,1,1,0,0,0,0,,
W. Schaafhausen,Samoa,1947,NA,1,1,0,0,0,0,,
A. Teo,Samoa,1947,NA,1,1,0,0,0,0,,
T. Tuisaula,Samoa,1947,NA,1,1,0,0,0,0,,
T. Viliamu,Samoa,1947,NA,1,1,0,0,0,0,,
C. Betham,Samoa,1955,Prop,1,0,1,0,0,0,,
J. Cavanagh,Samoa,1955,No. 8,3,0,3,0,0,0,,
O. Crichton,Samoa,1955,Wing,5,0,5,0,3,1,,
Silipa Fruean,Samoa,1955,Prop,2,0,2,0,0,0,,
Tile Imo,Samoa,1955,Flanker,5,0,5,0,0,0,,
Leavaula Kamu,Samoa,1955,Lock,3,0,3,0,0,0,,
Potu Leavasa,Samoa,1955,Centre,6,0,5,1,0,0,,
Sosene Leavasa,Samoa,1955,Fullback,4,0,3,1,5,0,,
O. Nelson,Samoa,1955,Wing,5,0,5,0,9,2,,
Sione Pala'amo,Samoa,1955,Fly-half,4,0,3,1,0,0,,
Muka Papali'i,Samoa,1955,Hooker,1,0,1,0,0,0,,
P. Paul,Samoa,1955,Lock,3,0,3,0,0,0,,
Pelenato Solia,Samoa,1955,Centre,2,0,2,0,0,0,,
Fetu Teo,Samoa,1955,Flanker,1,0,1,0,0,0,,
S. Wendt,Samoa,1955,Scrum-half,3,0,3,0,0,0,,
F. Ah Long,Samoa,1955,Hooker,1,0,1,0,0,0,,
Sioa Fale,Samoa,1955,No. 8,1,0,1,0,0,0,,
Mose Hewitt,Samoa,1955,Lock,2,0,2,0,3,1,,
