Name,Team,Debut,Position,Matches,Wins,Losses,Draws,Points,Tries,Birthplace,Birthcountry
Jacques Dedet,France,1910,"Centre, Fly-half",8.0,0.0,8.0,0.0,0.0,0.0,New Caledo,France
Guillaume Laterrade,France,1910,"Scrum-half, Halfback",5.0,1.0,4.0,0.0,3.0,1.0,Tarbes,France
Joseph de Muizon,France,1910,Wing,1.0,0.0,1.0,0.0,0.0,0.0,Versailles,France
Fernand Roujas,France,1910,Fly-half,1.0,0.0,1.0,0.0,0.0,0.0,La Mas d'Azil,France
Joseph Bavozet,France,1911,"Lock, Flanker",3.0,1.0,2.0,0.0,0.0,0.0,Lyon,France
Paul Decamps,France,1911,"Lock, Flanker",1.0,1.0,0.0,0.0,4.0,0.0,Paris,France
Pierre Failliot,France,1911,Wing,8.0,1.0,7.0,0.0,15.0,5.0,Paris,France
Fernand Forgues,France,1911,"Flanker, Lock",11.0,1.0,10.0,0.0,0.0,0.0,Pau,France
Andre Francquenelle,France,1911,Centre,3.0,1.0,2.0,0.0,0.0,0.0,Rochefort-sur-Mer,France
Pierre Mouniq,France,1911,"Prop, Lock",9.0,1.0,8.0,0.0,0.0,0.0,Luz-Saint-Sauveur,France
Georges Peyroutou,France,1911,Fly-half,2.0,1.0,1.0,0.0,3.0,1.0,Ondres,France
Gilbert Charpentier,France,1911,"Fly-half, Wing",3.0,0.0,3.0,0.0,0.0,0.0,Pissotte,France
Francois Dutour,France,1911,Fullback,6.0,0.0,6.0,0.0,2.0,0.0,Moissat,France
Rene Duffour,France,1911,Hooker,1.0,0.0,1.0,0.0,0.0,0.0,Tarbes,France
Charles du Souich,France,1911,Centre,2.0,0.0,2.0,0.0,0.0,0.0,Tours,France
Robert Monier,France,1911,Prop,2.0,0.0,2.0,0.0,0.0,0.0,Bordeaux,France
Raymond Simonpaoli,France,1911,Lock,3.0,0.0,3.0,0.0,3.0,1.0,Courtalain,France
Maurice Boyau,France,1912,Flanker,6.0,0.0,6.0,0.0,4.0,0.0,Mustapha,Maroc ⵍⵎⵖⵔⵉⴱ المغرب
Jean-Jacques Conilh de Beyssac,France,1912,"Prop, Lock",5.0,0.0,5.0,0.0,0.0,0.0,Cauderan,France
Jean Domercq,France,1912,Back-row,2.0,0.0,2.0,0.0,0.0,0.0,Orthez,France
Julien Dufau,France,1912,"Wing, Centre",5.0,0.0,5.0,0.0,6.0,2.0,Biarritz,France
Daniel Ihingoue,France,1912,Centre,2.0,0.0,2.0,0.0,0.0,0.0,Ilharre,France
Leon Larribau,France,1912,"Wing, Scrum-half",6.0,0.0,6.0,0.0,3.0,1.0,Anglet,France
