Hugh Vincent,1882,Forward,1,1,0,0,0,NA,Caernarfon,United Kingdom,Wales,Gwynedd
Tom Williams,1882,Forward,1,1,0,0,0,NA,Llwynypia,United Kingdom,Wales,Rhondda Cynon Taf
Harry Bowen,1882,Fullback,4,0,3,1,0,NA,Llanelly,Australia,Victoria,Loddon Mallee
Alfred Cattell,1882,Forward,2,0,2,0,0,NA,Rutland,United Kingdom,England,East Midlands
James Clare,1882,Three-quarters,1,0,1,0,0,NA,London,United Kingdom,England,Greater London
Dai Gwyn,1882,Centre,6,1,4,1,0,0,Swansea,United Kingdom,Wales,West Glamorgan
Thomas Judson,1882,Forward,2,0,2,0,1,NA,Lancs,United Kingdom,S6 3TB,England
John Griffin,1883,Forward,1,0,1,0,0,NA,Southampton,United Kingdom,England,South East
Arthur Jones,1883,Forward,1,0,1,0,0,NA,Risca,United Kingdom,NP11,Wales
Horace Lyne,1883,Forward,5,1,4,0,0,NA,Newport,United Kingdom,NP,Wales
Charles Allen,1884,Three-quarters,2,0,2,0,1,NA,Lancashire,United Kingdom,England,North West England
Frederick Andrews,1884,Forward,2,0,2,0,0,NA,Swansea,United Kingdom,Wales,West Glamorgan
William Gwynn,1884,Halfback,5,1,3,1,0,NA,Swansea,United Kingdom,Wales,West Glamorgan
Frederick Margrave,1884,Forward,2,0,2,0,0,NA,Llanelly,Australia,Victoria,Loddon Mallee
Joe Simpson,1884,Forward,3,1,2,0,0,NA,Sedgefield,United Kingdom,England,North East England
John Smith,1884,Forward,3,1,2,0,0,NA,Manchester,United Kingdom,England,North West England
Charles Taylor,1884,Three-quarters,9,2,5,2,0,NA,Ruabon,United Kingdom,Wales,Wrexham
Tom Barlow,1884,Fullback,1,1,0,0,0,NA,Salford,United Kingdom,England,North West England
Samuel Goldsworthy,1884,Forward,3,1,1,1,0,NA,Swansea,United Kingdom,Wales,West Glamorgan
Frank Hancock,1884,Three-quarters,4,1,2,1,0,NA,Wiveliscombe,United Kingdom,England,South West England
John Hinton,1884,Forward,1,1,0,0,0,NA,Bombay,India,Maharashtra,Greater Bombay
Buckley Roderick,1884,Forward,1,1,0,0,0,NA,Llanelly,Australia,Victoria,Loddon Mallee
Buller Stadden,1884,Halfback,8,5,3,0,2,1,Somerset,United Kingdom,England,South West England
Arthur Gould,1885,Centre,27,10,14,3,4,12,Newport,United Kingdom,NP,Wales
Martyn Jordan,1885,Three-quarters,3,0,2,1,2,NA,Clifton,United Kingdom,England,South West England
Evan Richards,1885,Forward,2,0,2,0,0,NA,Swansea,United Kingdom,Wales,West Glamorgan
Ernest Rowland,1885,Forward,1,0,1,0,0,NA,Neath,United Kingdom,Wales,West Glamorgan
Lewis Thomas,1885,Forward,2,0,1,1,0,NA,Merthyr Tydfil,United Kingdom,Wales,Merthyr Tydfil
Edward Alexander,1885,Forward,5,1,2,2,0,NA,Monknash,United Kingdom,Wales,Vale of Glamorgan
Frank Hill,1885,Forward,15,6,7,2,0,0,Cardiff,United Kingdom,Wales,Cardiff
D. Morgan,1885,Forward,7,1,4,2,1,NA,?,g,n,i
Willie Thomas,1885,Forward,11,3,5,3,0,0,Fishguard,United Kingdom,Wales,Pembrokeshire
William Bowen,1886,Forward,13,3,8,2,0,0,Pembroke,Bermuda,Pembroke,Missing
Billy Douglas,1886,Three-quarters,4,0,3,1,0,NA,Barry,United Kingdom,CF62,Wales
Dai Lewis,1886,Forward,2,0,2,0,0,NA,Radyr,United Kingdom,Wales,Cardiff
Evan Roberts,1886,Forward,2,1,1,0,0,NA,Llanelly,Australia,Victoria,Loddon Mallee
George Young,1886,Forward,2,0,2,0,0,NA,Tynemouth,United Kingdom,England,North East England
Alfred Mathews,1886,Halfback,1,0,1,0,0,NA,Rhymney,United Kingdom,NP22,Wales
Alec Bland,1887,Forward,9,4,3,2,0,0,Haverfordwest,United Kingdom,Wales,Pembrokeshire
Jem Evans,1887,Halfback,4,1,2,1,0,NA,Cardiff,United Kingdom,Wales,Cardiff
Albert Hybart,1887,Forward,1,0,0,1,0,NA,Cardiff,United Kingdom,Wales,Cardiff
Thomas Lockwood,1887,Forward,3,1,1,1,0,NA,Great Boughton,United Kingdom,England,North West England
George Bowen,1887,Three-quarters,4,2,2,0,0,NA,Morriston,United Kingdom,Wales,Swansea
Hugh Hughes,1887,Fullback,2,0,2,0,0,NA,Towyn,United Kingdom,Wales,Conwy
William Williams,1887,Forward,5,2,3,0,0,0,?,g,n,i
Johnny Lewis,1887,Halfback,1,1,0,0,0,NA,Llanelly,Australia,Victoria,Loddon Mallee
William Towers,1887,Forward,2,2,0,0,1,NA,Hartlepool,United Kingdom,England,North East England
William Howell,1888,Forward,2,1,1,0,0,NA,Swansea,United Kingdom,Wales,West Glamorgan
Price Jenkins-Price,1888,Three-quarters,2,1,1,0,1,NA,Carmarthen,United Kingdom,Wales,Carmarthenshire
Dick Kedzlie,1888,Forward,2,1,1,0,0,NA,Glasgow,United Kingdom,G,Scotland
John Meredith,1888,Forward,4,2,2,0,0,0,Morriston,United Kingdom,Wales,Swansea
Dick Powell,1888,Forward,2,1,1,0,0,NA,Monmouth,United Kingdom,NP25,Wales
Ned Roberts,1888,Fullback,3,1,2,0,0,NA,Llanelly,Australia,Victoria,Loddon Mallee
T. Williams,1888,Forward,2,1,1,0,0,NA,?,g,n,i
Charlie Arthur,1888,Centre,3,1,2,0,0,0,King's Lynn,United Kingdom,England,East of England
Charlie Thomas,1888,Halfback,9,3,5,1,1,1,Newport,United Kingdom,NP,Wales
Norman Biggs,1888,Wing,8,4,4,0,2,4,Cardiff,United Kingdom,Wales,Cardiff
Dickie Garrett,1888,Centre,8,3,4,1,0,0,Cardiff,United Kingdom,Wales,Cardiff
Dan Griffiths,1888,Forward,2,1,1,0,0,NA,Cwmduad,g,n,i
Jim Hannan,1888,Forward,19,7,11,1,2,2,Newport,United Kingdom,NP,Wales
Charles Harding,1888,Forward,3,1,2,0,0,NA,Lancs,United Kingdom,S6 3TB,England
Syd Nicholls,1888,Forward,4,1,3,0,0,0,Hartpury,United Kingdom,GL19 3,England
George Thomas,1888,Wing,3,1,1,1,1,0,?,g,n,i
Jim Webb,1888,Fullback,2,1,1,0,0,NA,Broughton Gifford,United Kingdom,England,South West England
Teddy Bishop,1889,Centre,1,0,1,0,0,NA,Swansea,United Kingdom,Wales,West Glamorgan
David Evans,1889,Forward,5,1,3,1,0,0,Dowlais,United Kingdom,NP,Wales
Rosser Evans,1889,Halfback,1,0,1,0,0,NA,Aberdare,United Kingdom,Wales,Mid Glamorgan
Rowley Thomas,1889,Forward,7,1,5,1,0,0,Henllan Amgoed,United Kingdom,Wales,Carmarthenshire
Abel Davies,1889,Wing,1,0,1,0,0,NA,Narberth,United Kingdom,Wales,Pembrokeshire
Giotto Griffiths,1889,Halfback,1,0,1,0,0,NA,Llanelly,Australia,Victoria,Loddon Mallee
Tom Morgan,1889,Centre,1,0,1,0,0,NA,Llannon,United Kingdom,Wales,Ceredigion
Billy Bancroft,1890,Fullback,33,16,16,1,0,60,Swansea,United Kingdom,Wales,West Glamorgan
Evan James,1890,Halfback,5,2,3,0,0,0,Llansamlet,United Kingdom,Wales,Swansea
Percy Lloyd,1890,Wing,4,2,2,0,0,0,Ammanford,United Kingdom,Wales,Carmarthenshire
Walter Rice-Evans,1890,Forward,3,0,3,0,0,0,Neath,United Kingdom,Wales,West Glamorgan
Stephen Thomas,1890,Forward,3,2,1,0,0,0,Kidwelly,United Kingdom,Wales,Carmarthenshire
Thomas Graham,1890,Forward,12,5,6,1,1,3,Newcastle-upon-Tyne,United Kingdom,England,North East England
Hugh Ingledew,1890,Halfback,3,0,2,1,0,0,Cardiff,United Kingdom,Wales,Cardiff
Percy Bennett,1891,Forward,4,0,4,0,0,0,Cornwall,United Kingdom,England,South West England
Harry Packer,1891,Forward,7,3,4,0,0,0,Chipping Norton,United Kingdom,England,South East
Tom Pearson,1891,Wing,13,6,7,0,4,10,Bombay,India,Maharashtra,Greater Bombay
Edward Pegge,1891,Forward,1,0,1,0,0,0,Briton Ferry,United Kingdom,SA11,Wales
David Daniel,1891,Forward,8,3,5,0,0,0,Llanelly,Australia,Victoria,Loddon Mallee
Billy McCutcheon,1891,Wing,7,3,4,0,1,2,Swansea,United Kingdom,Wales,West Glamorgan
Ralph Sweet-Escott,1891,Halfback,3,1,2,0,0,0,Staffs,Kenya,00200,Nairobi
Tom Deacon,1891,Forward,4,1,3,0,0,0,Swansea,United Kingdom,Wales,West Glamorgan
David James,1891,Halfback,4,2,2,0,0,0,Swansea,United Kingdom,Wales,West Glamorgan
Boomer Nicholl,1891,Forward,15,7,8,0,0,0,Llanegwad,United Kingdom,Wales,Carmarthenshire
