Patats Cloete,1896,Forward,Cape Town,1,1,0,0,South Africa,Western Cape,City of Cape Town
Paul de Waal,1896,Forward,nr.Kanonkop,1,1,0,0,g,n,i
Tommy Etlinger,1896,Halfback,London,1,1,0,0,United Kingdom,England,Greater London
Tommy Hepburn,1896,Centre,Bechuanala,1,1,0,2,g,n,i
Herman van Broekhuizen,1896,Forward,Netherland,1,1,0,0,Philippines,4023,Calabarzon
Joe Barry,1903,Wing,Robertson District,3,1,1,3,South Africa,Western Cape,Cape Winelands District Municipality
Charlie Brown,1903,Forward,South-West Africa,3,1,0,0,Burkina Faso,Sud-Ouest,Missing
Uncle Dobbin,1903,Halfback,Bethulie,9,5,1,3,South Africa,Free State,Xhariep District Municipality
Alex Frew,1901,Forward,Ayrshire,4,3,1,3,United Kingdom,Scotland,Ayrshire
Charlie Jones,1903,Fullback,Kimberley,2,0,0,0,South Africa,Northern Cape,Frances Baard District Municipality
Japie Krige,1903,Centre,Klein Drakenstein,5,3,1,3,South Africa,Western Cape,Cape Winelands District Municipality
Willie McEwan,1894,Forward,Edinburgh,18,9,1,3,United Kingdom,Scotland,City of Edinburgh
Andrew Morkel,1903,Wing,Somerset West,1,0,0,0,South Africa,Western Cape,City of Cape Town
PO Nel,1903,Forward,Natal,3,1,0,0,Brasil,Região Nordeste,RN
Birdie Partridge,1903,Forward,Llanthewy Skirrid,1,0,0,0,United Kingdom,Wales,Monmouthshire
Klondyke Raaff,1903,Forward,Cape Town,6,2,1,3,South Africa,Western Cape,City of Cape Town
Jimmy Sinclair,1903,Forward,Cape Col.,1,0,0,0,United States of America,78045,Texas
Bertie van Renen,1903,Fullback,Constantia,2,1,0,0,România,Constanța,Missing
Syd Ashley,1903,Centre,Cape Town,1,0,0,0,South Africa,Western Cape,City of Cape Town
George Crampton,1903,Forward,Aughrim,1,0,0,0,Republic of Ireland,Leinster,County Wicklow
Clem Currie,1903,Forward,Grahamstown,1,0,0,0,South Africa,Eastern Cape,Sarah Baartman District Municipality
Syd de Melker,1903,Centre,Kimberley,2,0,0,0,South Africa,Northern Cape,Frances Baard District Municipality
Bertie Gibbs,1903,Wing,Kimberley,1,0,0,0,South Africa,Northern Cape,Frances Baard District Municipality
Jack Jackson,1903,Forward,Victoria West,1,0,0,0,South Africa,Northern Cape,Pixley ka Seme District Municipality
Rajah Martheze,1903,Forward,Cape Province,3,2,0,0,Solomon Islands,Temotu Province,Neo
Henry Metcalf,1903,Forward,Caledon,1,0,0,0,Canada,Ontario,Peel Region
Jock Anderson,1903,Forward,Cape Town,1,1,0,0,South Africa,Western Cape,City of Cape Town
John Botha,1903,Forward,Cape Town,1,1,0,0,South Africa,Western Cape,City of Cape Town
Paddy Carolin,1903,Halfback,E Province,3,2,0,0,Rwanda,Iburasirasuba,Missing
Hugh Ferris,1901,Scrum-half,Co Down,2,1,0,0,United Kingdom,Northern Ireland,County Down
Tommy Hobson,1903,Halfback,Somerset East,1,1,0,0,South Africa,Eastern Cape,Sarah Baartman District Municipality
Bob Loubser,1903,Wing,Klipheuvel,7,5,3,9,g,n,i
Alec Reid,1903,Forward,Swellendam District,1,1,1,3,South Africa,Western Cape,Overberg District Municipality
Polla Roos,1903,Forward,Rus-en-Vrede,4,3,0,0,South Africa,1725,Gauteng
Koei Brink,1906,Forward,Kuils River,3,1,0,0,South Africa,Western Cape,City of Cape Town
Cocky Brooks,1906,Forward,King William's Town,1,0,0,0,South Africa,Eastern Cape,Buffalo City Metropolitan Municipality
Adam Burdett,1906,Forward,Oudtshoorn,2,1,0,0,South Africa,Western Cape,Eden District Municipality
Bingo Burger,1906,Forward,Cape Prov.,4,2,0,0,g,n,i
Pinkie Daneel,1906,Forward,Bredasdorp,4,2,0,0,South Africa,Western Cape,Overberg District Municipality
Boy de Villiers,1906,Centre,Paarl,3,1,0,0,South Africa,Western Cape,Cape Winelands District Municipality
Dietlof Mare,1906,Forward,Boland,1,0,0,0,Polska,Missing,Missing
Alf Marsberg,1906,Wing,Queenstown,3,1,0,0,New Zealand/Aotearoa,Otago,Queenstown-Lakes District
Sommie Morkel,1906,Forward,Kimberley,4,2,0,0,South Africa,Northern Cape,Frances Baard District Municipality
Anton Stegmann,1906,Wing,Cradock,2,1,1,3,South Africa,Eastern Cape,Chris Hani District Municipality
Jack Hirsch,1906,Centre,Port Elizabeth,2,2,0,0,South Africa,Eastern Cape,Nelson Mandela Bay Metropolitan Municipality
Mary Jackson,1906,Halfback,Constantia,3,2,0,0,România,Constanța,Missing
Steve Joubert,1906,Fullback,Uniondale,3,2,1,8,United States of America,New York,Uniondale
Pietie le Roux,1906,Forward,Paarl,3,2,0,0,South Africa,Western Cape,Cape Winelands District Municipality
Dougie Morkel,1906,Forward,Kimberley,9,8,3,38,South Africa,Northern Cape,Frances Baard District Municipality
Billy Millar,1906,Forward,Cape Prov,6,4,2,6,g,n,i
Nic Crosby,1910,Forward,Tarkastad,2,2,0,0,South Africa,Eastern Cape,Chris Hani District Municipality
Max Davison,1910,Forward,Cape Prov,1,1,0,0,g,n,i
Dirkie de Villiers,1910,Centre,Boland,3,2,1,3,Polska,Missing,Missing
Cocky Hahn,1910,Wing,Paarl,3,2,1,3,South Africa,Western Cape,Cape Winelands District Municipality
Noel Howe-Browne,1910,Forward,?,3,2,0,0,g,n,i
Lammetjie Luyt,1910,Halfback,Ceres,7,6,2,8,Italia,PIE,TO
Archie Marsberg,1910,Fullback,Fort Beaufort,1,1,0,0,South Africa,Eastern Cape,Amathole District Municipality
Cliff Riordan,1910,Forward,Colesberg,2,1,0,0,South Africa,Northern Cape,Pixley ka Seme District Municipality
Henry Walker,1910,Forward,Uitenhage,3,2,0,0,South Africa,Eastern Cape,Nelson Mandela Bay Metropolitan Municipality
Arthur Williams,1910,Forward,Kimberley,1,1,0,0,South Africa,Northern Cape,Frances Baard District Municipality
Percy Allport,1910,Fullback,Calvinia,2,1,1,3,South Africa,Northern Cape,Namakwa District Municipality
Antonie Lombard,1910,Forward,Cape Prov,1,0,0,0,g,n,i
Dick Luyt,1910,Centre,Ceres,7,6,1,3,Italia,PIE,TO
Wally Mills,1910,Wing,Durbanville,1,0,1,3,South Africa,Western Cape,City of Cape Town
Toby Moll,1910,Forward,Cape Town,1,0,0,0,South Africa,Western Cape,City of Cape Town
Gideon Roos,1910,Forward,Stellenbosch,2,1,1,3,South Africa,Western Cape,Cape Winelands District Municipality
Clive van Ryneveld,1910,Halfback,Graaf-Reinet,2,1,0,0,South Africa,1490,Gauteng
Boy Morkel,1910,Forward,Somerset West,9,7,2,6,South Africa,Western Cape,City of Cape Town
Koot Reynecke,1910,Forward,Senekal,1,1,1,3,South Africa,Free State,Thabo Mofutsanyana District Municipality
Joe Francis,1912,Forward,Upington,5,5,2,6,South Africa,Northern Cape,ZF Mgcawu District Municipality
Saturday Knight,1912,Forward,Burgersdorp,5,5,0,0,South Africa,Eastern Cape,Joe Gqabi District Municipality
Sep Ledger,1912,Forward,Kimberley,4,4,1,3,South Africa,Northern Cape,Frances Baard District Municipality
John Luyt,1912,Forward,Ceres,4,4,0,0,Italia,PIE,TO
Boetie McHardy,1912,Wing,Bloemfontein,5,5,6,18,South Africa,Free State,Mangaung Metropolitan Municipality
Jacky Morkel,1912,Centre,Somerset West,5,5,4,16,South Africa,Western Cape,City of Cape Town
Gerhard Morkel,1912,Fullback,Somerset West,8,6,0,16,South Africa,Western Cape,City of Cape Town
Jan Stegmann,1912,Wing,Cape Prov,5,5,5,15,g,n,i
Tommy Thompson,1912,Forward,Cape Prov,3,3,0,0,g,n,i
Tom van Vuuren,1912,Forward,Adelaide,5,5,0,0,Australia,5000,South Australia
John McCulloch,1913,Halfback,Kimberley,2,2,0,0,South Africa,Northern Cape,Frances Baard District Municipality
Eddie Shum,1913,Forward,Estcourt,1,1,0,0,Canada,Québec,Estcourt
Jack Immelman,1913,Halfback,Victoria West,1,1,0,0,South Africa,Northern Cape,Pixley ka Seme District Municipality
Wally Clarkson,1921,Centre,Durban,3,2,0,0,South Africa,KwaZulu-Natal,eThekwini Metropolitan Municipality
