Maurice Bruneau,1910,"Wing, Centre, Fly-half",4,0,4,0,1,3,Bordeaux,France,33000;33100;33300;33800,France métropolitaine
Remi Laffitte,1910,"Centre, Flanker",2,0,2,0,1,3,Osserain,France,64390,France métropolitaine
R. Menrath,1910,Fullback,1,0,1,0,0,8,?,g,n,i
M. Thevenot,1910,"Lock, Prop",3,0,3,0,0,0,?,g,n,i
Jules Cadenat,1910,"Prop, Lock, No. 8",7,0,7,0,0,0,Beziers,France,34500,France métropolitaine
Julien Combe,1910,Fullback,4,1,3,0,0,0,?,g,n,i
Jacques Dedet,1910,"Centre, Fly-half",8,0,8,0,0,0,New Caledo,España,CAT,Lleida
Guillaume Laterrade,1910,"Scrum-half, Halfback",5,1,4,0,1,3,Tarbes,France,65000,France métropolitaine
Joseph de Muizon,1910,Wing,1,0,1,0,0,0,Versailles,France,78000,France métropolitaine
Fernand Roujas,1910,Fly-half,1,0,1,0,0,0,La Mas d'Azil,France,09290,France métropolitaine
Joseph Bavozet,1911,"Flanker, Lock",3,1,2,0,0,0,Lyon,France,France métropolitaine,Rhône-Alpes
Paul Decamps,1911,"Flanker, Lock",1,1,0,0,0,4,Paris,France,France métropolitaine,Île-de-France
Pierre Failliot,1911,Wing,8,1,7,0,5,15,Paris,France,France métropolitaine,Île-de-France
Fernand Forgues,1911,"Lock, Flanker",11,1,10,0,0,0,Pau,France,64000,France métropolitaine
Andre Francquenelle,1911,Centre,3,1,2,0,0,0,Rochefort-sur-Mer,France,17420,France métropolitaine
Pierre Mouniq,1911,"Prop, Lock",9,1,8,0,0,0,Luz-Saint-Sauveur,France,65120,France métropolitaine
Georges Peyroutou,1911,Fly-half,2,1,1,0,1,3,Ondres,France,40440,France métropolitaine
Gilbert Charpentier,1911,"Fly-half, Wing",3,0,3,0,0,0,Pissotte,France,85200,France métropolitaine
Francois Dutour,1911,Fullback,6,0,6,0,0,2,Moissat,France,63190,France métropolitaine
Rene Duffour,1911,Hooker,1,0,1,0,0,0,Tarbes,France,65000,France métropolitaine
Charles du Souich,1911,Centre,2,0,2,0,0,0,Tours,France,37000;37100;37200,France métropolitaine
Robert Monier,1911,Prop,2,0,2,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine
Raymond Simonpaoli,1911,Lock,3,0,3,0,1,3,Courtalain,France,28290,France métropolitaine
Maurice Boyau,1912,Flanker,6,0,6,0,0,4,Mustapha,日本,近畿地方,京都府
Jean-Jacques Conilh de Beyssac,1912,"Lock, Prop",5,0,5,0,0,0,Cauderan,France,33200,France métropolitaine
Jean Domercq,1912,Back-row,2,0,2,0,0,0,Orthez,France,64300,France métropolitaine
Julien Dufau,1912,"Wing, Centre",4,0,4,0,2,6,Biarritz,France,64200,France métropolitaine
Daniel Ihingoue,1912,Centre,2,0,2,0,0,0,Ilharre,France,64120,France métropolitaine
Jean Larribau,1912,"Scrum-half, Wing",7,0,7,0,1,3,Anglet,France,64600,France métropolitaine
Edouard Vallot,1912,Hooker,1,0,1,0,0,0,London,United Kingdom,England,Greater London
Jacques Forestier,1912,Prop,1,0,1,0,0,0,Aix-les-Bains,France,73100,France métropolitaine
Marcel Monniot,1912,"Lock, Prop",2,0,2,0,0,0,Paris,France,France métropolitaine,Île-de-France
Jean-Rene Pascarel,1912,Hooker,6,0,6,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine
Jean Sentilles,1912,Centre,4,0,4,0,0,0,Tarbes,France,65000,France métropolitaine
Helier Tilh,1912,"Prop, Lock, Wing",6,0,6,0,0,0,Bosdarros,France,64290,France métropolitaine
Maurice Hedembaigt,1913,"Halfback, Scrum-half",3,0,3,0,0,0,Anglet,France,64600,France métropolitaine
Pierre Jaureguy,1913,"Centre, Wing",4,0,4,0,0,0,Ostabat,France,64120,France métropolitaine
Jean Sebedio,1913,"Prop, Flanker, No. 8",9,2,5,2,1,3,Saint-Jean-de-Luz,France,64500,France métropolitaine
Geo Andre,1913,Wing,7,0,7,0,3,11,Paris,France,France métropolitaine,Île-de-France
Albert Chatau,1913,Fly-half,1,0,1,0,0,0,Urrugne,France,64122;64700,France métropolitaine
Marcel Favre,1913,Prop,2,0,2,0,0,0,La Roche-sur-Foron,France,74800,France métropolitaine
Clovis Bioussa,1913,Fly-half,3,0,3,0,0,0,Toulouse,France,31000;31100;31200;31300;31400;31500,France métropolitaine
Gustave Podevin,1913,Lock,2,0,2,0,0,0,Paris,France,France métropolitaine,Île-de-France
Jean Semmartin,1913,Fullback,2,0,2,0,0,0,Ars-en-Re,France,17590,France métropolitaine
Philippe Struxiano,1913,Scrum-half,7,2,5,0,0,6,Toulouse,France,31000;31100;31200;31300;31400;31500,France métropolitaine
Albert Eutropius,1913,Flanker,1,0,1,0,0,0,Cayenne,France,97300,Guyane
Henri Tavernier,1913,Prop,1,0,1,0,0,0,Saint-Just-en-Chauss,g,n,i
Jean-Marie Arnal,1914,Lock,2,0,2,0,0,0,Paris,France,France métropolitaine,Île-de-France
Paul Faure,1914,"Prop, Hooker",3,0,3,0,0,0,Aureilhan,France,65800,France métropolitaine
Robert Lacoste,1914,Wing,3,0,3,0,1,3,?,g,n,i
Rene Lasserre,1914,"Flanker, Fullback, Centre",15,4,9,2,2,10,Bayonne,France,64100,France métropolitaine
Raphael Lavaud,1914,"Lock, Flanker",2,0,2,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine
Marcel-Frederic Lubin-Lebrere,1914,"Prop, Lock",15,3,10,2,2,6,Agen,France,47000,France métropolitaine
Gilbert Pierrot,1914,Centre,3,0,3,0,0,0,Bizanos,France,64320,France métropolitaine
Francois Poeydebasque,1914,"Fly-half, Centre",2,0,2,0,0,0,Bayonne,France,64100,France métropolitaine
Lucien Besset,1914,"Centre, Fly-half",2,0,2,0,0,4,Paris,France,France métropolitaine,Île-de-France
Robert Desvouges,1914,Lock,1,0,1,0,0,0,Neuilly-sur-Seine,France,92200,France métropolitaine
Paulin Bascou,1914,Lock,1,0,1,0,0,0,Urrugne,France,64122;64700,France métropolitaine
Jean-Louis Capmau,1914,Flanker,1,0,1,0,1,3,Siran,‏ايران‎,آذربایجان غربی‎,شهرستان چالدران
Emmanuel Iguiniz,1914,Hooker,1,0,1,0,0,0,Bayonne,France,64100,France métropolitaine
Eugene Billac,1920,Fly-half,9,3,6,0,2,6,Bayonne,France,64100,France métropolitaine
Aime Cassayet-Armagnac,1920,"Lock, No. 8",31,5,24,2,3,9,Mont-de-Marsan,France,40000,France métropolitaine
Andre Chilo,1920,"Wing, Fullback",4,0,4,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine
Rene Crabos,1920,Centre,17,6,9,2,1,19,Saint-Sever,France,40500,France métropolitaine
