Name,Country,City,Team,OtherName
Francisco Gomez Kodela,Argentina,Buenos Aires,Argentina,
Juan Jose Villar,Argentina,,Argentina,
Gustavo Morlaes Oliver,Argentina,,Argentina,
Gonzalo Longo Elia,Argentina,"San Isidro, Buenos Aires",Argentina,
Gerardo Lazcano Miranda,Argentina,,Argentina,
Patricio Grande,Argentina,,Argentina,
Camilo Boffelli,Argentina,,Argentina,
Manuel Diaz,Argentina,"La Prida, Buenos Aires",Argentina,
Tomas Solari,Argentina,,Argentina,
Christian Barrea,Argentina,,Argentina,
Federico Werner,Argentina,,Argentina,
Julian Legora,Argentina,,Argentina,
German Llanes,Argentina,"Canada Seca, Buenos Aires",Argentina,
Rolando Martin,USA,Maryland,Argentina,
Esteban Lozada,Belgium,Ottignies,Argentina,
Seru Rabeni,Fiji,Bua,Fiji,
Inaki Basauri Flores,Mexico,Monterrey,USA,
Giambattista Croci,Italy,"San Benedetto del Tronto, Ascoli",Italy,
Alessandro Bottacchiari,Italy,"Foligno, Perugia",Italy,
Gianluca Faliva,Italy,"Camposampiero, Padua",Italy,
Alex Rokobaro,Fiji,Yasawa,Fiji,
Bryan Gossman,Scotland,"West Kilbride, Ayrshire",Scotland,
Pele Cowley,NewZealand,,Samoa,
Vaiofaga Simanu,Samoa,"Vailoa, Savai'i",Samoa,
Uale Mai,Samoa,"Vailoa, Savai'i",Samoa,
Jonny Fa'amatuainu,NewZealand,,Samoa,
Carlos Promanzio,Argentina,,Argentina,
Julian Legora,Argentina,,Argentina,
Camilo Boffelli,Argentina,,Argentina,
Gustavo Rivero,Argentina,,Argentina,
Alejandro Aguirre,Argentina,,Argentina,
Pablo Alexenicer,Argentina,,Argentina,
Matias Brandi,Argentina,,Argentina,
Marcelo Carmona,Argentina,,Argentina,
Artie Royle,England,,England,
Murray Marshall,England,"Guildford, Surrey",England,
P. Wilkinson,England,Hampstead,England,Percival Wilkinson
Cyril Rickards,India,Jeypore,England,Cyril Henry Rickards
William Collins,India,Monghyr,England,William Edward Collins
Amanaki Mafi,Tonga,,Japan,
Karne Hesketh,NewZealand,,Japan,
Male Sa'u,NewZealand,,Japan,
Michael Broadhurst,NewZealand,,Japan,
Matt Trouville,Australia,,USA,
Martin Palou,Argentina,,Argentina,
Diego Gomez Coll,Argentina,,Argentina,
Juan Meabe,Argentina,,Argentina,Juan Cruz Meabe
Gaston Nazassi,Argentina,,Argentina,
Nicolas Gomez,Argentina,,Argentina,
Patricio Fuselli,Argentina,,Argentina,
Pablo Garcia Hamilton,Argentina,,Argentina,
Rafael Silva,Argentina,,Argentina,
Daniel Villen,Argentina,,Argentina,
Arturo Mimesi,Argentina,,Argentina,
Matias Lamas,Argentina,,Argentina,
Martin Molina,Argentina,,Argentina,
Christian Ohanian,Argentina,,Argentina,
Jose Altube,Argentina,,Argentina,
Facundo Rave,Argentina,,Argentina,
Gustavo Veron,Argentina,,Argentina,
Raul Cano,Argentina,,Argentina,
Andres Irigoyen,Argentina,,Argentina,
Hugo Cespedes,Argentina,,Argentina,
Guillermo Bernardi,Argentina,,Argentina,
Leonardo Gravano,Argentina,,Argentina,
Eduardo Zapiola,Argentina,,Argentina,
Julio Brolese,Argentina,,Argentina,
Federico Cortopasso,Argentina,,Argentina,
Julio Freixas,Argentina,,Argentina,
Gonzalo Begino,Argentina,,Argentina,
Dan Faleafa,NewZealand,Auckland,Tonga,
Tevita Vaikona,Tonga,,Tonga,
Peni Fakalelu,Tonga,Holonga,Tonga,
Sila Va'enuku,Tonga,,Tonga,
Soane Havea,Tonga,,Tonga,Soane Patita Pat Boone Sioape Havea
Pat Duignan,Canada,,Ireland,
Ibrahim Diarra,France,"Savigny-sur-Orge, Paris",France,
Male Sa'u,NewZealand,Auckland,Japan,
Michael Broadhurst,NewZealand,Gisborne,Japan,
Keisuke Uchida,Japan,Kyoto,Japan,
Kenki Fukuoka,Japan,Fukuoka,Japan,
Kotaro Matsushima,SouthAfrica,Pretoria,Japan,
Karne Hesketh,NewZealand,Napier,Japan,
Amanaki Mafi,Tonga,Nuku'alofa,Japan,Amanaki Lelei Mafi
Justin Ives,NewZealand,"Mosgiel, Otago",Japan,
Jack Tarrant,NewZealand,,Japan,
Philip O'Reilly,NewZealand,,Japan,
Nepo Laulala,Samoa,Motootua,NewZealand,
Sebastien Vahaamahina,France,"Noumea, New Caledonia",France,
Ornel Gega,Albania,Lazhe,Italy,
Rory Hughes,Scotland,Glasgow,Scotland,
Fraser Brown,Scotland,Edinburgh,Scotland,
Mike Voyle,Wales,Caerphilly,Wales,
Enrico Patrizio,Italy,Camposampiero,Italy,
Jaco Erasmus,SouthAfrica,Humansdorp,Italy,
Maselino Paulino,Samoa,,Samoa,
Simaika Mikaele,Samoa,,Samoa,
Jeremy Tomuli,NewZealand,,Samoa,
Patrick Toetu,NewZealand,Auckland,Samoa,
Declan Fitzpatrick,England,Bromsgrove,Ireland,
Matt Dunning,Canada,Calgary,Australia,
Siua Halanukonuka,Tonga,Tofoa,Tonga,
Inoke Male,Fiji,Nausori,Fiji,
James Hilterbrand,Australia,Adelaide,USA,
Walter Rista,Italy,Vezza d'Alba,Italy,
Jean-Roger Bourdeu,France,Gan,France,
Robert Labarthete,France,Gan,France,
Italo Mattacchini,Italy,Nereto,Italy,
Mauro Zingarelli,Italy,Giulianova,Italy,
Matteo Silini,Italy,Fidenza,Italy,
Vincent Pelo,France,Wallis & Futuna,France,
John Daly,Ireland,Cobh,Ireland,
George Phipps,India,Peshawar,Ireland,
Lionel Oakley,Bangladesh,Dhaka,England,
Jim Jones,Wales,Port Talbot,Wales,
Faustino Crepaz,Italy,Pozza di Fassa,Italy,
Savino Colombini,Italy,Montefranco,Italy,
Carlo Checchinato,Italy,Adria,Italy,
Maro Itoje,England,Camden,England,
Courtney Lawes,England,Hackney,England,
Andy Wilson,Scotland,Kirkcaldy,Scotland,
Rob Henderson,England,Dover,Ireland,
Phil Pugh,England,Seven Sisters,England,
Jack Clifford,Australia,Brisbane,England,
Virimi Vakatawa,NewZealand,Rangiora,France,
Matteo Zanusso,Italy,San Dona di Piave,Italy,
Ross Moriarty,England,St Helens,Wales,
Rudy Paige,SouthAfrica,Heidelberg,SouthAfrica,
Augustine Pulu,NewZealand,Otahuhu,NewZealand,
Paul Marshall,Ireland,Lisburn,Ireland,
Frank Halai,Tonga,Pangai,NewZealand,
Maximiliano Bustos,Argentina,Santa Fe,Argentina,
Roger Sangwin,England,Holderness,England,
Hennie Muller,SouthAfrica,Witbank,SouthAfrica,
Thierry Dusautoir,Ivory Coast,Abidjan,France,
Ambrogio Bona,Italy,Monza,Italy,
Boland Coetzee,SouthAfrica,Porterville,SouthAfrica,
Hannes Viljoen,SouthAfrica,Elliott,SouthAfrica,
Henry Tromp,Namibia,Otjiwarongo,SouthAfrica,
Eben Olivier,SouthAfrica,Kirkswood,SouthAfrica,
Eddie Dore,Ireland,Limerick,Australia,
Juan Leon Novillo,Argentina,Tucuman,Argentina,
Jacques Bayardon,France,Macon,France,
Simon Clarke,England,Westcliffe-on-Sea,England,
Tiny Naude,SouthAfrica,Warrenton,SouthAfrica,
Haydn Morgan,Wales,Oakdale,Wales,
Hugo van Zyl,SouthAfrica,Porterville,SouthAfrica,
Fabrice Metz,France,Strasbourg,France,
Sami Panico,Italy,Albano,Italy,
Andy MacDonald,SouthAfrica,Springs,SouthAfrica,
Charlie Lydon,Ireland,Lecanvey,Ireland,
Jimmy Sinclair,SouthAfrica,Swellendam,SouthAfrica,
Marcel Burgun,Russia,St Petersburg,France,
Stephen Larkham,Australia,Canberra,Australia,
Beau Robinson,Australia,Alice Springs,Australia,
Iain Henderson,Ireland,Craigavon,Ireland,
Craig Gilroy,Ireland,Belfast,Ireland,
Manu Tuilagi,Samoa,Fogapoa,England,
Luke McGrath,Canada,"Hamilton, Ontario",Ireland,
