Place,Name,Years,Tests,Matches,Number
"Cromwell, New Zealand","McKellar, Gerald Forbes",1910,3,2,167
"Invercargill, New Zealand","Ridland, Alexander James",1910,3,3,164
"London, England","Ivimey, Frederick Elder Birbeck",1910,0,1,172
"Melbourne, Australia","Mitchell, William James",1910,2,3,171
"Napier, New Zealand","Evans, David Alexander",1910,1,3,161
"Timaru, New Zealand","Budd, Alfred",1910,0,3,160
"Wellington, New Zealand","Avery, Henry Esau",1910,3,3,170
"Auckland, New Zealand","Geddes, William McKail",1913,1,0,195
"Auckland, New Zealand","Macky, John Victor",1913,1,0,198
"Auckland, New Zealand","Sellars, George Maurice Victor",1913,2,13,182
"Christchurch, New Zealand","Fanning, Alfred Henry Netherwood",1913,1,0,204
"Dunedin, New Zealand","Baird, James Alexander Steenson",1913,1,0,190
"Dunedin, New Zealand","Williams, Peter",1913,1,8,184
"Galatea, New Zealand","Wylie, James Thomas",1913,2,10,185
"Geraldine, New Zealand","Spillane, Augustine Patrick",1913,2,0,200
"Greymouth, New Zealand","Atkinson, Henry James",1913,1,9,173
"Hillsborough, New Zealand","Taylor, Reginald",1913,2,0,202
"Inverleithen, Scotland","Cuthill, John Elliot",1913,2,14,174
"Kaiapoi, New Zealand","Stewart, James Douglas",1913,2,0,201
"Masterton, New Zealand","Gillespie, Charles Theodore",1913,1,0,196
"Shag Point, New Zealand","Douglas, James Burt",1913,0,9,188
"Thames, New Zealand","McGregor, Alwin John",1913,2,9,178
"Wellington, New Zealand","Dewar, Henry",1913,2,14,175
"Arrowtown, New Zealand","Black, Robert Stanley",1914,1,5,211
"Auckland, New Zealand","Weston, Lynley Herbert",1914,0,1,213
"Brunnerton, New Zealand","Fisher, Thomas",1914,0,5,212
"Dunedin, New Zealand","Irvine, John Gilbert",1914,3,7,208
"Waikouaiti, New Zealand","Lindsay, William George",1914,0,4,209
"Auckland, New Zealand","Wilson, Vivian Whitta",1920,0,7,227
"Cape Foulwind, New Zealand","McLean, Charles",1920,0,5,221
"Gore, New Zealand","Baird, David Lindsay",1920,0,9,216
"Levin, New Zealand","Jacob, Hohepa",1920,0,8,220
"Wellington, New Zealand","Shearer, Jack Douglas",1920,0,5,228
"Auckland, New Zealand","Ifwersen, Karl Donald",1921,1,0,249
"Auckland, New Zealand","Kingstone, Charles Napoleon",1921,3,0,231
"Christchurch, New Zealand","Evans, Cyril Edward",1921,0,1,239
"Dunedin, New Zealand","Fea, William Rognvald",1921,1,0,248
"East Taieri, New Zealand","Turnbull, John Steele",1921,0,1,246
"Makirikiri, New Zealand","Brownlie, Jack Laurence",1921,0,1,237
"Matakanui, New Zealand","Fogarty, Richard",1921,2,0,230
"Petone, New Zealand","Ryan, Edmond",1921,0,1,244
"Rewiti, New Zealand","Fletcher, Charles John Compton",1921,1,1,240
