Place,Name,Years,Tests,Matches,Number
"Palmerston North, New Zealand","Harvey, Brett Andrew",1986,1,0,872
"Woodville, New Zealand","Kenny, Dean Julian",1986,0,3,880
"Auckland, New Zealand","Buchan, John Alexander Sheperd",1987,0,2,886
"Hawera, New Zealand","McLean, Robert John",1987,0,2,888
"Tauranga, New Zealand","Simonsson, Paul Lennart James",1987,0,2,890
"Tokoroa, New Zealand","Goldsmith, Jasin Alex",1988,0,8,893
"Rotorua, New Zealand","Ridge, Matthew John",1989,0,6,903
"Te Awamutu, New Zealand","Gordon, William Robert",1990,0,3,906
"Clyde, New Zealand","Hewett, Jason Alexander",1991,1,0,914
"Lower Hutt, New Zealand","Tregaskis, Christopher David",1991,0,4,911
"Auckland, New Zealand","Lam, Patrick Richard",1992,0,1,928
"Napier, New Zealand","Turner, Richard Steven",1992,2,0,917
"Takapuna, New Zealand","Dowd, Graham William",1992,1,7,923
"Tokoroa, New Zealand","Seymour, Dallas James",1992,0,3,929
"Hawera, New Zealand","Mitchell, John Eric Paul",1993,0,6,940
"Hamilton, New Zealand","Davis, Chresten Scott",1996,0,2,958
"Otorohanga, New Zealand","Coffin, Phillip Hone",1996,0,3,959
"Auckland, New Zealand","Stanley, Jeremy Crispian",1997,0,3,963
"Auckland, New Zealand","Surridge, Stephen Dennis",1997,0,3,966
"Hamilton, New Zealand","Hopa, Aaron Remana",1997,0,4,967
"Nuku'alofa, Tonga","Riechelmann, Charles Calvin",1997,6,4,962
"Whangarei, New Zealand","Miller, Todd James",1997,0,4,964
"Auckland, New Zealand","Mayerhofler, Mark Andrew",1998,6,0,969
"Longoteme, Tonga","Maka, Isitolo",1998,4,0,972
"Nausori Highlands, Fiji","Vidiri, Joeli",1998,2,0,973
"Wellington, New Zealand","Berryman, Norman Rangi",1998,1,0,976
"Auckland, New Zealand","Mika, Dylan Gabriel",1999,7,1,982
"Nuku'alofa, Tonga","Vanisi, Osaiasi Kupu",1999,0,1,981
"Rotorua, New Zealand","Duggan, Rhys John Llewellyn",1999,1,0,989
"Lower Hutt, New Zealand","O'Halloran, Jason David",2000,1,0,998
"Thames, New Zealand","Reihana, Bruce Trevor",2000,2,0,997
"Wellington, New Zealand","Tiatia, Filogia Ian",2000,2,0,993
"Christchurch, New Zealand","Mauger, Nathan Keith",2001,0,2,1008
"Gore, New Zealand","Miller, Paul Charles",2001,0,2,1009
"Hastings, New Zealand","Randle, Roger Quentin",2001,0,2,1010
"Putaruru, New Zealand","Ranby, Richard Mark",2001,1,0,1001
"Turangi, New Zealand","Waller, Dion Alan George",2001,1,2,1011
"Auckland, New Zealand","Mika, Bradley Moni",2002,3,0,1024
"Cambridge, New Zealand","King, Regan Matthew",2002,1,0,1029
"Christchurch, New Zealand","Broomhall, Sam Roger",2002,4,0,1017
"Hastings, New Zealand","Lee, Daniel David",2002,2,0,1023
"Hastings, New Zealand","McDonnell, Joseph Michael",2002,8,0,1015
"Huntly, New Zealand","Lowen, Keith Ross",2002,1,0,1020
"Paraparaumu, New Zealand","Steinmetz, Paul Christopher",2002,1,0,1030
"Perth, Australia","Harding, Samuel",2002,1,0,1016
"Auckland, New Zealand","Atiga, Benjamin Alo Charles",2003,1,0,1037
"Auckland, New Zealand","Bates, Steven Paul",2004,1,1,1047
"Apia, Samoa","Anesi, Sosene Raymond",2005,1,0,1054
"Auckland, New Zealand","Senio, Kevin",2005,1,0,1058
"Hobart, Australia","Witcombe, Derren John Charles",2005,5,0,1053
"Waipukurau, New Zealand","Johnstone, Campbell Richard",2005,3,0,1056
"Whangarei, New Zealand","Macdonald, Angus James",2005,2,0,1061
"Christchurch, New Zealand","Hamilton, Scott Elliot",2006,2,0,1067
"Invercargill, New Zealand","Dermody, Clarke",2006,3,0,1065
"Auckland, New Zealand","Tuitavake, Anthony Samuel Mosolini",2008,6,1,1072
"Auckland, New Zealand","Wulf, Rudolffe Nicholas",2008,4,0,1077
"Invercargill, New Zealand","Mackintosh, Jamie Lachlan",2008,1,1,1081
"Lower Hutt, New Zealand","Waldrom, Scott",2008,0,1,1085
"Te Aroha, New Zealand","O'Neill, Kevin John",2008,1,0,1078
"Ashburton, New Zealand","Ross, Isaac Beattie",2009,8,0,1088
"Hastings, New Zealand","Evans, Bryn Robert",2009,2,0,1090
"Palmerston North, New Zealand","Whitelock, George Braeden",2009,1,0,1093
"Rotorua, New Zealand","Delany, Mike. Peter",2009,1,1,1098
"Te Puke, New Zealand","Latimer, Tanerau Dylan",2009,5,1,1089
"Wellington, New Zealand","Masaga, Lelia Tony Corona",2009,1,0,1092
"New South Wales, Australia","Stanley, Benson Joel",2010,3,0,1102
"Tauranga, New Zealand","Hoeata, Jarrad Michael Robert Alexander",2011,3,0,1109
"Auckland, New Zealand","Afeaki, Ben",2013,1,0,1119
"Auckland, New Zealand","Luatua, Dolph Steven",2013,11,0,1121
"Auckland, New Zealand","Piutau, Salesi Tu'ipulotu",2013,10,0,1122
"Auckland, New Zealand","Saili, Francis",2013,2,0,1126
"Christchurch, New Zealand","Taylor, Thomas James",2013,3,0,1125
"Christchurch, New Zealand","Todd, Matthew Brendon",2013,2,0,1123
"Nelson, New Zealand","Crotty, Ryan",2013,5,0,1124
"Palmerston North, New Zealand","Whitelock, Luke Charles",2013,1,0,1129
"Tonga, Tonga","Halai, Frank",2013,1,0,1128
"Waipukurau, New Zealand","Bird, Dominic Joseph",2013,1,0,1127
"Wellington, New Zealand","Thrush, Jeremy Ian",2013,5,0,1120
"Wellington, New Zealand","Toomaga-Allen, Jeffery Latu",2013,1,0,1130
"Auckland, New Zealand","Tuipulotu, Patrick Tito",2014,1,0,1133
"Ha'apai, Tonga","Fekitoa, Malakai Fonokalafi",2014,1,0,1131
"Christchurch, New Zealand","Lambie, James Taylor",1893 to 1894,0,12,27
"Invercargill, New Zealand","Cockroft, Samuel George",1893 to 1894,0,12,21
"Masterton, New Zealand","D'Arcy, Archibald Edgar",1893 to 1894,0,7,22
"Westport, New Zealand","Butland, Henry",1893 to 1894,0,9,20
"County Tyrone, Ireland","Oliphant, Robert",1893 to 1896,0,3,45
"Eketahuna, New Zealand","Watson, William Donald",1893 to 1896,0,3,46
"Kihikihi, New Zealand","Gage, David Richmond",1893 to 1896,0,8,24
"Greytown, New Zealand","McKenzie, William",1893 to 1897,0,20,28
"Mahurangi, New Zealand","Murray, Frederick Steele Miller",1893 to 1897,0,20,29
"Waitara, New Zealand","Bayly, Alfred",1893 to 1897,0,20,35
"Ashburton, New Zealand","Pauling, Thomas Gibson",1896 to 1897,0,9,62
"Elmore, Australia","Orchard, Sidney Arthur",1896 to 1897,0,8,61
"Taita, New Zealand","Roberts, William",1896 to 1897,0,8,63
"New Plymouth, New Zealand","Allen, Lewis",1896 to 1901,0,13,56
"Dunedin, New Zealand","Duncan, James",1897 to 1903,1,9,69
"New Plymouth, New Zealand","Humphries, Arthur Larwill",1897 to 1903,0,15,73
"Auckland, New Zealand","Smith, George William",1897 to 1905,2,37,74
"Greytown, New Zealand","Udy, Daniel Knight",1901 to 1903,1,8,90
"Thames, New Zealand","McGregor, Robert Wylie",1901 to 1904,2,8,86
"Waipawa, New Zealand","Wood, Morris Edwin",1901 to 1904,2,10,91
"Dunedin, New Zealand","Cross, Thomas William",1901 to 1905,2,1,92
"Mataura, New Zealand","Purdue, Charles Alfred",1901 to 1905,1,2,89
"Wellington, New Zealand","Dodd, Ernest Henry",1901 to 1905,1,2,83
"Rangiaohia, New Zealand","Cunningham, William",1901 to 1908,9,30,82
"Christchurch, New Zealand","Fanning, Bernard John",1903 to 1904,2,7,108
"Marton, New Zealand","McMinn, Archibald Forbes",1903 to 1905,2,8,102
"Auckland, New Zealand","Tyler, George Alfred",1903 to 1906,7,29,106
"Kaiapoi, New Zealand","McGregor, Duncan",1903 to 1906,4,27,101
"Ramelton, County Donegal, Ireland","Gallaher, David",1903 to 1906,6,30,97
"Auckland, New Zealand","Nicholson, George William",1903 to 1907,4,35,103
"Wellington, New Zealand","Spencer, John Clarence",1903 to 1907,2,4,110
"Invercargill, New Zealand","Stead, John William",1903 to 1908,7,35,105
"Wellington, New Zealand","Wallace, William Joseph",1903 to 1908,11,40,107
"Christchurch, New Zealand","Harper, Eric Tristram",1904 to 1906,2,9,112
"Greymouth, New Zealand","Glenn, William Spiers",1904 to 1906,2,17,111
"Wanganui, New Zealand","Seeling, Charles Edward",1904 to 1908,11,28,115
"Camerontown, New Zealand","Abbott, Harold Louis",1905 to 1906,1,10,130
"Christchurch, New Zealand","Newton, Frederick",1905 to 1906,3,16,121
"Milton, Australia","Mackrell, William Henry",1905 to 1906,1,6,131
"Dunedin, New Zealand","Johnston, William",1905 to 1907,3,24,119
"Okaiawa, New Zealand","O'Sullivan, James Michael",1905 to 1907,5,24,122
"Teschmakers, New Zealand","Booth, Ernest Edward",1905 to 1907,3,21,127
"Christchurch, New Zealand","Deans, Robert George",1905 to 1908,5,19,129
"Dunedin, New Zealand","Casey, Stephen Timothy",1905 to 1908,8,30,116
"Dunedin, New Zealand","Glasgow, Francis Turnbull",1905 to 1908,6,29,117
"Hawera, New Zealand","Hunter, James",1905 to 1908,11,25,118
"Leeston, New Zealand","Gillett, George Arthur",1905 to 1908,8,30,126
"Napier, New Zealand","Thomson, Hector Douglas",1905 to 1908,1,14,124
"Auckland, New Zealand","Mynott, Harry Jonas",1905 to 1910,8,31,120
"Wanganui, New Zealand","Francis, Arthur Reginald Howe",1905 to 1910,10,8,134
"Wellington, New Zealand","Roberts, Frederick",1905 to 1910,12,40,123
"Dunedin, New Zealand","McDonald, Alexander",1905 to 1913,7,33,128
"Hawera, New Zealand","Colman, John Thomas Henry",1907 to 1908,4,2,142
"Riccarton, New Zealand","Fryer, Frank Cunningham",1907 to 1908,4,5,143
"Dunedin, New Zealand","Paton, Henry",1907 to 1910,2,6,148
"Lawrence, New Zealand","Mitchinson, Frank Edwin",1907 to 1913,11,20,145
"Invercargill, New Zealand","Hughes, Edward",1907 to 1921,6,3,144
"Dunedin, New Zealand","Paterson, Alexander Marshall",1908 to 1910,5,4,156
"Lyttelton, New Zealand","Burns, Patrick James",1908 to 1913,5,4,152
"Unknown, New Zealand","Gray, George Donaldson",1908 to 1913,3,11,153
"Christchurch, New Zealand","Wilson, Nathaniel Arthur",1908 to 1914,10,11,151
"Masterton, New Zealand","O'Leary, Michael Joseph",1910 to 1913,4,4,163
"New Plymouth, New Zealand","Stohr, Leonard",1910 to 1913,3,12,165
"Masterton, New Zealand","Ryan, James",1910 to 1914,4,11,169
"Auckland, New Zealand","Barrett, James",1913 to 1914,2,1,191
"Christchurch, New Zealand","Murray, Harold Vivian",1913 to 1914,4,18,180
"Christchurch, New Zealand","Taylor, Henry Morgan",1913 to 1914,5,18,183
"Clinton, New Zealand","Cockroft, Eric Arthur Percy",1913 to 1914,3,4,203
"Dunedin, New Zealand","Graham, James Buchan",1913 to 1914,3,16,189
"Invercargill, New Zealand","McNeece, James",1913 to 1914,5,6,199
"Lyttelton, New Zealand","McKenzie, Richard John",1913 to 1914,4,16,179
"Manaia, New Zealand","Roberts, Richard William",1913 to 1914,5,18,181
"Milton, New Zealand","Lynch, Thomas William",1913 to 1914,4,19,177
"Napier, New Zealand","Downing, Albert Joseph",1913 to 1914,5,21,176
"New Plymouth, New Zealand","Francis, William Charles",1913 to 1914,5,7,194
"New Plymouth, New Zealand","Loveridge, George",1913 to 1914,0,11,206
"Waitara, New Zealand","Cain, Michael Joseph",1913 to 1914,4,20,187
"Wellington, New Zealand","Bruce, John Alexander",1913 to 1914,2,8,186
"Christchurch, New Zealand","Hasell, Edward William",1913 to 1920,2,5,197
"New Plymouth, New Zealand","Brown, Charles",1913 to 1920,2,9,192
"Waratah, Australia","Tilyard, James Thomas",1913 to 1920,1,9,205
"Timaru, New Zealand","Cummings, William",1913 to 1921,2,1,193
"Wellington, New Zealand","Roberts, Edward James",1913 to 1921,5,21,207
"Wellington, New Zealand","O'Brien, John Gerald",1914 to 1920,1,11,210
"Mataura, New Zealand","Carroll, Alphonsus John",1920 to 1921,0,8,217
"Port Chalmers, New Zealand","Duncan, William Dow",1920 to 1921,3,8,219
"Temuka, New Zealand","Storey, Percival Wright",1920 to 1921,2,10,224
"Waikaia, New Zealand","Moffitt, James Edward",1920 to 1921,3,9,222
"Wellington, New Zealand","Algar, Beethoven",1920 to 1921,0,6,214
"Palmerston North, New Zealand","Belliss, Ernest Arthur",1920 to 1923,3,17,226
"Auckland, New Zealand","Badeley, Cecil Edward Oliver",1920 to 1924,2,13,215
"Dillmanstown, New Zealand","Steel, John",1920 to 1925,6,32,223
"Featherston, New Zealand","Donald, James George",1920 to 1925,2,20,218
"Inglewood, New Zealand","West, Alfred Hubert",1920 to 1925,2,22,225
"Wellington, New Zealand","Shearer, Sydney David",1921 to 1922,0,8,245
"Akaroa, New Zealand","Petersen, Louis Charles",1921 to 1923,0,8,243
"Auckland, New Zealand","McLean, Andrew Leslie",1921 to 1923,2,1,236
"Christchurch, New Zealand","Ford, William August",1921 to 1923,0,9,241
"Wellington, New Zealand","Nicholls, Harry Edgar",1921 to 1923,1,6,232
"Dunedin, New Zealand","Richardson, Johnstone",1921 to 1925,7,35,234
"Invercargill, New Zealand","White, Andrew",1921 to 1925,4,34,235
"Greytown, New Zealand","Nicholls, Marcus Frederick",1921 to 1930,10,41,233
"Middlemarch, New Zealand","Williams, Alexander Leonard",1922 to 1923,0,9,259
"Otautau, New Zealand","Cupples, Leslie Frank",1922 to 1925,2,27,252
"Toowoomba, Australia","Svenson, Kenneth Sydney",1922 to 1926,4,30,258
"Wanganui, New Zealand","Brownlie, Maurice John",1922 to 1928,8,53,261
"Dannevirke, New Zealand","Paewai, Lui",1923 to 1924,0,8,285
"Auckland, New Zealand","Righton, Leonard Stephen",1923 to 1925,0,9,269
"Featherston, New Zealand","Donald, Quentin",1923 to 1925,4,19,275
"Picton, New Zealand","Masters, Robin Read",1923 to 1925,4,27,281
"Nelson, New Zealand","Snodgrass, Wallace Frankham",1923 to 1928,0,3,271
"Auckland, New Zealand","Irvine, William Richard",1923 to 1930,5,36,280
"Auckland, New Zealand","Lucas, Frederick William",1923 to 1930,7,34,276
"Edinburgh, Scotland","Porter, Clifford Glen",1923 to 1930,7,34,286
"Tokomaru Bay, New Zealand","Mill, James Joseph",1923 to 1930,4,29,267
"Waikaia, New Zealand","Stewart, Ronald Terowie",1923 to 1930,5,34,288
"Auckland, New Zealand","Hart, Augustine Henry",1924 to 1925,1,16,293
"Dunedin, New Zealand","McCleary, Brian Verdon",1924 to 1925,0,12,297
"Invercargill, New Zealand","Munro, Henry Gordon",1924 to 1925,0,9,294
"Lyttelton, New Zealand","Parker, James Hislop",1924 to 1925,3,18,299
"Inglewood, New Zealand","Brown, Handley Wellbourne",1924 to 1926,0,20,290
"Ashburton, New Zealand","Robilliard, Alan Charles Compton",1924 to 1928,4,23,300
"Lowburn, New Zealand","McGregor, Neil Perriam",1924 to 1928,2,25,298
"Masterton, New Zealand","Harvey, Ian Hamilton",1924 to 1928,1,17,301
"Wanganui, New Zealand","Brownlie, Cyril James",1924 to 1928,3,28,291
"Lyttelton, New Zealand","Dalley, William Charles",1924 to 1929,5,30,296
"Auckland, New Zealand","Cooke, Albert Edward",1924 to 1930,8,36,292
"Wairoa, New Zealand","Nepia, George",1924 to 1930,9,37,295
"Christchurch, New Zealand","Elvy, William Lister",1925 to 1926,0,12,304
"Hastings, New Zealand","Blake, John Muldoon",1925 to 1926,0,13,303
"Thames, New Zealand","Lomas, Arthur Robert",1925 to 1926,0,15,310
"Ulster, Ireland","Kirkpatrick, Alexander",1925 to 1926,0,12,308
"Lumsden, New Zealand","Johnson, Launcelot Matthew",1925 to 1930,4,21,307
"Maungaturoto, New Zealand","Finlayson, Innes",1925 to 1930,6,30,305
"Amberly, New Zealand","Alley, Geoffrey Thomas",1926 to 1928,3,16,327
"Waihi, New Zealand","Sheen, Thomas Reginald",1926 to 1928,0,8,325
"Invercargill, New Zealand","Hazlett, William Edgar",1926 to 1930,8,18,323
"Auckland, New Zealand","Knight, Arthur",1926 to 1934,1,13,324
"Christchurch, New Zealand","Carleton, Sydney Russell",1928 to 1929,6,15,334
"Hastings, New Zealand","Grenside, Bertram Arthur",1928 to 1929,6,15,329
"Nelson, New Zealand","Snow, Eric McDonald",1928 to 1929,3,13,341
"Puni, New Zealand","Hook, Llewellyn Simpkin",1928 to 1929,3,9,350
"Paeroa, New Zealand","McWilliams, Ruben George",1928 to 1930,10,17,339
"Invercargill, New Zealand","Strang, William Archibald",1928 to 1931,5,12,342
"Tonga, Tonga","Batty, Walter",1928 to 1931,4,2,344
"Mosstown, New Zealand","Palmer, Bertram Pitt",1928 to 1932,3,15,353
"Raetihi, New Zealand","Steere, Edward Richard George",1928 to 1932,6,15,354
"Burnham, New Zealand","Lilburne, Herbert Theodore",1928 to 1934,10,30,331
"Invercargill, New Zealand","Kilby, Francis David",1928 to 1934,4,14,337
"Dunedin, New Zealand","Hore, John",1928 to 1936,10,35,343
"Wanganui, New Zealand","Oliver, Charles Joshua",1928 to 1936,7,26,352
"Westport, New Zealand","Cottrell, Anthony Ian",1929 to 1932,11,11,362
"Woodville, New Zealand","Mahoney, Atholstan",1929 to 1936,4,22,370
"Auckland, New Zealand","Corner, Mervyn Miles Nelson",1930 to 1936,6,19,378
"Christchurch, New Zealand","Hart, George Fletcher",1930 to 1936,11,24,376
"Wanganui, New Zealand","McLean, Hubert Foster",1930 to 1936,9,20,379
"Invercargill, New Zealand","Metcalfe, Thomas Charles",1931 to 1932,2,5,384
"Invercargill, New Zealand","Purdue, George Bambery",1931 to 1932,4,3,386
"Pago Pago, American Samoa","Solomon, Frank",1931 to 1932,3,6,387
"Sydney, Australia","Jessep, Evan Morgan",1931 to 1932,2,6,382
"Nelson, New Zealand","Max, Donald Stanfield",1931 to 1934,3,5,383
"Dunedin, New Zealand","Page, James Russell",1931 to 1935,6,12,385
"Foxton, New Zealand","Ball, Nelson",1931 to 1936,5,17,380
"Seddonville, New Zealand","Holder, Edward Catchpole",1932 to 1934,1,9,398
"Stratford, New Zealand","Collins, Arthur Harold",1932 to 1934,3,12,391
"Temuka, New Zealand","Barry, Edward Fitzgerald",1932 to 1934,1,9,397
"Wanganui, New Zealand","Bullock-Douglas, George Arthur Hardy",1932 to 1934,5,10,388
"Petone, New Zealand","Pollock, Harold Raymond",1932 to 1936,5,3,396
"Waimate, New Zealand","Manchester, John Eaton",1932 to 1936,9,27,393
"Auckland, New Zealand","Caughey, Thomas Harcourt Clarke",1932 to 1937,9,30,389
"Auckland, New Zealand","Hadley, William Edward",1934 to 1936,8,17,400
"Maryborough, Australia","Lambourn, Arthur",1934 to 1938,10,30,401
"Rakaia, New Zealand","MacKenzie, Roderick McCulloch",1934 to 1938,9,26,403
"Waiuta, New Zealand","King, Ronald Russell",1934 to 1938,13,29,404
"Wellington, New Zealand","Griffiths, Jack Lester",1934 to 1938,7,23,399
"Auckland, New Zealand","Pepper, Cyril Stennart",1935 to 1936,0,17,413
"Blenheim, New Zealand","Best, John Jeffries",1935 to 1936,0,6,410
"Dunedin, New Zealand","Vorrath, Frederick Henry",1935 to 1936,0,12,418
"Levuka, Fiji","Solomon, David",1935 to 1936,0,8,415
"New Plymouth, New Zealand","Brown, Henry Mackay",1935 to 1936,0,8,419
"Rothesay, Scotland","Gilbert, Graham Duncan McMillan",1935 to 1936,4,23,407
"Timaru, New Zealand","Adkins, George Thomas Augustus",1935 to 1936,0,10,409
"Wellington, New Zealand","Sadler, Bernard Sydney",1935 to 1936,5,14,414
"Tokomaru Bay, New Zealand","Reid, Sana Torium",1935 to 1937,9,18,408
"Invercargill, New Zealand","Mitchell, Neville Alfred",1935 to 1938,8,24,412
"Kihikihi, New Zealand","Wynyard, James Gladwyn",1935 to 1938,0,13,420
"Napier, New Zealand","Dalton, Douglas",1935 to 1938,9,12,411
"Nelson, New Zealand","Tindill, Eric William Thomas",1935 to 1938,1,16,417
"Christchurch, New Zealand","Rankin, John George",1936 to 1937,3,1,423
"Riverton, New Zealand","Ward, Ronald Henry",1936 to 1937,3,1,429
"Hastings, New Zealand","Jackson, Everard Stanley",1936 to 1938,6,5,421
"Tahora, New Zealand","Sullivan, John Lorraine",1936 to 1938,6,3,428
"Auckland, New Zealand","Dick, John",1937 to 1938,3,2,431
"Christchurch, New Zealand","Hooper, John Alan",1937 to 1938,3,4,432
"Mataura, New Zealand","Taylor, John McLeod",1937 to 1938,6,3,435
"Palmerston, New Zealand","Parkhill, Allan Archibald",1937 to 1938,6,4,433
"Raglan, New Zealand","Phillips, William John",1937 to 1938,3,4,437
"Auckland, New Zealand","Argus, Walter Garland",1946 to 1947,4,6,450
"Dannevirke, New Zealand","White, Roy Maxwell",1946 to 1947,4,6,462
"Auckland, New Zealand","McHugh, Maurice James",1946 to 1949,3,12,458
"Balclutha, New Zealand","Willocks, Charles",1946 to 1949,5,17,463
"Bluff, New Zealand","Budd, Thomas Alfred",1946 to 1949,2,0,466
"Hamilton, New Zealand","Catley, Evelyn Haswell",1946 to 1949,7,14,451
"Kaikohe, New Zealand","Smith, John Burns",1946 to 1949,4,5,461
"Oamaru, New Zealand","Allen, Frederick Richard",1946 to 1949,6,15,449
"Timaru, New Zealand","Goddard, Maurice Patrick",1946 to 1949,5,15,467
"Wanganui, New Zealand","Frazer, Harry Frederick",1946 to 1949,5,10,456
"Whangarei, New Zealand","Boggs, Eric George",1946 to 1949,2,7,465
"Timaru, New Zealand","Elvidge, Ronald Rutherford",1946 to 1950,9,10,454
"Wellington, New Zealand","Scott, Robert Wiliam Henry",1946 to 1954,17,35,460
"Christchurch, New Zealand","Couch, Manuera Ben Riwai",1947 to 1949,3,4,469
"Naseby, New Zealand","Kearney, James Charles",1947 to 1949,4,18,477
"Otahuhu, New Zealand","Thornton, Neville Henry",1947 to 1949,3,16,476
"Te Awamutu, New Zealand","Dalton, Raymond Alfred",1947 to 1949,2,18,470
"Thames, New Zealand","McLean, John Kenneth",1947 to 1949,2,3,473
"Auckland, New Zealand","Hughes, Arthur Maitland",1947 to 1950,6,1,484
"Rotorua, New Zealand","Simpson, John George",1947 to 1950,9,21,474
"Temuka, New Zealand","Grant, Lachlan Ashwell",1947 to 1951,4,19,471
"Wellington, New Zealand","Bevan, Vincent David",1947 to 1954,6,19,479
"Dunedin, New Zealand","Harvey, Lester Robert",1949 to 1950,8,14,494
"Gisborne, New Zealand","Henderson, Peter",1949 to 1950,7,12,488
"Greymouth, New Zealand","Meates, William Anthony",1949 to 1950,7,13,496
"Owaka, New Zealand","McNab, John Ronald",1949 to 1950,6,11,489
"Owhango, New Zealand","Roper, Roy Alfred",1949 to 1950,5,0,515
"Wanganui, New Zealand","Crowley, Patrick Joseph Bourke",1949 to 1950,6,15,487
"Beaumont, New Zealand","Wilson, Hector William",1949 to 1951,5,8,512
"Masterton, New Zealand","Wilson, Norman Leslie",1949 to 1951,3,17,492
"Mosgiel, New Zealand","Johnstone, Peter",1949 to 1951,9,17,495
"Ashburton, New Zealand","Kelly, John Wallace",1949 to 1954,2,14,504
"Dunedin, New Zealand","Stuart, Robert Charles",1949 to 1954,7,20,510
"Dunedin, New Zealand","Skinner, Kevin Lawrence",1949 to 1956,20,43,491
"Gisborne, New Zealand","White, Richard Alexander",1949 to 1956,23,32,511
"Greytown, New Zealand","Mexted, Graham George",1950 to 1951,1,5,520
"Otira, New Zealand","Cherrington, Nau Paora",1950 to 1951,1,6,518
"Auckland, New Zealand","Tanner, John Maurice",1950 to 1954,5,19,521
"Prestonpans, Scotland","Haig, Laurence Stokes",1950 to 1954,9,20,519
"Blenheim, New Zealand","Hammond, Ian Arthur",1951 to 1952,1,7,526
"Bluff, New Zealand","Robinson, Charles Edward",1951 to 1952,5,6,528
"Dunedin, New Zealand","Bell, Raymond Henry",1951 to 1952,3,6,533
"Waipapakauri, New Zealand","Erceg, Charles Percy",1951 to 1952,4,5,524
"Gore, New Zealand","McCaw, William Alexander",1951 to 1954,5,27,527
"Opotiki, New Zealand","Fitzpatrick, Brian Bernard James",1951 to 1954,3,19,525
"Lower Hutt, New Zealand","Jarden, Ronald Alexander",1951 to 1956,16,21,531
"Lyttelton, New Zealand","Duff, Robert Hamilton",1951 to 1956,11,7,523
"Tauranga, New Zealand","Burke, Peter Standish",1951 to 1957,3,9,534
"Te Kuiti, New Zealand","Reid, Alan Robin",1951 to 1957,5,12,535
"Nelson, New Zealand","Eastgate, Barry Peter",1952 to 1954,3,14,537
"Petone, New Zealand","Fitzgerald, James Train",1952 to 1954,1,16,539
"Alexandra, New Zealand","Hotop, John",1952 to 1955,3,0,540
"Christchurch, New Zealand","Elsom, Allan Edwin George",1952 to 1955,6,16,538
"Whakatane, New Zealand","Davis, Keith",1952 to 1958,10,15,546
"Otorohanga, New Zealand","Bremner, Selwyn George",1952 to 1960,2,16,545
"Dannevirke, New Zealand","Loader, Colin James",1953 to 1954,4,12,550
"Gisborne, New Zealand","Bagley, Keith Parker",1953 to 1954,0,20,548
"Gisborne, New Zealand","O'Dea, Robert John",1953 to 1954,0,5,562
"New Plymouth, New Zealand","Freebairn, William Stuart Scott",1953 to 1954,0,14,554
"Palmerston North, New Zealand","Oliver, Desmond Oswald",1953 to 1954,2,18,557
"Rawhiti, New Zealand","Bowers, Richard Guy",1953 to 1954,2,13,560
"Rotherham, New Zealand","Dalzell, George Nelson",1953 to 1954,5,17,553
"Wanganui, New Zealand","Wilson, Douglas Dawson",1953 to 1954,2,12,559
"Winton, New Zealand","Woods, Charles Arthur",1953 to 1954,0,14,551
"Kawakawa, New Zealand","White, Hallard Leo",1953 to 1955,4,12,558
"Motueka, New Zealand","Clark, William Henry",1953 to 1956,9,15,549
"Christchurch, New Zealand","Dixon, Maurice James",1953 to 1957,10,18,561
"Kaitaia, New Zealand","Jones, Peter Frederick Hilton",1953 to 1960,11,26,556
"Whangarei, New Zealand","Hemi, Ronald Courtney",1953 to 1960,16,30,555
"Kaponga, New Zealand","Clarke, Ian James",1953 to 1964,24,59,552
"Auckland, New Zealand","Buxton, John Burns",1955 to 1956,2,0,573
"Gore, New Zealand","Archer, William Robert",1955 to 1957,4,9,563
"Te Puke, New Zealand","Gray, William Ngataiawhio",1955 to 1957,6,5,570
"New Plymouth, New Zealand","Hill, Stanley Frank",1955 to 1959,11,8,574
"Gisborne, New Zealand","Irwin, Mark William",1955 to 1960,7,18,564
"New Plymouth, New Zealand","Brown, Ross Handley",1955 to 1962,16,9,572
"Kaitaia, New Zealand","Walsh, Patrick Timothy",1955 to 1964,13,14,569
"Lower Hutt, New Zealand","McIntosh, Donald Neil",1956 to 1957,4,9,575
"Middlemarch, New Zealand","McAtamney, Francis Steven",1956 to 1957,1,8,577
"Auckland, New Zealand","MacEwan, Ian Neven",1956 to 1962,20,32,578
"Christchurch, New Zealand","Young, Dennis",1956 to 1964,22,39,579
"Pihama, New Zealand","Clarke, Donald Barry",1956 to 1964,31,58,580
"Auckland, New Zealand","Lineen, Terence Raymond",1957 to 1960,12,23,581
"Auckland, New Zealand","McMullen, Raymond Frank",1957 to 1960,11,18,582
"Cromwell, New Zealand","Gillespie, William David",1957 to 1960,1,22,586
"Te Kuiti, New Zealand","Pickering, Ernest Arthur Rex",1957 to 1960,3,18,589
"Dunedin, New Zealand","Watt, James Russell",1957 to 1962,9,33,584
"Auckland, New Zealand","Whineray, Wilson James",1957 to 1965,32,45,585
"Cambridge, New Zealand","Meads, Colin Earl",1957 to 1971,55,78,583
"Christchurch, New Zealand","Clarke, Adrian Hipkins",1958 to 1960,3,11,595
"Stratford, New Zealand","Graham, David John",1958 to 1964,22,31,593
"Opunake, New Zealand","Urbahn, Roger James",1959 to 1960,3,12,598
