Walter Davis,NZ,,,,
Jum Sampson,NZ,Waihi,,,
William Murphy,IRE,,,,
"Roy Chambers""",AUS,Dulwich,,,
Roland Raymond,FIJ,,,,
John Hill,,,,,
Patrick Mulligan,SA,,,,
Haggis Lang,INDIA,Multan,,,
Peter Kay,AUS,Adelaide,,,
Toutai Kefu,TON,,,,
Owen Farrell,ENG,Wigan,,,
Charlie Sharples,HK,Hong Kong,,,
Matt Banahan,ENG,Channel Islands,,,
Jamie Salmon,ENG,,,,
David Cooke,AUS,Brisbane,,,
,,,,,
George Gillett,"Gillett, George Arthur",,,,"Stewart, James Douglas"
Francis Glasgow,"Glasgow, Francis Turnbull",,,,"Gillespie, Charles Theodore"
Jimmy Hunter,"Hunter, James",,,,"McGregor, Alwin John"
Alexander McDonald,,,,,"Dewar, Henry"
James O'Sullivan,"O'Sullivan, James Michael",,,,"Black, Robert Stanley"
Frederick Roberts,,,,,"Irvine, John Gilbert"
George Smith,,,,,"Ifwersen, Karl Donald"
Simon Mynott,,,,,"Kingstone, Charles Napoleon"
Frederick Newton,,,,,"Fea, William Rognvald"
Bunny Abbott,,,,,"Fogarty, Richard"
Ernest Booth,,,,,"Fletcher, Charles John Compton"
Bill Mackrell,,,,,"Siddells, Stanley Keith"
Ginger Colman,,,,,"Aitken, George Gothard"
Frank Fryer,,,,,"Scrimshaw, George"
Ned Hughes,,,,,"Lindsay, David Frederick"
Massa Johnston,,,,,"Swain, John Patterson"
Frank Mitchinson,,,,,"Hadley, Swinbourne"
Don Cameron,,,,,"Waterman, Alfred Clarence"
Mona Thomson,,,,,"Stringfellow, John Clinton"
Ranji Wilson,,,,,"Reid, Keith Howard"
Paddy Burns,,,,,"Sonntag, William Theodore Charles"
Doddy Gray,,,,,"Cundy, Rawi Tama"
Donald Hamilton,,,,,"Geddes, John Herbert"
Peter Murray,,,,,"Heke, Wiremu Rika"
Sandy Paterson,,,,,"Reside, Walter Brown"
William Reedy,,,,,"Kivell, Alfred Louis"
Circus Hayward,,,,,"Tuck, Jack Manson"
Henry Avery,,,,,"Leys, Eric Tiki"
William Fuller,,,,,"Oliver, Donald Joseph"
Gerald McKellar,"McKellar, Gerald Forbes",,,,"Bush, Ronald George"
James Maguire,,,,,"Innes, Gordon Donald"
Joe O'Leary,,,,,"Procter, Albert Charles"
Henry Paton,,,,,"Clarke, Ray Lancelot"
Alexander Ridland,,,,,"Mataira, Hawea Karepa"
Jack Stohr,,,,,"Watt, James Michael"
Dave Evans,,,,,"Gillies, Colin Cuthbert"
Billy Mitchell,,,,,"Wells, John"
James Ryan,,,,,"Killeen, Brian Alexander"
Harry Atkinson,,,,,"Cobden, Donald Gordon"
Jock Cuthill,,,,,"Simon, Harold James"
Norkey Dewar,,,,,"Trevathan, David"
Doolan Downing,,,,,"Bowman, Albert William"
Tiger Lynch,,,,,"Milliken, Harold Maurice"
Dougie McGregor,,,,,"Quaid, Charles Edward"
Jock McKenzie,,,,,"Berghan, Trevor"
Toby Murray,,,,,"George, Victor Leslie"
Dick Roberts,,,,,"Saxton, Charles Kesteven"
George Sellars,,,,,"Morrison, Thomas Clarence"
Harry Taylor,,,,,"Dunn, John Markham"
Peter Williams,,,,,"Rhind, Patrick Keith"
Jim Wylie,,,,,"Finlay, Jack"
James Baird,,,,,"Haig, James Scott"
Buster Barrett,,,,,"McRae, John Alexander"
Charles Brown,,,,,"Elliott, Kenneth George"
William Cummings,,,,,"Arnold, Keith Dawson"
William Francis,,,,,"Tetzlaff, Percy Laurence"
William Geddes,,,,,"Mason, David Frank"
Charles Gillespie,,,,,"Lunn, William Albert"
Edward Hasell,,,,,"Christian, Desmond Lawrence"
John Macky,,,,,"Dobson, Ronald Leslie"
James McNeece,,,,,"Blake, Alan Walter"
Augustine Spillane,,,,,"Bond, Jack Garth Parker"
James Stewart,,,,,"Rowley, Harrison Cotton Banks"
Reginald Taylor,,,,,"Orr, Rex William"
Eric Cockroft,,,,,"Black, Neville Wyatt"
Alfred Fanning,,,,,"Mumm, William John"
James Tilyard,,,,,"Savage, Laurence Theodore"
Michael Cain,,,,,"O'Donnell, Desmond Hillary"
James Graham,,,,,"Bryers, Ronald Frederick"
Robert Black,,,,,"Delamore, Graham Wallace"
John Bruce,,,,,"Moore, Graham John Tarr"
Sal Irvine,,,,,"O'Callaghan, Thomas Raymond"
John O'Brien,,,,,"Beatty, George Edward"
Teddy Roberts,,,,,"Cockerill, Maurice Stanley"
George Aitken,,,,,"Lynch, Thomas William"
Cecil Badeley,,,,,"Steele, Leo Brian"
Moke Belliss,,,,,"McLaren, Hugh Campbell"
Jim Donald,,,,,"Skeen, Jack Robert"
Bill Duncan,,,,,"Irvine, Ian Bruce"
Richard Fogarty,,,,,"Meates, Kevin Francis"
Nipper Kingstone,,,,,"Bowden, Noel James Gordon"
Jim Moffitt,,,,,"Smith, Ross Mervyn"
Ginger Nicholls,,,,,"Stuart, Kevin Charles"
Mark Nicholls,,,,,"Townsend, Lindsay James"
Jock Richardson,,,,,
John Steel,,,,,"Vodanovich, Ivan Matthew Henry"
Percival Storey,,,,,"Vincent, Patrick Bernard"
Son White,,,,,"Ashby, Desmond Lloyd"
Andrew McLean,,,,,"Coughlan, Thomas Desmond"
Alfred West,,,,,"Cossey, Raymond Reginald"
Billy Fea,,,,,"McPhail, Bruce Eric"
Charles Fletcher,,,,,"Finlay, Brian Edward Louis"
Karl Ifwersen,,,,,"Diack, Ernest Sinclair"
Stanley Siddells,,,,,"Webb, Desmond Stanley"
Maurice Brownlie,,,,,"McCullough, John Francis"
Bert Cooke,,,,,"Nesbit, Steven Roberto"
Les Cupples,,,,,"Laidlaw, Kevin Francis"
Bill Dalley,,,,,"Morrissey, Peter John"
Quentin Donald,,,,,"Heeps, Thomas Roderick"
Augustine Hart,,,,,"Creighton, John Neville"
Bull Irvine,,,,,"Uttley, Ian Neil"
Frederick Lucas,,,,,"Clark, Donald William"
Read Masters,,,,,"O'Callaghan, Michael William"
George Nepia,,,,,"Kreft, Anthony John"
James Parker,,,,,"Stephens, Owen George"
Snowy Svenson,,,,,"Furlong, Blair Donald Marie"
Cyril Brownlie,,,,,"Thimbleby, Neil William"
Neil McGregor,,,,,"Milner, Henare Pawhara"
Jimmy Mill,,,,,"Joseph, Howard Thornton"
Cliff Porter,,,,,"Duncan, Michael Gordon"
Geoff Alley,,,,,"Sims, Graham Scott"
Syd Carleton,,,,,"Matheson, Jeffrey David"
Bunny Finlayson,,,,,"Morrison, Terry Geoffrey"
Bert Grenside,,,,,"Lendrum, Robert Noel"
Swin Hadley,,,,,"Jones, Murray Gordon"
William Hazlett,,,,,"Gemmell, Bruce McLeod"
Lancelot Johnson,,,,,"McLachlan, Jon Stanley"
David Lindsay,,,,,"Gardiner, Ashley John"
Alan Robilliard,,,,,"Purvis, Neil Alexander"
George Scrimshaw,,,,,"Harris, Perry Colin"
Ronald Stewart,,,,,"Fawcett, Christopher Louis"
William Strang,,,,,"Farrell, Colin Paul"
Tuna Swain,,,,,"Stuart, Robert Locksdale"
Reuben McWilliams,,,,,"Ashworth, Barry Graeme"
Herb Lilburne,,,,,"Currie, Clive James"
Ian Harvey,,,,,"McCool, Michael John"
Beau Cottrell,,,,,"Allen, Nicholas Houghton"
