Henry Napier,1877,Forward,Glasgow,5,3,0,United Kingdom,G,Scotland
Edward Pocock,1877,Three-quarters,Clifton,2,2,1,United Kingdom,England,South West England
Stewart Smith,1877,Forward,Glasgow,2,1,0,United Kingdom,G,Scotland
Thomas Torrie,1877,Forward,Edinburgh,1,1,0,United Kingdom,Scotland,City of Edinburgh
Louis Auldjo,1878,Forward,Cawnpore,1,0,0,Australia,Queensland,Cawnpore
James Campbell,1878,Halfback,Lake Athabasca,5,1,0,Canada,Saskatchewan,Lake Athabasca
Duncan Irvine,1878,Forward,Perthshire,3,1,0,United States of America,Mississippi,Bolivar
Bill Maclagan,1878,Three-quarters,Edinburgh,29,18,4,2,United Kingdom,Scotland,City of Edinburgh
George MacLeod,1878,Forward,Midlothian,2,1,0,United Kingdom,Scotland,Midlothian
John Neilson,1878,Halfback,Glasgow,2,0,0,United Kingdom,G,Scotland
Bob Ainslie,1879,Forward,Lasswade,7,4,3,United Kingdom,Scotland,Midlothian
John Brown,1879,Forward,Glasgow,19,12,2,United Kingdom,G,Scotland
William Masters,1879,Halfback,Edinburgh,3,2,1,United Kingdom,Scotland,City of Edinburgh
Errol Smith,1879,Forward,Edinburgh,1,1,0,United Kingdom,Scotland,City of Edinburgh
D. Somerville,1879,Forward,?,6,5,2,g,n,i
Edward Ewart,1879,Forward,Moffat,3,1,2,United States of America,Colorado,Moffat County
William Brown,1880,Halfback,Glasgow,6,4,2,United Kingdom,G,Scotland
David McCowan,1880,Forward,Ayr,10,5,1,United Kingdom,Scotland,South Ayrshire
Charles Stewart,1880,Forward,Glasgow,2,1,0,United Kingdom,G,Scotland
Jack Tait,1880,Forward,Edinburgh,2,2,0,United Kingdom,Scotland,City of Edinburgh
David Cassels,1880,Forward,Shettleston,7,4,0,United Kingdom,G,Scotland
Bryce Allan,1881,Forward,Glasgow,1,0,0,United Kingdom,G,Scotland
Thomas Begbie,1881,Fullback,E Lothian,2,0,0,United Kingdom,Scotland,East Lothian
Charlie Reid,1881,Forward,Lochwinnoch,21,13,4,United Kingdom,Scotland,Renfrewshire
George Robb,1881,Forward,Glasgow,2,0,0,United Kingdom,G,Scotland
Pat Smeaton,1881,Halfback,Kincardine,3,1,0,Canada,Ontario,Kincardine
Archibald Walker,1881,Forward,Glasgow,5,3,0,United Kingdom,G,Scotland
Tom Ainslie,1881,Forward,Lasswade,12,8,1,United Kingdom,Scotland,Midlothian
James Fraser,1881,Forward,Hull,1,0,0,United Kingdom,England,Yorkshire and the Humber
Robert Maitland,1881,Forward,Alloa,5,3,0,United Kingdom,Scotland,Clackmannanshire
William Peterkin,1881,Forward,Edinburgh,8,5,2,United Kingdom,Scotland,City of Edinburgh
Bunny Wauchope,1881,Halfback,Glasgow,13,9,6,United Kingdom,G,Scotland
Tom Anderson,1882,Fullback,Ledcamerock,1,1,0,g,n,i
Fraser Gore,1882,Forward,?,1,1,0,g,n,i
Augustus Grant-Asher,1882,Halfback,Poona,7,4,1,Australia,Queensland,Poona
Frank Hunter,1882,Three-quarters,?,1,1,0,g,n,i
Andrew Philp,1882,Three-quarters,?,1,1,0,g,n,i
James Veitch,1882,Fullback,Penicuik,8,6,0,United Kingdom,Scotland,Midlothian
James Walker,1882,Forward,Glasgow,2,2,0,United Kingdom,G,Scotland
Andrew Walls,1882,Forward,Glasgow,10,7,0,United Kingdom,G,Scotland
John Jamieson,1883,Forward,?,9,6,2,g,n,i
David Kidston,1883,Fullback,Glasgow,2,1,0,United Kingdom,G,Scotland
David McFarlan,1883,Three-quarters,Meerut,8,7,4,India,Uttar Pradesh,Meerut
John Mowat,1883,Forward,Glasgow,2,1,0,United Kingdom,G,Scotland
George Aitchison,1883,Halfback,Edinburgh,1,1,0,United Kingdom,Scotland,City of Edinburgh
Marshall Reid,1883,Three-quarters,Partick,2,1,0,United Kingdom,G,Scotland
George Lindsay,1884,Three-quarters,1863,4,3,5,Sverige,Svealand,Örebro län
John Tod,1884,Forward,Perth,9,6,2,Australia,Western Australia,Perth
Charles Berry,1884,Forward,Fife,9,5,0,United Kingdom,Scotland,Fife
Ernest Roland,1884,Three-quarters,Edinburgh,2,1,0,United Kingdom,Scotland,City of Edinburgh
Pat Harrower,1885,Fullback,Broughty Ferry,1,0,0,United Kingdom,Scotland,Dundee City
Gardyne Maitland,1885,Three-quarters,Alloa,2,1,0,United Kingdom,Scotland,Clackmannanshire
Gordon Mitchell,1885,Forward,Hamilton,3,2,0,Canada,Ontario,Hamilton
Alexander Stephen,1885,Three-quarters,Glasgow,2,1,0,United Kingdom,G,Scotland
Henry Evans,1885,Three-quarters,Clifton,2,2,0,United Kingdom,England,South West England
Walter Irvine,1885,Forward,Aberdeenshre,11,8,0,g,n,i
Patrick Wauchope,1885,Halfback,Midlothian,6,5,1,United Kingdom,Scotland,Midlothian
Alexander Clay,1886,Forward,Kelso,7,4,1,United States of America,Washington,Cowlitz County
J. French,1886,Forward,?,4,3,0,g,n,i
William Holms,1886,Three-quarters,Thox,6,4,0,United States of America,Missouri,Phelps County
Flowerdew McIndoe,1886,Fullback,Hamilton,2,2,0,Canada,Ontario,Hamilton
William MacLeod,1886,Forward,Glasgow,2,2,0,United Kingdom,G,Scotland
Charles Milne,1886,Forward,Kingston,3,2,0,Jamaica,Surrey County,Kingston and St. Andrew Corporation
Reggie Morrison,1886,Three-quarters,Vic,3,2,2,Australia,Victoria,Missing
Duncan MacLeod,1886,Forward,Berwick,2,1,0,United Kingdom,England,North East England
Matthew McEwan,1886,Forward,Ayr,15,10,2,7,United Kingdom,Scotland,South Ayrshire
George Wilson,1886,Three-quarters,?,5,3,0,0,g,n,i
Hugh Ker,1887,Forward,Partick,7,5,1,0,United Kingdom,G,Scotland
Judy MacMillan,1887,Forward,Edinburgh,24,17,1,0,United Kingdom,Scotland,City of Edinburgh
David Morton,1887,Forward,Glasgow,9,6,3,0,United Kingdom,G,Scotland
Charles Orr,1887,Halfback,Neilston,16,12,3,1,United Kingdom,Scotland,East Renfrewshire
Alexander Woodrow,1887,Three-quarters,Glasgow,3,2,0,United Kingdom,G,Scotland
Alec Cameron,1887,Fullback,Oban,3,1,0,0,United Kingdom,Scotland,Argyll and Bute
Henry Chambers,1888,Fullback,Victoria,4,3,0,Australia,Victoria,Missing
Alfred Duke,1888,Forward,Forfar,6,5,0,0,United Kingdom,Scotland,Angus
Macbeth Duncan,1888,Three-quarters,Aberdeen,1,0,0,United Kingdom,Scotland,Aberdeenshire
Charles Fraser,1888,Halfback,Paisley,2,1,0,United Kingdom,Scotland,Renfrewshire
Harry Stevenson,1888,Fullback,Edinburgh,15,11,0,3,United Kingdom,Scotland,City of Edinburgh
Louis Stevenson,1888,Forward,Jedburgh,1,0,0,United Kingdom,Scotland,Scottish Borders
Tom White,1888,Forward,Cumnock,3,2,0,United Kingdom,Scotland,East Ayrshire
Alexander Malcolm,1888,Forward,Glasgow,1,1,0,United Kingdom,G,Scotland
Bill Auld,1889,Forward,?,2,2,0,0,g,n,i
John Boswell,1889,Forward,Garallan,15,11,5,26,g,n,i
William Macdonald,1889,Forward,Inverness,3,2,0,0,United Kingdom,Scotland,Highland
James Marsh,1889,Three-quarters,?,3,3,0,0,g,n,i
Alfred Methuen,1889,Forward,1868,2,2,0,Norge,Nordland,Øksnes
Alexander Aitken,1889,Forward,Edinburgh,1,1,0,United Kingdom,Scotland,City of Edinburgh
Darsie Anderson,1889,Halfback,Kent,8,6,1,1,United Kingdom,England,South East
J.G. McKendrick,1889,Forward,?,1,1,0,g,n,i
Jack Orr,1889,Forward,Neilston,12,9,3,4,United Kingdom,Scotland,East Renfrewshire
Adam Dalgleish,1890,Forward,Bellingham,8,4,0,0,United States of America,Washington,Whatcom County
Frederick Goodhue,1890,Forward,ON,9,7,1,1,Canada,Ontario,Missing
Gregor MacGregor,1890,Three-quarters,Edinburgh,13,8,1,5,United Kingdom,Scotland,City of Edinburgh
Ian MacIntyre,1890,Forward,?,6,5,0,0,g,n,i
Paul Clauss,1891,Three-quarters,Munich,9,8,3,6,Deutschland,Bayern,OB
Herbert Leggatt,1891,Forward,East Indie,9,7,1,1,India,600051,Tamil Nadu
George Neilson,1891,Forward,Glasgow,14,8,1,6,United Kingdom,G,Scotland
William Neilson,1891,Three-quarters,Bothwell,14,10,1,4,United Kingdom,Scotland,South Lanarkshire
William Gibson,1891,Forward,Edinburgh,14,9,0,0,United Kingdom,Scotland,City of Edinburgh
