Marcel Legrain,1909,"Centre, Flanker, No. 8",12,1,11,0,0,0,Paris,France,France métropolitaine,Île-de-France,Paris
Claude Martin,1909,Fly-half,3,0,3,0,0,0,Lyon,France,France métropolitaine,Rhône-Alpes,Métropole de Lyon
Francis Mouronval,1909,"Centre, Flanker",1,0,1,0,0,0,Avesnes-sur-Helpe,France,59440,France métropolitaine,Nord-Pas-de-Calais
Joe Anduran,1910,Hooker,1,0,1,0,0,0,Bayonne,France,64100,France métropolitaine,Aquitaine
Rene Boudreaux,1910,Prop,2,0,2,0,0,0,Paris,France,France métropolitaine,Île-de-France,Paris
Maurice Bruneau,1910,"Wing, Centre, Fly-half",4,0,4,0,1,3,Bordeaux,France,33000;33100;33300;33800,France métropolitaine,Aquitaine
Remi Laffitte,1910,"Centre, Flanker",2,0,2,0,1,3,Osserain,France,64390,France métropolitaine,Aquitaine
R. Menrath,1910,Fullback,1,0,1,0,0,8,?,g,n,i,s
M. Thevenot,1910,"Lock, Prop",3,0,3,0,0,0,?,g,n,i,s
Jules Cadenat,1910,"Prop, Lock, No. 8",7,0,7,0,0,0,Beziers,France,34500,France métropolitaine,Languedoc-Roussillon
Julien Combe,1910,Fullback,4,1,3,0,0,0,?,g,n,i,s
Jacques Dedet,1910,"Centre, Fly-half",8,0,8,0,0,0,New Caledo,España,CAT,Lleida,Pallars Sobirà
Guillaume Laterrade,1910,"Scrum-half, Halfback",5,1,4,0,1,3,Tarbes,France,65000,France métropolitaine,Midi-Pyrénées
Joseph de Muizon,1910,Wing,1,0,1,0,0,0,Versailles,France,78000,France métropolitaine,Île-de-France
Fernand Roujas,1910,Fly-half,1,0,1,0,0,0,La Mas d'Azil,France,09290,France métropolitaine,Midi-Pyrénées
Joseph Bavozet,1911,"Flanker, Lock",3,1,2,0,0,0,Lyon,France,France métropolitaine,Rhône-Alpes,Métropole de Lyon
Paul Decamps,1911,"Flanker, Lock",1,1,0,0,0,4,Paris,France,France métropolitaine,Île-de-France,Paris
Pierre Failliot,1911,Wing,8,1,7,0,5,15,Paris,France,France métropolitaine,Île-de-France,Paris
Fernand Forgues,1911,"Lock, Flanker",11,1,10,0,0,0,Pau,France,64000,France métropolitaine,Aquitaine
Andre Francquenelle,1911,Centre,3,1,2,0,0,0,Rochefort-sur-Mer,France,17420,France métropolitaine,Poitou-Charentes
Pierre Mouniq,1911,"Prop, Lock",9,1,8,0,0,0,Luz-Saint-Sauveur,France,65120,France métropolitaine,Midi-Pyrénées
Georges Peyroutou,1911,Fly-half,2,1,1,0,1,3,Ondres,France,40440,France métropolitaine,Aquitaine
Gilbert Charpentier,1911,"Fly-half, Wing",3,0,3,0,0,0,Pissotte,France,85200,France métropolitaine,Pays de la Loire
Francois Dutour,1911,Fullback,6,0,6,0,0,2,Moissat,France,63190,France métropolitaine,Auvergne
Rene Duffour,1911,Hooker,1,0,1,0,0,0,Tarbes,France,65000,France métropolitaine,Midi-Pyrénées
Charles du Souich,1911,Centre,2,0,2,0,0,0,Tours,France,37000;37100;37200,France métropolitaine,Centre-Val de Loire
Robert Monier,1911,Prop,2,0,2,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine,Aquitaine
Raymond Simonpaoli,1911,Lock,3,0,3,0,1,3,Courtalain,France,28290,France métropolitaine,Centre-Val de Loire
Maurice Boyau,1912,Flanker,6,0,6,0,0,4,Mustapha,日本,近畿地方,京都府,久世郡
Jean-Jacques Conilh de Beyssac,1912,"Lock, Prop",5,0,5,0,0,0,Cauderan,France,33200,France métropolitaine,Aquitaine
Jean Domercq,1912,Back-row,2,0,2,0,0,0,Orthez,France,64300,France métropolitaine,Aquitaine
Julien Dufau,1912,"Wing, Centre",4,0,4,0,2,6,Biarritz,France,64200,France métropolitaine,Aquitaine
Daniel Ihingoue,1912,Centre,2,0,2,0,0,0,Ilharre,France,64120,France métropolitaine,Aquitaine
Jean Larribau,1912,"Scrum-half, Wing",7,0,7,0,1,3,Anglet,France,64600,France métropolitaine,Aquitaine
Edouard Vallot,1912,Hooker,1,0,1,0,0,0,London,United Kingdom,England,Greater London,London
Jacques Forestier,1912,Prop,1,0,1,0,0,0,Aix-les-Bains,France,73100,France métropolitaine,Rhône-Alpes
Marcel Monniot,1912,"Lock, Prop",2,0,2,0,0,0,Paris,France,France métropolitaine,Île-de-France,Paris
Jean-Rene Pascarel,1912,Hooker,6,0,6,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine,Aquitaine
Jean Sentilles,1912,Centre,4,0,4,0,0,0,Tarbes,France,65000,France métropolitaine,Midi-Pyrénées
Helier Tilh,1912,"Prop, Lock, Wing",6,0,6,0,0,0,Bosdarros,France,64290,France métropolitaine,Aquitaine
Maurice Hedembaigt,1913,"Halfback, Scrum-half",3,0,3,0,0,0,Anglet,France,64600,France métropolitaine,Aquitaine
Pierre Jaureguy,1913,"Centre, Wing",4,0,4,0,0,0,Ostabat,France,64120,France métropolitaine,Aquitaine
Jean Sebedio,1913,"Prop, Flanker, No. 8",9,2,5,2,1,3,Saint-Jean-de-Luz,France,64500,France métropolitaine,Aquitaine
Geo Andre,1913,Wing,7,0,7,0,3,11,Paris,France,France métropolitaine,Île-de-France,Paris
Albert Chatau,1913,Fly-half,1,0,1,0,0,0,Urrugne,France,64122;64700,France métropolitaine,Aquitaine
Marcel Favre,1913,Prop,2,0,2,0,0,0,La Roche-sur-Foron,France,74800,France métropolitaine,Rhône-Alpes
Clovis Bioussa,1913,Fly-half,3,0,3,0,0,0,Toulouse,France,31000;31100;31200;31300;31400;31500,France métropolitaine,Midi-Pyrénées
Gustave Podevin,1913,Lock,2,0,2,0,0,0,Paris,France,France métropolitaine,Île-de-France,Paris
Jean Semmartin,1913,Fullback,2,0,2,0,0,0,Ars-en-Re,France,17590,France métropolitaine,Poitou-Charentes
Philippe Struxiano,1913,Scrum-half,7,2,5,0,0,6,Toulouse,France,31000;31100;31200;31300;31400;31500,France métropolitaine,Midi-Pyrénées
Albert Eutropius,1913,Flanker,1,0,1,0,0,0,Cayenne,France,97300,Guyane,Cayenne
Henri Tavernier,1913,Prop,1,0,1,0,0,0,Saint-Just-en-Chauss,g,n,i,s
Jean-Marie Arnal,1914,Lock,2,0,2,0,0,0,Paris,France,France métropolitaine,Île-de-France,Paris
Paul Faure,1914,"Prop, Hooker",3,0,3,0,0,0,Aureilhan,France,65800,France métropolitaine,Midi-Pyrénées
Robert Lacoste,1914,Wing,3,0,3,0,1,3,?,g,n,i,s
Rene Lasserre,1914,"Flanker, Fullback, Centre",15,4,9,2,2,10,Bayonne,France,64100,France métropolitaine,Aquitaine
Raphael Lavaud,1914,"Lock, Flanker",2,0,2,0,0,0,Bordeaux,France,33000;33100;33300;33800,France métropolitaine,Aquitaine
Marcel-Frederic Lubin-Lebrere,1914,"Prop, Lock",15,3,10,2,2,6,Agen,France,47000,France métropolitaine,Aquitaine
Gilbert Pierrot,1914,Centre,3,0,3,0,0,0,Bizanos,France,64320,France métropolitaine,Aquitaine
Francois Poeydebasque,1914,"Fly-half, Centre",2,0,2,0,0,0,Bayonne,France,64100,France métropolitaine,Aquitaine
Lucien Besset,1914,"Centre, Fly-half",2,0,2,0,0,4,Paris,France,France métropolitaine,Île-de-France,Paris
Robert Desvouges,1914,Lock,1,0,1,0,0,0,Neuilly-sur-Seine,France,92200,France métropolitaine,Île-de-France
Paulin Bascou,1914,Lock,1,0,1,0,0,0,Urrugne,France,64122;64700,France métropolitaine,Aquitaine
Jean-Louis Capmau,1914,Flanker,1,0,1,0,1,3,Siran,‏ايران‎,آذربایجان غربی‎,شهرستان چالدران,Siran
Emmanuel Iguiniz,1914,Hooker,1,0,1,0,0,0,Bayonne,France,64100,France métropolitaine,Aquitaine
Eugene Billac,1920,Fly-half,9,3,6,0,2,6,Bayonne,France,64100,France métropolitaine,Aquitaine
Aime Cassayet-Armagnac,1920,"Lock, No. 8",31,5,24,2,3,9,Mont-de-Marsan,France,40000,France métropolitaine,Aquitaine
